%1. Title : 
%
%2. Sources : 
%
%
%
@RELATION Imagette

@ATTRIBUTE  Airs_1 NUMERIC
@ATTRIBUTE  Airs_2 NUMERIC
@ATTRIBUTE  Airs_3 NUMERIC
@ATTRIBUTE  Airs_4 NUMERIC
@ATTRIBUTE  Airs_5 NUMERIC
@ATTRIBUTE  Airs_6 NUMERIC
@ATTRIBUTE  Airs_7 NUMERIC
@ATTRIBUTE  Airs_8 NUMERIC
@ATTRIBUTE  Airs_9 NUMERIC
@ATTRIBUTE Class  {accident, bomb, car, casualty, electricity, fire-brigade, fire, flood, gas, injury, paramedics, person police, road-block}

@DATA
11,18.5,16.5,23.5,19,0,3.5,28,3.5,casualty
1,0,14.5,49,2,21.5,18,67,0,casualty
0,0,4.5,24.5,9.5,12.5,0,13,0,casualty
9.5,0,17,6,23.5,12,13,18,13,casualty
2.5,16.5,10.5,28.5,11,2,7.5,13,6,casualty
29.5,0,8,23.5,14,17,29.5,18.5,0,casualty
0,0,6.5,14,10.5,12.5,11,15,12.5,casualty
4.5,0,5,15,15,13,15,24.5,15,casualty
0,0,5.5,12.5,31,0.5,39,1,19,casualty
34.5,13.5,0,23.5,33,0,0,0,31.5,casualty
20,15.5,0,16.5,41,0,30.5,0,22,casualty
20.5,3,1.5,15,21.5,0,16,4,8.5,casualty
20,4.5,9.5,16.5,25.5,25.5,5,15,25.5,casualty
6,15.5,21,16.5,20,19,9.5,27.5,15,casualty
3.5,14,13,16,21.5,17,6,33,19,casualty
4,13.5,12.5,12.5,8,26.5,21.5,26,10.5,casualty
17,7.5,10.5,39,12.5,7,15,29,27,casualty
4,24.5,18.5,0,18.5,17,19,27,0,casualty
5,14.5,13.5,32,14.5,16.5,2.5,33,8.5,casualty
0,64.5,8,22,18,4.5,7,35.5,2,casualty
5,21.5,5,13.5,21,9,3,30,4,casualty
6,63.5,8,15,17,10.5,9,34.5,8,casualty
2,50.5,7,2,14,7,2.5,36.5,1,casualty
2,15,0,3,4,5,7,50.5,4,electricity
0,17,0,0,8,0,0,36.5,0,electricity
0,3,0,0,15.5,0,1.5,14,18,electricity
0,5,0,0,25.5,0,0,23.5,0,electricity
2,19.5,2,2.5,19,4,0,27,0,electricity
4.5,22.5,11.5,0,20,0,12.5,38.5,0,electricity
0,13.5,0,0,31.5,0,0,33,0,electricity
0,13,0,0,19.5,0,0,23,0,electricity
5.5,14,0,0,15.5,0,0,40.5,5.5,electricity
2.5,4,8.5,0,9,0,0,26,12.5,electricity
0,26.5,0,7.5,2,5,0,28.5,0,electricity
0,23,1.5,0,18,4,6.5,53.5,0,electricity
0,20,1.5,0,25.5,1,3,22,0,electricity
0,27,9.5,0,15,10,3,26,0,electricity
0,28,0,9.5,14.5,2,8,23.5,0,electricity
0,26.5,0,0,13.5,0,0,48,0,electricity
0,44,0,0,14.5,0,0,18.5,0,electricity
0,21.5,0,0,17,0,0,36,0,electricity
0,44,0,0,6,0,2.5,28,4,electricity
0,16.5,0,0,14,0,0,36.5,0,electricity
3,19.5,0,4.5,10,0,0,53.5,8.5,electricity
0,4.5,0,0,9,0,0,29.5,0,electricity
1,2.5,0,1.5,5.5,6,3,25,0,electricity
0,9.5,0,0,7,0,0,17.5,0,electricity
0,18.5,0,0,11,0,0,27,0,electricity
0,6,0,0,19,0,0,30,0,electricity
0,16,0,0,15,0,0,45.5,0,electricity
0,18,0.5,0,12,0,0.5,36.5,0,electricity
0,19.5,1.5,0,17,0,5,32.5,0,electricity
0,11,2,0,12,0,3.5,28,0,electricity
1,25.5,0,2,11,0,0,35.5,3.5,electricity
5.5,4.5,0,0,7,14.5,9.5,19,14.5,electricity
6,0,0,17,4,21,34.5,16,26.5,electricity
11.5,0,0,3,3.5,39,9.5,22,7,electricity
4.5,0,0,7.5,9,0,4.5,16,45,electricity
0,9.5,0,0,11.5,0,0,23.5,0,electricity
1.5,8.5,7.5,0,22.5,0,0,22.5,0,electricity
0,24.5,0,0,12,0,0,24.5,0,electricity
0,6,1,1,19.5,1.5,2,26.5,8.5,electricity
7.5,12.5,11.5,0,0,0,0,20.5,1,electricity
0,29.5,0,0,9,0,7,23,10,electricity
0,10,0,4.5,6.5,0,9.5,11.5,8,electricity
4,46,0,4.5,5.5,0,0,14.5,7,electricity
0,26.5,0,0,17.5,0,1,17.5,0.5,electricity
0,20.5,1,0,11,0,17.5,12.5,9,electricity
4,20.5,0,6.5,9,8,6,32.5,0,electricity
0,9,0,0,14,0,4.5,24,1.5,electricity
0,16.5,0,0,5,0,0,34.5,0,electricity
0,17,0,0,6,0,0,24.5,0,electricity
3,12.5,0,3.5,41,2,1,29.5,7.5,electricity
9.5,1.5,5,0,0,0,0,11.5,27,electricity
3,0,0,0,15,1,0,27.5,0,electricity
1,1,3,0,12,1.5,6,26.5,0,electricity
1.5,13,11.5,0,7.5,0,0,30.5,1,electricity
0,0,0,0,5.5,4.5,0,23,2,electricity
0,4.5,0,0,0,0,2,25.5,0,electricity
1.5,4.5,3,0,14,0,0,34,0,electricity
0,6.5,12.5,0,0,0,10,24,3,electricity
3.5,9,14,0,0,0,10,28.5,0,electricity
0,8,10.5,0,0,0,9,17,9,electricity
0,32.5,0,5,16,2.5,0,35.5,0,electricity
0,18,0,2,14,0,0,48.5,0,electricity
9.5,13.5,13,0,13,0,6.5,34,0,electricity
0,1,0,0,12,0,0,16.5,0,electricity
0,6.5,11.5,0,12.5,0,8,11,0,electricity
5,10.5,0,2,13.5,0,8.5,31,14.5,electricity
0,10.5,0,0,13,0,1.5,28,5,electricity
9,0,0,8.5,3.5,2.5,0,23,12,electricity
9,12.5,0,4.5,3.5,1.5,3,30,9,electricity
0,20,0,0,6,0,0,34,1,electricity
0,0,0,0,3,0,0,4,0,electricity
0,17,0,0,0,0,0,19.5,0,electricity
0,3,0,0,49.5,0,0,6,0,electricity
0,14,7,0,0,0,0,19.5,0,electricity
0,14,0,0,0,4,7.5,29.5,2,electricity
2,20.5,0,1.5,13,2,0,18.5,0,electricity
0,20.5,0,0,21.5,0,0,13.5,0,electricity
3.5,21,2.5,0.5,10,0,4,17,0,electricity
0,7,0,0,8.5,0,2,41,0,electricity
0,19,0,0,4,0,0,30.5,0,electricity
0,29.5,0,9,4.5,0,0,16,7.5,electricity
0,27,0,0,6,0,0,5,1,electricity
1,14.5,0,3.5,3.5,0,0,17,7.5,electricity
0,9.5,0,0,3,0,0,22.5,0,electricity
0,24.5,0,4.5,5.5,0,0,8,11.5,electricity
0,13.5,0,0,16,1.5,4.5,32.5,0,electricity
0,26.5,0,0,7.5,1.5,4.5,43.5,0,electricity
2,27.5,0,2,15,0,8,37,6,electricity
0,22.5,0,0,20,0,2,23.5,0,electricity
0,27,0,0,15,0,8.5,24.5,8.5,electricity
0,55,0,0,18,0,2,55.5,2,electricity
0,24.5,0,0,14,0,2,45,0,electricity
0,23.5,0,0,21.5,1.5,8,27.5,9,electricity
0,25.5,0,0,13,0,5.5,35.5,6,electricity
0,8.5,0,0,25.5,2.5,16.5,27.5,7,electricity
0,6,0,4.5,13,9.5,0,30.5,0,electricity
11.5,0,12,1.5,21,0,5,13.5,0,electricity
8,5.5,1.5,0,9,1,0,20,0,electricity
9.5,16.5,1.5,0,14,5,6,20,0,electricity
1,9,0,1.5,12,2,1.5,21,0,electricity
0,0.5,0,0,1.5,0,0,38,0,electricity
0,10,1,0.5,13.5,0,0,16,0,electricity
0,4.5,1.5,0,12,0,0,32,0,electricity
0,15.5,0,0,6.5,0,0,9.5,0,electricity
0,0,0,0,2.5,0,0,55,0,electricity
0,46.5,0,0,17,0,0,39,0,electricity
0,25.5,0,0,11,0,0,28.5,0,electricity
0,13,0,0,8,0,0,22.5,0,electricity
0,9,0,0,48,0,0,29,0.5,electricity
0,11,0,2.5,27.5,4,0,36,1,electricity
0,12,0,0,13,0,0,22,0,electricity
0,14.5,8.5,0,28,0,4,21.5,14,electricity
0,17.5,0,0,7,0,0,21.5,0,electricity
0,8,0,0,2,0,0,33.5,0,electricity
11,2.5,0,0,1.5,0,11,28,5,electricity
8.5,0,6.5,0,14,8,2,15,0,electricity
0,23,0,0,28.5,0,0,1.5,0,electricity
14.5,27,6.5,0,10,1,7,26,0,electricity
0,12.5,8.5,0,19,0,11.5,20,0,electricity
0,10.5,1,0,20,0,2,8.5,0,electricity
12.5,6.5,8.5,62.5,1,28.5,12.5,11,2,fire-brigade
5.5,21.5,11,7.5,0.5,39,9.5,23.5,8,fire-brigade
13.5,8.5,6,4,1,42.5,2.5,19.5,12.5,fire-brigade
13.5,8.5,23.5,0.5,0,28,10.5,18.5,15.5,fire-brigade
14.5,21.5,7,1,1.5,23.5,12.5,20,21.5,fire-brigade
11.5,14.5,0,6.5,14,26,4,0,19.5,fire-brigade
7.5,15,4.5,3.5,4,24.5,8,17.5,0,fire-brigade
1,2,3,3,1,78,3,4,0,fire-brigade
5.5,29,0,6.5,3,28,2.5,12.5,0,fire-brigade
1.5,1,2,3,1,32,2,10,0,fire-brigade
8.5,7,9,8.5,12,20.5,12.5,19,4,fire-brigade
22,2,12,2.5,18.5,24,26,18.5,5,fire-brigade
17,12.5,0,8.5,155,41,5.5,15,2,fire-brigade
28.5,0,0,8.5,15,14,8.5,6,7,fire-brigade
5.5,6.5,1.5,4,14,39,15.5,18.5,0,fire-brigade
1.5,0,14.5,13.5,0,30,3,2,6,fire-brigade
2.5,7,22.5,4,1,42,8,0,0,fire-brigade
8.5,3,7.5,3,0,12.5,6,22,0,fire-brigade
11.5,14,5,3.5,3,31.5,9,13,0,fire-brigade
12.5,16.5,8,11,2,73.5,14,11,0,fire-brigade
6.5,13,0,5,16,25,27.5,4.5,0,fire-brigade
6.5,10,1,18.5,10,14,15,16.5,0,fire-brigade
18.5,1.5,3.5,7.5,14,6,27,14.5,0,fire-brigade
5,2.5,7,9.5,20.5,29,22,17.5,0,fire-brigade
101.5,5.5,2,2.5,14,25.5,6.5,27,0,fire-brigade
9.5,4.5,15.5,4.5,4,27.5,9.5,23.5,1,fire-brigade
10.5,8,20,15,16,22.5,5.5,29.5,0.5,fire-brigade
11,4,38.5,4.5,12,26,11.5,27,0,fire-brigade
15.5,29,21,0,9,10,15.5,22.5,11.5,fire-brigade
11.5,3,17,4,3.5,15,18,32,0,fire-brigade
44.5,9,4,10.5,10.5,27,22,21,0,fire-brigade
5,2,1,4.5,9,24,17,19.5,0,fire-brigade
20.5,25.5,0,8,9.5,30.5,23,13,0,fire-brigade
50,11,0,11.5,9,30,26,13,0,fire-brigade
15,20,3,8,19.5,16,18,19,0,fire-brigade
10.5,19,3,3.5,23.5,25.5,15.5,17,0,fire-brigade
26,3,1,33,9.5,31,10.5,28.5,0,fire-brigade
12.5,6.5,8.5,3,28,12,19.5,9,0,fire-brigade
9,13,14,7.5,18.5,20.5,14,21.5,0,fire-brigade
12.5,2,18,1,20,18.5,10,21,0,fire-brigade
19.5,7,5,1,1,11.5,13,22,1,fire-brigade
21,6,0,8,3,29,29.5,21,0,fire-brigade
30.5,18.5,0,7,13.5,29.5,3.5,28.5,0,fire-brigade
41.5,4,14.5,8,16.5,21,6,26,0,fire-brigade
10,16,4,1,7.5,19,10,27,0,fire-brigade
13,24,1,6,19.5,31.5,39.5,15,0,fire-brigade
9.5,3.5,3,6.5,24,26,28.5,0.5,0,fire-brigade
22.5,19,0,11.5,6,29.5,22,16.5,0,fire-brigade
12.5,12.5,9,6,25,10.5,13.5,13.5,0,fire-brigade
11,2,10,8.5,22.5,21,18,13,0,fire-brigade
3.5,3,4.5,4,2,14.5,4,0,12,fire-brigade
5,4,24.5,3,0,7.5,5,7,15,fire-brigade
2.5,8,9,5,0,29,7.5,2,9,fire-brigade
2.5,24.5,1,7.5,0,36.5,6.5,0,1,fire-brigade
5,13,0,6,3,25.5,6.5,0,0,fire-brigade
2.5,8,20.5,0.5,1,12.5,0.5,24,15,fire-brigade
3,7,16,12.5,0,27.5,3.5,22.5,11.5,fire-brigade
4,28.5,0,4,5,6.5,2.5,25.5,6,fire-brigade
7,20.5,0,0,4,14,3.5,6,12.5,fire-brigade
7,27,0,0,92,8,3.5,4,12.5,fire-brigade
5.5,7.5,6,4.5,2.5,13.5,1,6,29.5,fire-brigade
2.5,12.5,9.5,2,8,17,16.5,4,5.5,fire-brigade
8,2,15,5,14,10,4,4,13.5,fire-brigade
4.5,8.5,16.5,19.5,3.5,1,4.5,0,13,fire-brigade
18,17,16.5,2,9.5,19.5,2,5,7,fire-brigade
9.5,10,12,8,18.5,14.5,0,0,0,fire-brigade
20.5,8.5,0,4,2.5,13,10,0,4,fire-brigade
19,17,1,9.5,4,25.5,15.5,0,0,fire-brigade
14,11.5,9.5,6.5,5.5,23,11,0,0,fire-brigade
11,6.5,8.5,8,10,14,8,0,0,fire-brigade
13.5,3,2,5.5,6.5,17,13.5,0,28,fire-brigade
14,26,0,1.5,6.5,26.5,4,1,18,fire-brigade
4,4,13.5,8.5,1,10,3,7.5,15,fire-brigade
7.5,14,8.5,1,1,12,7.5,24.5,9,fire-brigade
10.5,12.5,7,2,4,2,3,20,11.5,fire-brigade
11.5,21.5,14.5,0,2.5,9.5,5.5,10.5,21.5,fire-brigade
6,12.5,8.5,9,6.5,6,9.5,19.5,14,fire-brigade
9,21,0,3,9,0,2.5,5,16.5,fire-brigade
2.5,25.5,0,0,8.5,12,9,29,0,fire-brigade
72.5,17,12,2.5,5.5,52,14.5,34,0,fire-brigade
9,7,9.5,8,0,18,6,32.5,0,fire-brigade
4.5,0,15.5,12,2,0,29,19.5,0,fire-brigade
4,7,18,9,2.5,15,22.5,18,0,fire-brigade
2.5,2,1.5,2,19,20,41.5,7,0,fire-brigade
6,2,4,13,13,22,33.5,15.5,0,fire-brigade
12.5,9,1,6,0,24.5,8,5,3,fire-brigade
2.5,19,0,2,4,33.5,7.5,0,3,fire-brigade
56,6,17.5,4.5,15,20.5,30.5,5,0,fire-brigade
74.5,2,10,8.5,21,20,31,10.5,0,fire-brigade
5,4,4.5,9.5,1.5,17.5,5,17.5,8.5,fire-brigade
10,8.5,0.5,6,5,27.5,2.5,0,2.5,fire-brigade
12.5,22.5,0,24.5,4,14.5,19.5,13,0,fire-brigade
5.5,0,0,8,0,20.5,11,1.5,2,fire-brigade
2.5,6.5,0,3.5,22.5,14,3.5,0,14.5,fire-brigade
6.5,2,0,8,16,6,7.5,8,0,fire-brigade
5.5,26.5,11,3,0,8,2,5,22.5,fire-brigade
0.5,2,0,3,2,24,9.5,0,0,fire-brigade
1.5,1.5,5,7.5,4,13.5,23.5,4,0,fire-brigade
1.5,0,14,1.5,1,13,18.5,3,0,fire-brigade
2.5,2,15,1,0,11,11.5,1,0,fire-brigade
7.5,7,19.5,3.5,1.5,22.5,5.5,20,13,fire-brigade
10.5,12,12.5,2,6.5,4,5.5,7.5,20.5,fire-brigade
4.5,17,19.5,0,9.5,8.5,1,25.5,13.5,fire-brigade
11.5,26,0.5,1,20.5,19.5,5,16,26.5,fire-brigade
10.5,6,10,5.5,2.5,14.5,8.5,12,21.5,fire-brigade
4,22,8,6,2.5,28,9.5,15,11,fire-brigade
11,6,14.5,12,4,0,4,3,18.5,fire-brigade
10.5,5,11.5,3,2,33,9.5,32.5,0,fire-brigade
12,4,22,5,1,22.5,4.5,17,9,fire-brigade
8,10,15,8.5,4,23,9,24,8,fire-brigade
13,7.5,5,12,9,36,7.5,33.5,1.5,fire-brigade
10,10,1,8,9.5,22.5,10.5,24,0,fire-brigade
3.5,0,4.5,10,4,31.5,4,29,0,fire-brigade
18,2,3,5,5.5,31,15,28,0,fire-brigade
15.5,12,17,2,1,30,7,24,2,fire-brigade
2,3,11.5,0,1.5,0,2.5,2,21.5,fire-brigade
9.5,12,7,0,1,19.5,2.5,1,22,fire-brigade
12.5,11,5,15,3.5,16.5,6,1.5,19.5,fire-brigade
3,9,12,0,6,13,8,17,4,fire-brigade
8.5,15.5,14,0,1.5,3,5.5,3,13.5,fire-brigade
21,20,0,11,8,24,8,10.5,0,fire-brigade
247,7.5,8,10.5,9,33.5,2.5,0,4,fire-brigade
11,23.5,5.5,5,26,11,43,13.5,0,fire-brigade
8.5,4,3,6,2,24.5,9.5,0,0,fire-brigade
80.5,6,1.5,17,11,20,41.5,3.5,0,fire-brigade
7.5,32.5,2,1.5,1,9,1,16,15,fire-brigade
11.5,32,0,5.5,3.5,29.5,2.5,1.5,46.5,fire-brigade
8.5,26.5,0,3.5,5.5,41.5,5.5,15,13,fire-brigade
2,34,0,0,9,24,2.5,1,9.5,fire-brigade
10.5,29.5,4.5,6.5,4,27,2.5,3.5,17,fire-brigade
7.5,11,7,7,7,30,12,3,6,fire-brigade
17,14.5,12,6.5,6,24.5,13.5,0,8,fire-brigade
11,14.5,14.5,0,16.5,23.5,12.5,18.5,0,fire-brigade
12,5.5,21.5,22.5,14.5,26,18,19,0,fire-brigade
4,4,4,5,8,28,3,9,0,fire-brigade
5.5,7,6,4.5,0,26.5,2,20,1.5,fire-brigade
5.5,8.5,25.5,84.5,0,20.5,6,21,3,fire-brigade
4.5,15.5,14,9,0,31.5,8,1,14,fire-brigade
4.5,14.5,0,5,0,34,4.5,0,0,fire-brigade
2.5,0,21,2.5,0,9,1,9,0,fire-brigade
5.5,20.5,18.5,10.5,5,30,3,15.5,5,fire
4,12,0.5,17.5,3,7,0,17.5,0,fire
4,5,5.5,32.5,10.5,22,7,17.5,2,fire
3.5,14,0,10,6,88.5,2,4,5,fire
1,10.5,8.5,22,3.5,5.5,0,13.5,7.5,fire
4.5,19,3,25,0,12,15,5.5,0,fire
9.5,18,4,2,0,3.5,14,9.5,12,fire
0,10,1.5,14,1.5,9,11.5,28,9,fire
3,11.5,7.5,15,0,12.5,18.5,22,6,fire
9,11.5,9,13,0,12.5,13.5,13,22,fire
4.5,18.5,5,3,19.5,20,6.5,24.5,12.5,fire
4,18.5,20,41,3,40,22.5,35.5,14.5,fire
3,26,16,17,0,19.5,11.5,11,10,fire
4,12.5,8.5,14.5,1,19.5,17.5,17.5,5.5,fire
4,28,9,23.5,2.5,36,19,33,0,fire
10,4.5,26.5,10.5,8.5,6,7.5,27,0,fire
1,6.5,10,9,10.5,18,7,0,1,fire
2,8,13,10,12,8,5.5,0,0,fire
3,7,4,4,8,4,10.5,10.5,0,fire
7,6,0,2.5,16,130.5,2,18.5,0,fire
5,22,6.5,4,0,6,13.5,6,3,fire
16.5,17,4.5,0,0,5.5,7.5,0,10.5,fire
10.5,13.5,4,9,0,1,0,5.5,2,fire
5,10.5,21,13.5,6,0,5.5,20.5,6.5,fire
5,19.5,3,8,8,2.5,0,22.5,0,fire
2.5,18,11.5,13,0,11,19.5,0.5,27,fire
11,16.5,10,10,0,5,12.5,7.5,18.5,fire
24.5,2,17.5,3,0,9,18,8.5,26.5,fire
9,3,38.5,0,0,6,17.5,7.5,19,fire
12.5,0,19.5,2.5,0,0,18,7,18.5,fire
12.5,18.5,18.5,8,0,18,16.5,10,24,fire
18.5,0,10,7,0,8,25.5,12,24,fire
8,0,13.5,0,0,3.5,10.5,0,27,fire
7,0,7,0,0,6,15.5,0,28.5,fire
13,0.5,14.5,4,0,0.5,12.5,16.5,23.5,fire
8,21.5,4,39.5,5,5,10,20,3,fire
4,14.5,25,27,7.5,19,6.5,36,4,fire
4.5,26,18,33.5,0,12,0,24,3,fire
18.5,27.5,31,0,0,15,8.5,32,0.5,fire
28.5,29,23.5,0,1,12,9,29.5,0,fire
2,19,0,13.5,0,4,15,16,0,fire
11,18.5,5.5,9.5,5.5,0,7.5,0,6,fire
1,19.5,0,8,0,0,2.5,0,8,fire
0,17,1,13.5,1,4,12,12.5,0,fire
2,30.5,24.5,10,6,0,7,20.5,1,fire
15,21,8,4,0,7,13.5,2,1.5,fire
1,9,14,20,8,19,3,4,7.5,fire
10,11.5,9,4,3.5,1,16,5,20.5,fire
12,13,21.5,2,3.5,1,16,1,1,fire
0,11,0,13.5,12.5,59,8.5,3,4.5,fire
0,21,5.5,14.5,0,11,6,4.5,2,fire
3,28,14,8,0,0,29,7.5,0,fire
0,20,2,9,1.5,0,1,27.5,12,fire
1.5,5,0,0,12,6,11,0,0,fire
2,32.5,13,6.5,2,0,19,7,10.5,fire
13.5,19.5,0,3.5,0,18.5,16.5,24.5,9,fire
12,20,5,9.5,0,12,24.5,34,12.5,fire
20.5,12,5,0,0,1,12.5,18.5,22,fire
11.5,17.5,12.5,17.5,0,2,15.5,8.5,18.5,fire
14.5,17,22.5,21,0,0,19.5,29.5,21.5,fire
0.5,22,18.5,24.5,2,0,9.5,5.5,14.5,fire
9,6,18.5,12,7,4.5,42.5,4,4.5,fire
0,8,9,29,4,11,7.5,19,17.5,fire
1,19,4,10.5,4.5,6,15.5,28.5,2,fire
0,15,3,5,3,2,11,17,4.5,fire
8.5,17,14.5,2,0,5,10.5,21,21.5,fire
10,15,18.5,16.5,0,0,22.5,16.5,20.5,fire
6,20,24,18.5,0,12.5,16.5,21.5,17.5,fire
6,19,0,15,0,2.5,10.5,31,17,fire
9,24,3,5,0,16,19.5,5,20.5,fire
12,22,10.5,0,0,3,6.5,12.5,15,fire
8,20.5,5,3,0,3,5.5,4.5,9.5,fire
15.5,14.5,9,8,0,0,16.5,5.5,16.5,fire
9,32,3,2,0,13,13.5,9,13.5,fire
12,27,3,4,0,18,18.5,18.5,14.5,fire
7,7.5,6.5,0,3.5,0,2,14.5,2.5,fire
3,9,0,3.5,4.5,0,6,12.5,0.5,fire
3,9,1,1,4.5,0,21,1,2.5,fire
1.5,11,3,10.5,4,4.5,19.5,13,2.5,fire
3,6,5.5,4,7,1,3,17.5,0,fire
0,21.5,20,18,2.5,13,10.5,6.5,22.5,fire
11.5,36.5,7,16,0,7,13.5,14,17,fire
24,22,15.5,6,0,2.5,7.5,12,21,fire
13.5,26.5,11,14,0,14.5,14.5,0,22,fire
15,21,8,2,0,3,17.5,25,18.5,fire
2.5,18,11.5,20,3,5,15,0,0,fire
6,13,5,3,5,0,10,14.5,0,fire
0,6,2,61,6,7.5,0,23,0,fire
1,5,10,6,15,0,10.5,0,3.5,fire
4,12.5,1,5,3.5,16.5,10,0,0,fire
25.5,13.5,13,17.5,0,2.5,37,0,19.5,fire
24,12,14,1,0,1,17.5,6,19.5,fire
21.5,15.5,16.5,21.5,0,5.5,6.5,13,19.5,fire
6,22.5,12,15,0,1,11.5,15.5,14,fire
1,27,16,10,0,12,22.5,28.5,9.5,fire
4,0,7,6,9.5,3,7,3.5,0,fire
2,1.5,4.5,2,15,4.5,5,1,2.5,fire
1,3,0,10,13,39,9.5,0,0,fire
0.5,4.5,8,3,7,0,3,16.5,8.5,fire
2,6.5,1.5,6.5,3,0,5,9.5,7.5,fire
11,19,0,3,0,0,12,13,7.5,fire
18.5,30.5,20,24.5,2,1,7,5,14,fire
0,16,2.5,9.5,1,1,3,16.5,2.5,fire
0,19.5,9.5,7.5,4,0,9.5,2,3,fire
1.5,12.5,5.5,2,6.5,0,11,13,0.5,fire
11,19,4.5,1,0,7,8.5,9,16.5,fire
34,19,13,18.5,0,15,21.5,21,18,fire
12.5,19,11.5,4,0,1,12.5,12,22.5,fire
1,15.5,10.5,6,0,2,26.5,14.5,23.5,fire
6,6,18.5,12,0,0,8.5,3.5,10.5,fire
20.5,19,5,18,8,26,24,0,0,fire
11,12,22,25,8.5,8,3.5,11,13.5,fire
14,22,8,5,0,9.5,18.5,7,7.5,fire
11.5,16.5,15.5,16,7,3,20,2,0,fire
0,15,13.5,14,4.5,0,15,11.5,21,fire
4.5,17.5,0,8,9.5,10,6.5,4.5,0,fire
14.5,10.5,20,11,6,0,8,11.5,0,fire
11,8,2.5,5,2,15,8,17,16,fire
5,11.5,0,5,2,7,0,0,9.5,fire
16,10.5,0,4,4,10.5,9.5,4,3.5,fire
10,0,2.5,47.5,24,24.5,9.5,9.5,8,flood
0,0,15,25.5,23,37.5,20.5,23.5,1,flood
6,0,19.5,46.5,23.5,34,11,2,0,flood
7.5,6.5,4,26.5,21.5,24,6,0,0,flood
0,0,9.5,29.5,24,27.5,9.5,10,0,flood
32,11,5.5,20.5,15,16,8.5,7,11,flood
25.5,11,15,7.5,12.5,10.5,20.5,18,16,flood
20,16,36,14.5,9,12,12.5,15.5,10,flood
10,12,5.5,11,13,18,36.5,18.5,12,flood
13.5,12,15.5,7.5,16,15,25,30.5,26,flood
0,8,0,38,20.5,24,5,2,0,flood
15.5,7.5,20.5,12.5,13,0,22,4.5,1,flood
17.5,7,20,8,13,21.5,16,10.5,1,flood
1.5,6.5,19.5,18.5,13,8.5,18.5,7.5,1,flood
3.5,6.5,1,24,17.5,17.5,6,5,0,flood
18,11,13.5,13.5,20,19.5,28,17,10,flood
15,13,3,9.5,13,20,9,15,16,flood
23.5,15,2,8.5,6.5,6,2,19,22,flood
13,5,1,11,20.5,14.5,19,11,5.5,flood
17,8,19,19.5,17.5,15,14,10.5,21.5,flood
12,5.5,11.5,24,26,30,10,1,0,flood
2.5,0,27.5,31.5,23,28.5,20.5,15,5,flood
0,0,4,30,24.5,26.5,22,20.5,17.5,flood
4,2,5.5,32.5,20.5,93.5,12.5,12,4.5,flood
4.5,0,26,32,24.5,21.5,13.5,12.5,18.5,flood
17.5,10,1.5,20,14.5,12,2.5,17.5,14,flood
16,8.5,18,18.5,11.5,8,5.5,16,13.5,flood
29,11.5,7.5,14,15.5,6.5,13.5,23,20.5,flood
16,12,19,8,14.5,3,11.5,16,15,flood
27,8,11,13.5,7.5,12,20,18,16,flood
0,4.5,0,24.5,17.5,17,2,0,0,flood
14,2,0,22,25.5,24,13.5,17.5,10,flood
20,2.5,14,17,21,21.5,23,19,0,flood
13,9,2,20,17,22,5.5,7.5,14.5,flood
13,5.5,7,22.5,19,24.5,31.5,14.5,0,flood
7,3.5,0,22,23.5,16.5,13,0,0,flood
19,22.5,16.5,25,12.5,27.5,30.5,10,9,flood
21,4.5,0,27.5,8.5,18,1,26,8.5,flood
0,21,1,15,8.5,14.5,17,5,0,flood
5,19.5,0,16,10.5,5,69.5,8,5,flood
14,7,4.5,24.5,10.5,11.5,12,13,15,flood
12,3,10.5,10,21,8,8.5,17.5,19,flood
9,13,10,15,13.5,12.5,5.5,15,18,flood
20,9,14.5,13.5,12,15,8,20,18,flood
19.5,9,23.5,11,13,15.5,7.5,12.5,5,flood
19.5,17,5.5,9,10,9.5,3,13,20,flood
17,10,14.5,9,12.5,4.5,5,13,14,flood
17.5,12.5,8,9,12,17,9,24,24,flood
12,12.5,3.5,32.5,13.5,8,5.5,11,20.5,flood
18,11,11.5,8,8,13.5,23.5,23.5,26,flood
7,0,11.5,29,28.5,26.5,14.5,17,12.5,flood
13,0,4.5,25.5,37.5,23.5,6,8,14,flood
8.5,0,7,26,26,25,2.5,10.5,10.5,flood
10.5,3,11,19,23.5,29,5.5,10,0,flood
0,1.5,11.5,43.5,19.5,31,0,9.5,0,flood
17,1,2,15.5,26,19,10.5,20,22,flood
15.5,14,4,17.5,9,15,11,16,21,flood
23,2,3.5,14,18,14,20,23,15,flood
21,13.5,16.5,6,7.5,9,46,24,17,flood
14,14,12,12.5,6,10,11,12.5,13,flood
10,5.5,9.5,20,30,25.5,11.5,1,0,flood
4.5,12.5,16,43,12,22,16,8,0,flood
12.5,1.5,14,26,24.5,18.5,13.5,12,8.5,flood
0,15,6.5,24.5,26.5,21.5,14.5,0,0,flood
5,7,21.5,33,25.5,29.5,21.5,14,0,flood
17,5.5,2,18,17,17,5,20,17.5,flood
12.5,17,6.5,15,5.5,16,9,20,19,flood
22,4.5,10.5,17,16,15,12,10,14,flood
18,6,5,13,14.5,11.5,11,7,22.5,flood
9,14,36,12.5,14,11.5,15.5,6,15,flood
6,2.5,6.5,33,23.5,38.5,9,5.5,0,flood
16,10,10,36,11.5,17.5,19,8.5,0,flood
