%1. Title : 
%
%2. Sources : 
%
%
%
@RELATION Imagette

@ATTRIBUTE  Black_Pixel_0 NUMERIC
@ATTRIBUTE  Black_Pixel_1 NUMERIC
@ATTRIBUTE  Black_Pixel_2 NUMERIC
@ATTRIBUTE  Black_Pixel_3 NUMERIC
@ATTRIBUTE  Black_Pixel_4 NUMERIC
@ATTRIBUTE  Black_Pixel_5 NUMERIC
@ATTRIBUTE  Black_Pixel_6 NUMERIC
@ATTRIBUTE  Black_Pixel_7 NUMERIC
@ATTRIBUTE  Black_Pixel_8 NUMERIC
@ATTRIBUTE  White_Pixel_0 NUMERIC
@ATTRIBUTE  White_Pixel_1 NUMERIC
@ATTRIBUTE  White_Pixel_2 NUMERIC
@ATTRIBUTE  White_Pixel_3 NUMERIC
@ATTRIBUTE  White_Pixel_4 NUMERIC
@ATTRIBUTE  White_Pixel_5 NUMERIC
@ATTRIBUTE  White_Pixel_6 NUMERIC
@ATTRIBUTE  White_Pixel_7 NUMERIC
@ATTRIBUTE  White_Pixel_8 NUMERIC
@ATTRIBUTE  Airs_0 NUMERIC
@ATTRIBUTE  Airs_1 NUMERIC
@ATTRIBUTE  Airs_2 NUMERIC
@ATTRIBUTE  Airs_3 NUMERIC
@ATTRIBUTE  Airs_4 NUMERIC
@ATTRIBUTE  Airs_5 NUMERIC
@ATTRIBUTE  Airs_6 NUMERIC
@ATTRIBUTE  Airs_7 NUMERIC
@ATTRIBUTE  Airs_8 NUMERIC
@ATTRIBUTE Class  {accident, bomb, car, casualty, electricity, fire-brigade, fire, flood, gas, injury, paramedics, person police, road-block}

@DATA
0,0,0,168,-168,13.5,150,-150,18.5,149,-149,24.5,294,-294,23.5,74,-74,3,265,-265,17.5,116,-116,2,229,-229,27.5,bomb
35,-35,0,15,-15,0,2,-2,0,8,-8,0,38,-38,4.5,43,-43,5,39,-39,4.5,39,-39,1,36,-36,6,bomb
22,-22,0,22,-22,1.5,15,-15,1,22,-22,0,31,-31,3.5,39,-39,0,22,-22,0,19,-19,3,21,-21,3,bomb
25,-25,0,14,-14,0,41,-41,2.5,27,-27,0,25,-25,0,46,-46,0,38,-38,2.5,28,-28,3.5,4,-4,0,bomb
42,-42,4,11,-11,0,121,-121,0,24,-24,0,49,-49,4,34,-34,1,36,-36,1.5,36,-36,1,36,-36,5.5,bomb
34,-34,34.5,20,-20,0,33,-33,0,22,-22,0,36,-36,4.5,23,-23,2.5,22,-22,0,22,-22,0,29,-29,5,bomb
102,-102,0,283,-283,26,38,-38,4,209,-209,21.5,179,-179,26.5,302,-302,29,257,-257,33.5,161,-161,7,260,-260,26.5,bomb
158,-158,0,168,-168,12,75,-75,6,181,-181,0,70,-70,0,237,-237,28,204,-204,30,129,-129,0,245,-245,23.5,bomb
51,-51,0,189,-189,24,78,-78,8.5,149,-149,0,67,-67,0,256,-256,21.5,257,-257,43,147,-147,4,221,-221,24.5,bomb
32,-32,0,142,-142,19,56,-56,7.5,130,-130,0,47,-47,0,177,-177,12.5,199,-199,17.5,117,-117,1,190,-190,19.5,bomb
34,-34,0,235,-235,35,32,-32,2,182,-182,0,134,-134,0,193,-193,25.5,250,-250,23.5,161,-161,5,231,-231,29.5,bomb
0,0,0,123,-123,7,38,-38,0,108,-108,14,195,-195,27.5,68,-68,0,166,-166,15.5,79,-79,2,165,-165,10.5,bomb
4,-4,0,168,-168,3,0,0,0,193,-193,6,94,-94,3,100,-100,0,211,-211,15,129,-129,0,162,-162,17.5,bomb
105,-105,6,86,-86,12,0,0,0,169,-169,17,142,-142,16,15,-15,2.5,199,-199,8.5,86,-86,10.5,160,-160,21,bomb
21,-21,0,123,-123,4,84,-84,8,73,-73,10,247,-247,8,3,-3,0,205,-205,9.5,90,-90,1,192,-192,19.5,bomb
0,0,0,121,-121,3,90,-90,16,59,-59,7.5,226,-226,14.5,69,-69,9,206,-206,12,89,-89,1,185,-185,17.5,bomb
70,-70,7,157,-157,25,83,-83,11.5,130,-130,7,284,-284,28,42,-42,7,155,-155,12.5,204,-204,0,204,-204,4.5,bomb
34,-34,0,63,-63,10,193,-193,13.5,271,-271,19.5,97,-97,4.5,27,-27,4,223,-223,15,175,-175,22,134,-134,22.5,bomb
245,-245,29,90,-90,12,0,0,0,170,-170,23.5,250,-250,7,166,-166,18.5,256,-256,20.5,32,-32,4.5,157,-157,5,bomb
202,-202,0,69,-69,4.5,0,0,0,173,-173,3.5,158,-158,1,121,-121,14,306,-306,24,55,-55,4,317,-317,15.5,bomb
0,0,0,290,-290,16,0,0,0,69,-69,4,219,-219,20,261,-261,29,366,-366,26,159,-159,1,316,-316,20.5,bomb
50,-50,2,45,-45,4,151,-151,0,79,-79,0,87,-87,5.5,17,-17,1.5,35,-35,0,62,-62,5.5,86,-86,3.5,bomb
74,-74,8,73,-73,10,0,0,0,97,-97,8.5,95,-95,3,16,-16,0.5,102,-102,6,66,-66,1,125,-125,11,bomb
4,-4,0,89,-89,8,49,-49,8,77,-77,5,98,-98,4,36,-36,5,117,-117,7.5,47,-47,3,97,-97,6,bomb
23,-23,2.5,82,-82,5,3,-3,0,97,-97,7.5,34,-34,4,1,-1,0,82,-82,6.5,52,-52,1.5,78,-78,7,bomb
12,-12,1.5,81,-81,9,62,-62,8.5,151,-151,8.5,56,-56,8.5,11,-11,0,66,-66,4.5,62,-62,3,86,-86,11,bomb
41,-41,2,102,-102,10,53,-53,0,118,-118,7,83,-83,7,6,-6,0,121,-121,9.5,55,-55,0.5,115,-115,10,bomb
27,-27,0,109,-109,10,24,-24,5.5,36,-36,0,139,-139,16.5,87,-87,7.5,143,-143,11.5,73,-73,3,106,-106,12.5,bomb
110,-110,1,171,-171,0,0,0,0,88,-88,0,50,-50,0,9,-9,0,42,-42,2.5,54,-54,2,89,-89,5.5,bomb
4,-4,0,113,-113,9.5,174,-174,0,100,-100,6,115,-115,10.5,66,-66,0,112,-112,9,56,-56,0,110,-110,8.5,bomb
50,-50,0,63,-63,8,86,-86,9,61,-61,1,135,-135,11.5,28,-28,0,98,-98,5,71,-71,2,110,-110,15.5,bomb
37,-37,0,92,-92,5.5,1,-1,0,62,-62,5.5,79,-79,18,75,-75,7.5,83,-83,9.5,74,-74,3.5,97,-97,10,bomb
17,-17,0,90,-90,18.5,40,-40,3.5,77,-77,0,75,-75,3.5,120,-120,9.5,112,-112,15.5,74,-74,1,111,-111,13.5,bomb
7,-7,0,171,-171,8.5,41,-41,0,71,-71,0,74,-74,9,91,-91,14,82,-82,5.5,80,-80,5,93,-93,17.5,bomb
316,-316,0,182,-182,11.5,31,-31,3,28,-28,0,79,-79,3,162,-162,15.5,115,-115,12.5,87,-87,1.5,119,-119,15,bomb
64,-64,0,142,-142,5.5,11,-11,0,55,-55,0,145,-145,13,124,-124,10.5,152,-152,11.5,90,-90,2,131,-131,14.5,bomb
24,-24,0,0,0,0,0,0,0,185,-185,4,40,-40,0,0,0,0,284,-284,22,66,-66,1,0,0,0,bomb
50,-50,0,74,-74,12,73,-73,5.5,67,-67,0,58,-58,0,135,-135,13,120,-120,8.5,67,-67,3,109,-109,12.5,bomb
45,-45,0,110,-110,13,85,-85,1.5,71,-71,0,48,-48,0,147,-147,13.5,127,-127,8.5,87,-87,6,94,-94,14,bomb
63,-63,0,130,-130,20.5,11,-11,0,50,-50,0,71,-71,6,109,-109,11,67,-67,5.5,75,-75,7.5,81,-81,11,bomb
0,0,0,64,-64,3,76,-76,4,100,-100,10.5,73,-73,0,153,-153,7,163,-163,10.5,100,-100,6.5,94,-94,17,bomb
0,0,0,24,-24,3,162,-162,8.5,103,-103,0,210,-210,12,92,-92,13.5,202,-202,18,102,-102,1,195,-195,16.5,bomb
0,0,0,37,-37,6.5,99,-99,9,63,-63,11.5,210,-210,9.5,129,-129,0,176,-176,13.5,79,-79,0,175,-175,23,bomb
24,-24,0,148,-148,19.5,37,-37,0,152,-152,15.5,254,-254,30,29,-29,4.5,203,-203,12.5,103,-103,1,192,-192,24,bomb
162,-162,0,122,-122,17,95,-95,11,55,-55,8,254,-254,13,9,-9,0,198,-198,16.5,110,-110,6,182,-182,21.5,bomb
141,-141,0,193,-193,30,49,-49,9,151,-151,16.5,139,-139,3,222,-222,16,155,-155,15,93,-93,9.5,210,-210,12.5,bomb
46,-46,3.5,98,-98,7.5,40,-40,0,75,-75,4,67,-67,0,101,-101,14.5,103,-103,7.5,63,-63,0,81,-81,10,bomb
215,-215,0,136,-136,17,24,-24,0,141,-141,3.5,76,-76,1,182,-182,11.5,125,-125,12.5,70,-70,0.5,127,-127,12,bomb
42,-42,0,123,-123,8.5,36,-36,0,162,-162,9.5,175,-175,15,105,-105,11,128,-128,9.5,66,-66,3,107,-107,9.5,bomb
116,-116,0,171,-171,54,46,-46,0,135,-135,0,184,-184,33.5,131,-131,11,186,-186,11.5,122,-122,12.5,108,-108,17,bomb
14,-14,0,112,-112,9.5,56,-56,3.5,59,-59,17,60,-60,0,111,-111,9,54,-54,0,62,-62,5.5,94,-94,9.5,bomb
94,-94,15,303,-303,18.5,251,-251,4.5,287,-287,31,176,-176,8.5,209,-209,10.5,477,-477,22,505,-505,9.5,430,-430,31,car
200,-200,15.5,240,-240,0,182,-182,25.5,181,-181,13,106,-106,15,205,-205,23.5,464,-464,11,515,-515,23.5,393,-393,9,car
45,-45,10,248,-248,27.5,150,-150,1.5,201,-201,19,144,-144,8.5,275,-275,4.5,390,-390,12.5,481,-481,13,512,-512,19.5,car
173,-173,19,263,-263,0,202,-202,2.5,301,-301,15.5,272,-272,14.5,336,-336,8.5,378,-378,15.5,535,-535,20,291,-291,19,car
143,-143,21,253,-253,9,179,-179,6.5,321,-321,25.5,110,-110,6.5,457,-457,20,434,-434,14.5,316,-316,16.5,492,-492,38,car
208,-208,2.5,252,-252,0,211,-211,10.5,105,-105,4,45,-45,0,133,-133,15.5,172,-172,67,291,-291,8,157,-157,4.5,car
225,-225,3.5,233,-233,0,185,-185,21.5,209,-209,12,78,-78,3.5,317,-317,20.5,145,-145,14,349,-349,13,66,-66,5.5,car
275,-275,6,249,-249,1,117,-117,11,113,-113,8.5,41,-41,3.5,173,-173,21.5,274,-274,21,353,-353,14,267,-267,17.5,car
278,-278,3.5,233,-233,0,134,-134,13.5,5,-5,0,14,-14,0,143,-143,20.5,316,-316,9.5,319,-319,5,229,-229,8,car
196,-196,4,277,-277,0,198,-198,1.5,102,-102,9,330,-330,0,111,-111,6,300,-300,8.5,291,-291,10,291,-291,13,car
96,-96,16,175,-175,1.5,224,-224,1.5,269,-269,15,237,-237,18,222,-222,13,58,-58,10,328,-328,16,231,-231,19,car
94,-94,13,214,-214,8.5,201,-201,3.5,186,-186,11,383,-383,10,320,-320,15.5,130,-130,10.5,225,-225,10.5,115,-115,13.5,car
82,-82,13.5,194,-194,10,171,-171,2,232,-232,21.5,209,-209,6,207,-207,16,201,-201,10.5,330,-330,14.5,92,-92,13.5,car
53,-53,8.5,241,-241,12,241,-241,7.5,255,-255,21,251,-251,16,276,-276,20,260,-260,13.5,358,-358,14,237,-237,25,car
88,-88,15.5,229,-229,15.5,158,-158,3.5,414,-414,19.5,255,-255,14.5,301,-301,9,196,-196,5.5,347,-347,14,331,-331,22,car
170,-170,12,193,-193,0,116,-116,2,81,-81,9.5,17,-17,0,99,-99,9,139,-139,10,264,-264,14.5,249,-249,19,car
155,-155,3.5,190,-190,0,95,-95,2.5,107,-107,4,18,-18,0,84,-84,9,250,-250,7,250,-250,14,279,-279,30,car
246,-246,6.5,220,-220,0,132,-132,4.5,79,-79,2.5,9,-9,0,121,-121,15,212,-212,18.5,297,-297,7,236,-236,8.5,car
276,-276,6.5,224,-224,0,88,-88,11,69,-69,3.5,0,0,0,163,-163,23.5,102,-102,0,503,-503,15.5,234,-234,5,car
246,-246,1,224,-224,0,97,-97,10.5,94,-94,5,71,-71,3,174,-174,21,225,-225,13.5,369,-369,23,140,-140,0,car
136,-136,25,203,-203,0,216,-216,15.5,372,-372,18.5,105,-105,6.5,195,-195,16,263,-263,16.5,283,-283,9,212,-212,5.5,car
158,-158,20.5,192,-192,2,154,-154,1.5,377,-377,129.5,269,-269,6,230,-230,9.5,207,-207,17,112,-112,6.5,187,-187,19.5,car
88,-88,14.5,144,-144,17,246,-246,0,241,-241,30,189,-189,10,246,-246,7.5,228,-228,8.5,341,-341,20,196,-196,7.5,car
55,-55,9,194,-194,6.5,127,-127,0.5,112,-112,16.5,12,-12,0,93,-93,3,344,-344,17.5,304,-304,16.5,349,-349,10,car
14,-14,1,180,-180,26.5,8,-8,0.5,160,-160,20,167,-167,22,306,-306,13,178,-178,7.5,274,-274,17,105,-105,13.5,car
182,-182,13.5,263,-263,3,156,-156,0.5,118,-118,15,28,-28,0,133,-133,4.5,193,-193,5.5,406,-406,18,286,-286,11.5,car
278,-278,10.5,227,-227,1,110,-110,6,38,-38,3,294,-294,0,155,-155,19.5,234,-234,8,297,-297,45.5,197,-197,4,car
173,-173,8.5,223,-223,0,52,-52,5.5,90,-90,10.5,64,-64,0,110,-110,14.5,217,-217,16.5,238,-238,18,243,-243,16,car
232,-232,3.5,203,-203,0,122,-122,5.5,169,-169,11,18,-18,0,140,-140,16.5,284,-284,19,268,-268,12,230,-230,6,car
260,-260,10.5,230,-230,1,137,-137,19,67,-67,10,23,-23,0,193,-193,25,248,-248,8.5,376,-376,20,287,-287,23,car
387,-387,20.5,313,-313,0,268,-268,22.5,149,-149,13,134,-134,0,143,-143,19.5,364,-364,696.5,353,-353,11,458,-458,18,car
381,-381,13.5,283,-283,0,345,-345,36,25,-25,0,137,-137,0,16,-16,1.5,283,-283,13.5,406,-406,10,429,-429,27,car
335,-335,6.5,287,-287,0,227,-227,13.5,110,-110,3,7,-7,0,166,-166,25,434,-434,11.5,489,-489,13,353,-353,10.5,car
387,-387,3.5,274,-274,0,253,-253,25,35,-35,0,0,0,0,121,-121,19,420,-420,10.5,454,-454,12.5,367,-367,12,car
343,-343,4.5,288,-288,0,244,-244,9.5,116,-116,4,264,-264,0,204,-204,23,404,-404,13.5,336,-336,5,374,-374,15,car
192,-192,3.5,244,-244,16,210,-210,27,216,-216,11.5,133,-133,71.5,407,-407,31.5,351,-351,11.5,494,-494,27,387,-387,26,car
146,-146,24.5,183,-183,7.5,170,-170,5,212,-212,12,139,-139,7,268,-268,4,318,-318,8,421,-421,26,309,-309,17.5,car
182,-182,28.5,278,-278,17.5,202,-202,9.5,199,-199,49,226,-226,12.5,310,-310,14,260,-260,8.5,468,-468,27,493,-493,29,car
175,-175,25,259,-259,15.5,248,-248,4,235,-235,43.5,235,-235,6.5,228,-228,20.5,205,-205,22,572,-572,34,267,-267,28.5,car
68,-68,10.5,243,-243,31,58,-58,0,336,-336,21.5,225,-225,7.5,452,-452,20.5,358,-358,10,514,-514,19,177,-177,19.5,car
183,-183,22,223,-223,3,100,-100,1.5,96,-96,11,33,-33,4.5,185,-185,20,211,-211,9,267,-267,10,282,-282,14.5,car
207,-207,5.5,199,-199,0,176,-176,3.5,63,-63,7.5,7,-7,0,131,-131,8.5,231,-231,11,257,-257,18,326,-326,132,car
176,-176,5,222,-222,7,133,-133,0.5,70,-70,6.5,309,-309,0,129,-129,5,199,-199,4,299,-299,4.5,378,-378,29.5,car
129,-129,5.5,215,-215,0,147,-147,5.5,77,-77,5,0,0,0,106,-106,11.5,241,-241,7.5,298,-298,7,265,-265,17.5,car
180,-180,3,241,-241,0,139,-139,4.5,104,-104,13.5,7,-7,0,126,-126,9.5,200,-200,2.5,364,-364,10,289,-289,15.5,car
173,-173,23.5,233,-233,0,320,-320,0.5,173,-173,24,7,-7,0,258,-258,5,391,-391,34.5,538,-538,31,428,-428,15,car
78,-78,14.5,209,-209,29.5,147,-147,5,276,-276,27.5,211,-211,13,432,-432,9.5,280,-280,10,397,-397,20.5,171,-171,23.5,car
35,-35,5,182,-182,12.5,196,-196,2.5,207,-207,20,221,-221,10,325,-325,10,221,-221,11,356,-356,9.5,303,-303,5.5,car
11,-11,1.5,261,-261,32.5,210,-210,2.5,349,-349,24,160,-160,8,291,-291,3.5,204,-204,10,438,-438,25,377,-377,17.5,car
3,-3,0.5,311,-311,37.5,223,-223,10.5,261,-261,24.5,376,-376,8,288,-288,11.5,301,-301,23.5,610,-610,13.5,344,-344,26,car
229,-229,37,307,-307,6,315,-315,5.5,674,-674,25.5,496,-496,31,326,-326,31,354,-354,15,327,-327,19.5,438,-438,29,car
279,-279,35.5,316,-316,0,322,-322,17.5,342,-342,20.5,326,-326,46,262,-262,27,347,-347,13,425,-425,25,399,-399,26,car
208,-208,31.5,288,-288,1,285,-285,31,453,-453,27,339,-339,20.5,377,-377,17.5,297,-297,14,589,-589,27,374,-374,23.5,car
174,-174,28,317,-317,15,422,-422,6.5,267,-267,34.5,249,-249,6,539,-539,28,451,-451,36.5,533,-533,19,254,-254,24.5,car
202,-202,31,292,-292,3,344,-344,27,513,-513,32.5,399,-399,16,420,-420,11,625,-625,21,673,-673,25,69,-69,4.5,car
128,-128,4.5,228,-228,1,82,-82,0,115,-115,10.5,48,-48,0,259,-259,18,151,-151,0,393,-393,19,248,-248,24.5,car
185,-185,6.5,228,-228,0,153,-153,4.5,104,-104,16.5,59,-59,3.5,183,-183,11,239,-239,3.5,278,-278,11,357,-357,81.5,car
158,-158,3,215,-215,1,83,-83,0.5,81,-81,9,38,-38,0,113,-113,11,292,-292,8.5,294,-294,9,288,-288,38.5,car
213,-213,5.5,205,-205,1,119,-119,3.5,91,-91,11.5,8,-8,0,175,-175,17.5,273,-273,9,379,-379,11.5,226,-226,8.5,car
14,-14,2,223,-223,10.5,171,-171,1.5,138,-138,19,90,-90,1.5,166,-166,6.5,104,-104,0,314,-314,19,222,-222,9.5,car
48,-48,7.5,106,-106,4,11,-11,1,61,-61,9,21,-21,0,87,-87,9,103,-103,6.5,140,-140,9.5,120,-120,9.5,car
78,-78,1.5,124,-124,0,31,-31,3.5,46,-46,3,34,-34,0,65,-65,8,133,-133,3,136,-136,5.5,143,-143,6.5,car
70,-70,3.5,104,-104,3,7,-7,0,54,-54,4.5,21,-21,1,105,-105,3.5,87,-87,1.5,107,-107,2,131,-131,2,car
126,-126,4,128,-128,1,61,-61,2.5,95,-95,4.5,23,-23,0,91,-91,10.5,104,-104,39,150,-150,3.5,140,-140,7.5,car
119,-119,5.5,122,-122,0,54,-54,1.5,52,-52,9,76,-76,4,66,-66,5.5,97,-97,3.5,149,-149,1,163,-163,9.5,car
348,-348,7.5,342,-342,0,409,-409,8.5,125,-125,6,39,-39,0,51,-51,0,443,-443,13,485,-485,29.5,470,-470,13.5,car
259,-259,17.5,302,-302,0,246,-246,3.5,193,-193,15.5,58,-58,2.5,203,-203,7.5,386,-386,10,497,-497,15,433,-433,14.5,car
364,-364,6.5,293,-293,0,199,-199,8.5,58,-58,5.5,137,-137,0,181,-181,18,392,-392,9.5,538,-538,23.5,478,-478,16,car
237,-237,9,304,-304,1,381,-381,6.5,174,-174,17,13,-13,0,115,-115,4,449,-449,9.5,491,-491,10,556,-556,453,car
302,-302,17.5,294,-294,0,288,-288,31.5,164,-164,35.5,92,-92,0,260,-260,24.5,379,-379,11,575,-575,24,382,-382,38,car
84,-84,12,243,-243,5.5,246,-246,8.5,219,-219,54,279,-279,20,403,-403,37.5,298,-298,60,436,-436,25,95,-95,12.5,car
122,-122,17,228,-228,8.5,140,-140,9.5,185,-185,21,238,-238,9.5,368,-368,20.5,245,-245,16.5,495,-495,22.5,324,-324,20.5,car
98,-98,16,173,-173,0,182,-182,1.5,117,-117,13.5,152,-152,21.5,263,-263,5.5,251,-251,8.5,333,-333,13,310,-310,51.5,car
69,-69,10.5,351,-351,25.5,161,-161,0,234,-234,29,260,-260,12,286,-286,12.5,323,-323,4,759,-759,20,452,-452,15.5,car
68,-68,10.5,329,-329,12.5,245,-245,5.5,287,-287,28,333,-333,15,468,-468,18.5,279,-279,8,491,-491,19.5,429,-429,22.5,car
227,-227,9,311,-311,0,263,-263,5.5,169,-169,37,198,-198,5,175,-175,13.5,348,-348,7,467,-467,17,314,-314,10,car
142,-142,34,273,-273,0,309,-309,0.5,150,-150,40,181,-181,5,271,-271,0.5,252,-252,7,536,-536,10.5,565,-565,32.5,car
91,-91,14,296,-296,10,223,-223,8.5,361,-361,26,227,-227,5.5,216,-216,10,129,-129,4,564,-564,27,493,-493,21.5,car
156,-156,11.5,313,-313,1.5,253,-253,15.5,230,-230,29,87,-87,0,272,-272,15.5,279,-279,14,702,-702,20.5,604,-604,18,car
114,-114,15.5,335,-335,15.5,216,-216,8.5,246,-246,30,207,-207,5.5,210,-210,4,446,-446,7,728,-728,10,526,-526,19.5,car
137,-137,20,234,-234,6,119,-119,5,145,-145,20.5,17,-17,0,171,-171,17,239,-239,9,370,-370,11.5,277,-277,16.5,car
114,-114,15,185,-185,1,148,-148,4.5,138,-138,34.5,143,-143,7.5,135,-135,7,191,-191,136,235,-235,16.5,258,-258,16.5,car
182,-182,13.5,201,-201,0,138,-138,3.5,110,-110,11.5,149,-149,0,121,-121,4,249,-249,15.5,279,-279,12.5,291,-291,9.5,car
189,-189,11,231,-231,1,156,-156,5.5,111,-111,39,35,-35,0,137,-137,9,243,-243,8,349,-349,17.5,337,-337,17,car
220,-220,16,267,-267,0,202,-202,5,133,-133,29.5,19,-19,0,193,-193,16,242,-242,1,501,-501,18,427,-427,23,car
82,-82,2.5,84,-84,7,2,-2,0,84,-84,2.5,59,-59,1,122,-122,4.5,73,-73,7,106,-106,6,82,-82,5.5,car
99,-99,5.5,55,-55,6.5,0,0,0,70,-70,0,66,-66,2,156,-156,8,166,-166,6,192,-192,5.5,33,-33,2,car
83,-83,7,107,-107,7.5,9,-9,0,102,-102,10.5,73,-73,6.5,164,-164,8,132,-132,8.5,132,-132,62,56,-56,3.5,car
116,-116,7,55,-55,4,53,-53,0,35,-35,3,44,-44,4.5,141,-141,12,126,-126,6,164,-164,7,93,-93,4.5,car
126,-126,0.5,123,-123,1,34,-34,0,53,-53,0,47,-47,4,103,-103,5.5,129,-129,3,180,-180,6,161,-161,11.5,car
123,-123,16,272,-272,18,181,-181,10,208,-208,26,68,-68,1,330,-330,39,379,-379,48,556,-556,37.5,257,-257,20.5,car
198,-198,4.5,255,-255,0,244,-244,9.5,193,-193,19.5,399,-399,14.5,371,-371,16,210,-210,12,291,-291,20,299,-299,19,car
60,-60,8,266,-266,17,48,-48,0,169,-169,22,112,-112,0,400,-400,30,356,-356,25.5,384,-384,9.5,407,-407,20.5,car
163,-163,10.5,203,-203,0,157,-157,11.5,194,-194,11,142,-142,7.5,249,-249,9,344,-344,6.5,372,-372,8,324,-324,17,car
167,-167,17,250,-250,2,239,-239,20,372,-372,20,494,-494,7.5,354,-354,10,10,-10,0,354,-354,23,360,-360,27,car
177,-177,27.5,335,-335,8,316,-316,0,263,-263,36.5,112,-112,2.5,72,-72,4,403,-403,20,767,-767,28,506,-506,39,car
196,-196,19.5,312,-312,9,310,-310,20.5,272,-272,57,170,-170,41.5,212,-212,12.5,342,-342,115.5,585,-585,20.5,534,-534,17,car
192,-192,27,318,-318,9,332,-332,5.5,255,-255,55.5,74,-74,5,236,-236,6.5,610,-610,16,533,-533,19.5,402,-402,19,car
234,-234,16.5,326,-326,7.5,317,-317,14.5,204,-204,27,43,-43,1,210,-210,4.5,625,-625,14.5,617,-617,24.5,452,-452,21,car
179,-179,16.5,207,-207,12.5,316,-316,14.5,197,-197,19.5,249,-249,7,409,-409,5,347,-347,18.5,649,-649,13,487,-487,19,car
145,-145,14,263,-263,1,249,-249,1,185,-185,49,100,-100,3.5,111,-111,15.5,336,-336,4,532,-532,17.5,252,-252,16.5,car
59,-59,9.5,242,-242,8.5,123,-123,9,273,-273,29.5,265,-265,8.5,444,-444,32,286,-286,8.5,440,-440,22,183,-183,16.5,car
152,-152,7.5,247,-247,0,207,-207,1.5,106,-106,18,132,-132,3,262,-262,10.5,182,-182,11.5,622,-622,265,415,-415,15,car
170,-170,8.5,248,-248,1,187,-187,3,247,-247,35,417,-417,75,407,-407,34.5,263,-263,11,550,-550,9.5,259,-259,13.5,car
132,-132,7,132,-132,17.5,76,-76,0,97,-97,12.5,51,-51,6,179,-179,14,219,-219,27,248,-248,13.5,202,-202,18,car
177,-177,8.5,168,-168,18,21,-21,2,150,-150,3.5,73,-73,0,252,-252,16.5,169,-169,9,428,-428,14,318,-318,10.5,car
162,-162,1.5,194,-194,0,116,-116,4,222,-222,3.5,82,-82,4.5,97,-97,10,78,-78,5.5,295,-295,14,244,-244,9,car
196,-196,11,103,-103,11,124,-124,0,97,-97,9,174,-174,6,213,-213,19,224,-224,8.5,361,-361,17.5,350,-350,61.5,car
136,-136,7.5,208,-208,3,94,-94,6.5,112,-112,15.5,18,-18,0,200,-200,23,196,-196,11,314,-314,11.5,310,-310,14.5,car
80,-80,0,190,-190,20.5,216,-216,13.5,85,-85,40,327,-327,23,186,-186,22.5,137,-137,42,159,-159,23,93,-93,32,casualty
72,-72,5.5,130,-130,24,131,-131,9.5,311,-311,22.5,184,-184,10.5,203,-203,7,146,-146,20.5,233,-233,17.5,106,-106,34.5,casualty
89,-89,4,136,-136,18,219,-219,13,251,-251,30,259,-259,9.5,192,-192,26,155,-155,47.5,207,-207,22.5,135,-135,24,casualty
182,-182,13,144,-144,7,137,-137,10.5,323,-323,20,28,-28,2,290,-290,24.5,164,-164,32.5,302,-302,17.5,115,-115,17,casualty
180,-180,19.5,206,-206,35.5,75,-75,8,291,-291,34,127,-127,9.5,289,-289,23.5,220,-220,18.5,286,-286,19,138,-138,26.5,casualty
93,-93,0,59,-59,0,134,-134,6,193,-193,49.5,188,-188,23.5,83,-83,0,93,-93,20,152,-152,22,123,-123,27.5,casualty
96,-96,7,98,-98,9,104,-104,0,145,-145,17.5,256,-256,24,42,-42,7.5,79,-79,25.5,121,-121,12.5,80,-80,4,casualty
64,-64,0,54,-54,0,110,-110,6.5,163,-163,44,230,-230,14.5,130,-130,6,43,-43,13,195,-195,22,104,-104,11,casualty
124,-124,21,64,-64,2,79,-79,0,150,-150,16.5,291,-291,13.5,60,-60,0,105,-105,17,88,-88,10,126,-126,0,casualty
118,-118,5,26,-26,0,143,-143,17.5,186,-186,24,319,-319,26,84,-84,14,109,-109,35,187,-187,19.5,97,-97,5,casualty
94,-94,1.5,37,-37,7,92,-92,7.5,171,-171,21,185,-185,7,110,-110,12.5,36,-36,10,186,-186,17.5,124,-124,13.5,casualty
58,-58,0,40,-40,0,131,-131,0,162,-162,11,151,-151,17.5,150,-150,11.5,26,-26,6.5,242,-242,19.5,110,-110,1,casualty
46,-46,0,144,-144,6,109,-109,8.5,220,-220,34.5,232,-232,16.5,141,-141,13.5,114,-114,29,251,-251,15.5,120,-120,0,casualty
135,-135,15.5,15,-15,0,105,-105,8.5,153,-153,17,229,-229,7.5,117,-117,9.5,45,-45,10,170,-170,16.5,86,-86,0,casualty
80,-80,2.5,52,-52,2,125,-125,9.5,181,-181,35,169,-169,17,202,-202,18.5,85,-85,13,203,-203,13,129,-129,0,casualty
345,-345,19,136,-136,20,177,-177,18,550,-550,35,316,-316,15,409,-409,62,181,-181,25,363,-363,37.5,233,-233,36,casualty
309,-309,10.5,224,-224,13.5,206,-206,18,356,-356,66.5,411,-411,23.5,265,-265,52,218,-218,31,221,-221,29.5,219,-219,45.5,casualty
276,-276,21.5,192,-192,3,281,-281,33.5,371,-371,62,384,-384,20.5,355,-355,40,188,-188,29.5,329,-329,38,218,-218,27,casualty
222,-222,22,348,-348,16.5,251,-251,24.5,496,-496,37,347,-347,8.5,415,-415,37.5,229,-229,31.5,506,-506,40,169,-169,24,casualty
247,-247,26,292,-292,19.5,235,-235,15,396,-396,67.5,533,-533,37,277,-277,36,288,-288,30.5,363,-363,46,176,-176,23.5,casualty
