%1. Title : 
%
%2. Sources : 
%
%
%
@RELATION Imagette

@ATTRIBUTE  Black_Pixel_1 NUMERIC
@ATTRIBUTE  Black_Pixel_2 NUMERIC
@ATTRIBUTE  Black_Pixel_3 NUMERIC
@ATTRIBUTE  Black_Pixel_4 NUMERIC
@ATTRIBUTE  Black_Pixel_5 NUMERIC
@ATTRIBUTE  Black_Pixel_6 NUMERIC
@ATTRIBUTE  Black_Pixel_7 NUMERIC
@ATTRIBUTE  Black_Pixel_8 NUMERIC
@ATTRIBUTE  Black_Pixel_9 NUMERIC
@ATTRIBUTE Class  {accident, bomb, car, casualty, electricity, fire-brigade, fire, flood, gas, injury, paramedics, person police, road-block}

@DATA
0,108,0,0,245,0,0,191,0,electricity
173,208,187,126,142,42,150,246,30,electricity
0,226,152,77,165,8,181,235,60,electricity
0,193,16,0,207,48,32,156,0,electricity
157,234,42,353,84,195,191,151,24,fire-brigade
255,258,66,358,97,165,279,170,41,fire-brigade
236,216,97,275,177,154,231,206,67,fire-brigade
286,287,128,336,113,205,285,185,100,fire-brigade
260,308,50,276,134,236,236,168,160,fire-brigade
261,113,37,405,185,241,275,188,173,fire-brigade
269,230,39,402,202,327,294,230,31,fire-brigade
278,236,57,479,58,278,237,199,77,fire-brigade
281,234,2,358,183,364,206,219,78,fire-brigade
289,254,145,313,133,258,193,169,145,fire-brigade
330,296,106,387,114,310,348,232,62,fire-brigade
401,290,214,352,193,160,311,305,29,fire-brigade
412,345,4,387,247,223,391,255,107,fire-brigade
427,225,0,592,532,241,496,275,176,fire-brigade
386,365,219,396,255,175,299,141,0,fire-brigade
159,197,160,271,149,184,68,177,45,fire-brigade
438,350,167,355,122,238,355,211,11,fire-brigade
339,284,221,536,184,218,263,238,30,fire-brigade
334,360,101,413,138,215,332,181,4,fire-brigade
326,342,90,501,118,273,287,188,2,fire-brigade
330,151,20,401,240,236,297,29,0,fire-brigade
324,237,80,364,127,186,311,124,0,fire-brigade
390,275,205,402,182,65,308,103,0,fire-brigade
476,331,172,462,214,208,389,125,0,fire-brigade
331,318,144,217,327,176,221,196,9,fire-brigade
233,250,185,245,152,348,212,251,8,fire-brigade
194,265,239,387,247,256,222,404,4,fire-brigade
363,344,196,368,317,227,283,255,39,fire-brigade
270,510,188,233,425,298,300,355,86,fire-brigade
262,538,213,104,241,306,165,298,215,fire-brigade
343,338,101,280,125,252,275,173,0,fire-brigade
372,250,29,381,243,387,345,153,54,fire-brigade
294,202,86,349,204,262,223,149,81,fire-brigade
446,280,2,470,256,313,391,114,58,fire-brigade
275,401,32,393,255,219,336,137,0,fire-brigade
232,223,88,263,170,76,238,84,0,fire-brigade
331,220,113,319,72,123,230,146,0,fire-brigade
324,344,151,349,260,69,281,57,0,fire-brigade
257,272,100,302,144,89,248,126,0,fire-brigade
446,384,270,370,151,134,293,173,0,fire-brigade
217,205,66,197,133,125,202,170,11,fire-brigade
250,107,52,310,140,238,250,140,9,fire-brigade
221,168,42,158,292,146,151,184,0,fire-brigade
331,264,189,330,150,138,263,168,0,fire-brigade
286,366,83,246,96,150,293,226,91,fire-brigade
253,328,14,366,279,217,323,107,20,fire-brigade
520,311,85,612,310,230,467,6,0,fire-brigade
360,206,102,458,392,330,448,194,9,fire-brigade
304,350,118,411,300,126,310,100,0,fire-brigade
395,376,161,489,343,161,355,85,19,fire-brigade
188,213,163,385,95,152,241,176,115,fire-brigade
292,230,237,457,116,176,353,228,165,fire-brigade
227,292,64,409,89,204,241,198,145,fire-brigade
232,260,9,395,92,238,217,170,101,fire-brigade
176,153,79,299,75,258,147,143,23,fire-brigade
158,267,127,315,205,146,189,174,75,fire-brigade
146,196,113,328,76,155,134,152,63,fire-brigade
63,243,44,170,235,107,120,227,41,fire-brigade
93,308,10,228,225,133,177,199,96,fire-brigade
98,189,64,140,375,127,155,226,109,fire-brigade
153,238,41,217,105,81,87,71,92,fire-brigade
266,206,67,307,156,204,283,201,220,fire-brigade
296,221,166,184,331,137,237,190,181,fire-brigade
199,256,201,356,221,224,415,211,222,fire-brigade
213,344,129,308,288,185,310,202,55,fire-brigade
978,635,330,833,422,426,494,161,229,fire-brigade
744,201,346,659,447,701,772,529,93,fire-brigade
719,597,127,819,267,693,662,340,22,fire-brigade
665,590,444,871,483,433,790,279,152,fire-brigade
995,719,522,835,344,466,372,488,26,fire-brigade
178,130,56,193,94,114,115,35,162,fire-brigade
149,141,24,208,136,156,186,43,140,fire-brigade
178,165,97,238,90,115,47,71,114,fire-brigade
142,228,77,256,73,126,205,171,52,fire-brigade
138,134,84,147,193,124,125,146,75,fire-brigade
238,369,118,189,371,205,246,308,156,fire-brigade
273,267,106,314,533,235,219,369,99,fire-brigade
276,365,35,300,498,247,253,298,214,fire-brigade
159,443,99,203,391,182,205,336,151,fire-brigade
437,468,119,486,192,291,414,298,3,fire-brigade
688,295,262,491,222,195,127,260,106,fire-brigade
626,448,403,539,256,197,220,178,0,fire-brigade
443,408,282,465,283,162,348,173,13,fire-brigade
512,346,245,630,265,180,308,66,12,fire-brigade
542,426,277,460,289,221,332,157,181,fire-brigade
540,343,16,564,151,367,371,245,93,fire-brigade
332,252,146,485,96,246,318,200,224,fire-brigade
414,391,220,385,323,166,341,67,0,fire-brigade
463,219,243,463,239,117,266,72,12,fire-brigade
406,384,214,412,121,179,170,216,64,fire-brigade
148,220,9,226,58,210,158,157,133,fire-brigade
302,306,0,345,184,355,304,149,134,fire-brigade
181,196,18,225,183,156,185,174,124,fire-brigade
199,169,44,372,236,98,210,163,200,fire-brigade
260,159,47,304,202,222,138,62,0,fire-brigade
138,243,82,173,102,97,250,133,121,fire-brigade
156,138,79,259,89,126,220,121,111,fire-brigade
148,171,141,171,184,128,192,33,0,fire-brigade
105,172,81,208,89,158,170,99,25,fire-brigade
116,129,62,269,91,179,179,117,95,fire-brigade
267,327,210,415,159,219,257,213,85,fire-brigade
306,472,229,490,215,244,372,380,175,fire-brigade
236,389,225,193,361,353,144,391,103,fire-brigade
243,232,6,197,372,186,199,319,130,fire-brigade
304,245,86,463,418,256,259,298,171,fire-brigade
407,292,68,471,90,223,352,191,105,fire-brigade
502,432,251,726,190,103,576,239,230,fire-brigade
570,499,266,493,357,301,348,363,350,fire-brigade
339,425,212,369,205,254,393,267,63,fire-brigade
620,417,199,603,142,272,176,292,73,fire-brigade
434,379,120,338,244,436,239,362,10,fire-brigade
452,331,79,371,248,246,142,173,69,fire-brigade
428,395,261,364,260,271,105,249,1,fire-brigade
681,274,224,664,265,284,330,273,292,fire-brigade
364,438,311,276,106,239,187,236,13,fire-brigade
213,290,148,134,182,93,172,132,127,fire-brigade
296,301,73,203,175,180,241,151,148,fire-brigade
221,200,44,313,168,182,293,165,162,fire-brigade
430,323,124,355,204,204,324,181,56,fire-brigade
207,355,113,204,237,156,301,166,112,fire-brigade
866,440,14,741,522,669,410,256,11,fire-brigade
802,554,154,889,505,750,515,380,69,fire-brigade
658,615,73,702,488,348,403,152,80,fire-brigade
684,468,186,533,274,419,346,246,274,fire-brigade
645,513,277,582,579,294,309,50,0,fire-brigade
153,263,17,163,84,144,128,177,88,fire-brigade
334,307,190,439,201,218,307,217,290,fire-brigade
338,220,4,369,221,313,189,250,116,fire-brigade
110,227,2,139,322,185,208,193,134,fire-brigade
247,225,31,361,255,217,333,197,119,fire-brigade
438,266,99,602,367,350,350,290,125,fire-brigade
825,398,141,722,283,387,625,338,84,fire-brigade
580,691,333,347,673,259,439,182,0,fire-brigade
690,410,228,647,241,249,450,176,39,fire-brigade
359,262,110,420,387,345,147,167,48,fire-brigade
307,237,54,327,78,126,242,165,160,fire-brigade
110,125,75,334,71,97,199,118,122,fire-brigade
167,209,80,201,83,86,138,122,115,fire-brigade
179,161,12,280,78,145,195,123,118,fire-brigade
168,131,110,259,55,84,111,120,111,fire-brigade
36,228,179,234,118,212,54,139,138,fire
89,365,23,116,171,192,10,140,110,fire
27,290,41,281,377,243,64,152,130,fire
18,299,23,149,214,115,77,123,103,fire
52,197,150,210,56,150,60,132,133,fire
50,363,22,273,23,249,134,215,146,fire
207,252,92,162,5,199,163,190,137,fire
113,297,35,218,33,137,158,208,79,fire
48,263,89,229,38,170,156,182,49,fire
121,279,64,244,145,211,174,178,137,fire
309,172,167,223,101,244,266,203,74,fire
97,295,279,326,57,165,169,170,89,fire
97,247,218,255,72,174,161,153,75,fire
74,171,153,228,29,220,93,77,40,fire
164,176,211,207,14,243,72,193,59,fire
117,197,184,154,52,128,101,109,102,fire
9,220,102,185,199,199,180,83,107,fire
13,229,124,203,122,164,150,98,110,fire
65,193,142,155,89,156,89,63,109,fire
78,195,6,135,134,132,126,101,94,fire
134,256,50,170,132,143,121,131,137,fire
330,358,31,304,633,181,129,194,281,fire
110,286,118,140,12,126,3,186,142,fire
91,275,322,402,153,195,186,223,229,fire
118,263,46,56,267,41,79,242,104,fire
60,118,133,140,0,136,108,24,130,fire
116,153,123,103,0,99,100,75,117,fire
183,51,170,112,0,117,139,100,112,fire
227,14,256,99,0,111,132,123,102,fire
205,73,160,97,0,102,118,159,150,fire
140,106,124,109,0,125,112,106,96,fire
191,3,147,81,0,111,105,105,104,fire
171,7,140,90,0,56,100,110,101,fire
128,4,146,50,0,102,127,68,133,fire
174,14,176,112,0,108,112,171,133,fire
166,376,123,78,62,201,117,200,93,fire
337,285,289,304,54,190,55,277,34,fire
202,285,267,190,6,185,1,269,39,fire
392,281,265,175,3,165,173,225,8,fire
367,207,349,145,19,187,136,231,2,fire
125,199,95,182,303,156,84,129,165,fire
70,239,160,197,34,144,91,115,157,fire
44,389,48,238,280,149,100,120,196,fire
0,291,61,74,112,126,82,106,116,fire
133,247,285,332,42,156,66,169,189,fire
160,122,146,127,0,95,184,99,109,fire
17,247,134,188,166,195,128,39,122,fire
107,271,181,100,46,151,103,185,143,fire
83,268,220,181,47,123,126,58,65,fire
6,335,13,170,301,161,207,106,114,fire
3,204,127,135,48,108,145,33,97,fire
98,202,134,131,0,94,201,75,117,fire
4,215,99,120,50,95,72,118,87,fire
38,185,31,112,119,137,185,2,106,fire
90,283,168,218,41,115,122,91,106,fire
115,227,29,112,48,140,89,161,43,fire
166,239,175,160,4,168,193,175,89,fire
282,252,205,159,41,146,194,163,145,fire
242,213,218,112,14,179,188,309,128,fire
244,411,244,149,142,137,247,344,212,fire
35,208,179,169,86,109,168,66,141,fire
127,251,167,227,59,165,150,132,147,fire
92,265,269,235,165,216,137,132,173,fire
11,218,137,204,68,151,47,134,157,fire
39,261,151,150,87,130,87,115,141,fire
102,337,173,205,4,180,126,236,161,fire
318,408,282,219,182,164,229,323,267,fire
292,256,276,119,0,189,239,239,108,fire
44,267,90,145,0,150,96,210,106,fire
199,283,67,259,0,191,206,157,217,fire
206,274,126,134,71,147,129,162,137,fire
237,261,46,155,85,163,158,183,148,fire
169,323,134,144,137,144,151,150,171,fire
153,301,50,185,117,150,134,138,154,fire
221,279,83,168,190,178,216,130,201,fire
86,211,82,134,31,115,77,128,136,fire
64,320,0,147,91,73,71,109,142,fire
68,307,126,203,112,147,142,130,179,fire
11,264,229,248,164,155,119,132,98,fire
23,214,248,217,260,178,152,142,152,fire
50,315,137,190,35,150,151,131,151,fire
187,371,78,167,105,204,179,200,142,fire
240,353,101,162,64,154,203,231,132,fire
147,389,192,174,5,128,201,132,169,fire
259,359,109,160,67,148,212,223,130,fire
31,210,182,180,61,109,140,8,110,fire
57,223,193,164,86,114,106,127,125,fire
21,213,112,163,133,150,86,109,85,fire
71,236,208,318,65,71,176,96,114,fire
27,329,82,181,142,146,120,25,116,fire
135,290,234,177,310,59,126,45,186,fire
246,295,224,179,5,132,154,272,227,fire
174,222,97,110,50,164,102,193,197,fire
33,296,159,165,51,159,155,221,107,fire
37,381,270,196,34,184,219,275,75,fire
35,167,70,148,134,130,109,19,117,fire
63,190,149,162,196,128,119,111,56,fire
22,202,64,163,250,192,116,85,113,fire
5,231,184,218,168,119,133,114,139,fire
20,228,182,94,162,125,43,159,119,fire
195,297,56,141,42,159,127,177,177,fire
207,420,438,403,25,268,245,236,379,fire
145,356,102,87,54,163,61,171,141,fire
179,427,198,282,135,152,150,146,237,fire
58,347,144,237,84,180,112,193,160,fire
249,333,144,166,0,209,181,232,176,fire
173,391,243,190,101,196,199,292,132,fire
105,387,209,178,9,125,225,249,179,fire
192,398,283,227,4,231,212,266,240,fire
244,212,219,230,33,5,201,186,220,fire
375,557,184,531,230,679,346,345,171,fire
200,543,523,484,210,343,382,415,383,fire
519,538,100,312,846,317,254,323,538,fire
268,580,298,255,65,314,286,397,378,fire
512,724,264,377,131,320,241,249,286,fire
94,1070,18,319,128,372,303,442,409,fire
304,874,381,486,225,416,413,466,325,fire
127,539,127,422,339,273,130,479,188,fire
259,841,15,311,221,357,317,534,235,fire
428,810,37,337,109,353,366,420,284,fire
58,142,38,315,348,272,55,109,62,flood
7,3,82,230,306,226,179,162,9,flood
51,65,142,328,398,217,135,35,10,flood
43,42,44,245,295,281,33,49,19,flood
0,0,44,252,242,242,124,110,63,flood
156,125,112,291,338,242,125,259,77,flood
232,199,159,192,321,317,136,314,199,flood
353,352,307,349,441,454,264,336,200,flood
299,296,258,320,338,315,291,374,245,flood
219,274,221,180,347,238,228,389,303,flood
7,51,5,252,274,243,74,31,11,flood
144,152,179,137,236,94,185,93,127,flood
176,104,175,130,249,246,169,127,31,flood
68,72,143,229,240,223,143,151,20,flood
23,54,9,269,287,286,76,60,144,flood
258,181,167,285,481,419,114,286,192,flood
426,319,209,341,425,506,239,487,343,flood
269,230,130,227,380,275,115,235,236,flood
175,147,55,269,477,307,118,77,59,flood
202,193,141,205,567,389,141,253,201,flood
52,52,89,263,344,227,46,18,0,flood
17,9,89,329,306,247,127,176,53,flood
62,0,113,340,305,267,260,249,103,flood
26,66,84,310,320,336,96,122,25,flood
30,13,96,185,249,211,167,218,100,flood
300,98,133,392,350,376,167,317,184,flood
306,166,218,481,486,287,170,298,211,flood
375,134,230,343,300,152,299,379,339,flood
383,204,319,259,256,99,219,262,252,flood
246,170,169,401,345,223,183,328,183,flood
1,37,111,194,286,233,18,26,76,flood
77,51,0,195,444,204,97,133,118,flood
127,132,169,173,393,351,130,150,247,flood
133,87,23,301,333,291,82,111,115,flood
79,93,132,204,366,274,88,111,161,flood
96,102,23,277,504,365,67,6,157,flood
166,440,152,343,413,391,253,180,74,flood
243,243,331,432,368,425,142,340,80,flood
9,302,24,276,225,428,173,156,5,flood
40,322,456,310,242,319,154,117,52,flood
79,90,71,216,300,220,70,127,94,flood
129,51,59,156,308,109,73,116,122,flood
132,112,62,223,195,130,96,128,146,flood
157,112,85,178,226,208,70,177,124,flood
99,73,67,216,168,163,113,137,36,flood
240,170,108,225,317,233,63,157,222,flood
268,274,287,179,328,284,180,201,184,flood
344,261,199,204,202,173,211,364,293,flood
245,219,114,281,265,209,132,199,227,flood
283,192,125,212,305,216,177,273,278,flood
41,9,53,280,248,239,40,152,75,flood
58,29,33,238,297,235,37,74,94,flood
50,0,53,252,219,235,31,79,64,flood
62,29,52,199,227,241,43,42,102,flood
1,32,99,257,239,206,9,63,5,flood
290,67,170,252,438,303,170,268,240,flood
277,209,128,308,290,328,147,285,251,flood
229,86,172,241,308,264,147,372,213,flood
292,219,184,122,163,195,188,325,178,flood
256,354,207,209,199,174,298,334,206,flood
58,90,54,233,385,250,99,23,0,flood
29,118,153,205,299,334,117,69,112,flood
71,54,86,310,341,224,103,173,81,flood
1,139,62,215,326,269,112,81,51,flood
28,77,135,284,437,333,129,123,37,flood
158,98,89,208,238,276,94,158,122,flood
128,112,48,174,210,193,59,150,143,flood
148,151,86,249,282,217,88,139,180,flood
159,86,106,186,269,153,142,152,173,flood
95,104,114,194,246,187,145,175,140,flood
29,56,47,224,343,373,66,63,137,flood
87,188,184,216,386,198,102,65,0,flood
58,111,161,201,366,232,81,120,31,flood
77,113,61,175,325,299,107,111,47,flood
113,106,116,194,346,194,114,55,6,flood
153,137,71,284,321,221,83,149,171,flood
272,303,165,284,145,116,110,319,255,flood
320,334,160,223,127,197,185,347,260,flood
342,241,169,218,201,170,298,267,148,flood
352,275,241,194,411,159,241,163,270,flood
50,40,55,216,361,313,110,114,71,flood
21,50,14,334,447,527,130,106,189,flood
4,175,7,117,406,336,170,168,131,flood
24,94,53,192,439,279,87,63,51,flood
54,78,63,251,459,213,118,148,52,flood
0,8,95,328,332,194,86,64,112,flood
83,9,190,290,383,131,235,165,158,flood
32,72,96,221,234,222,142,173,29,flood
6,77,86,204,203,225,91,161,81,flood
23,20,124,185,253,222,172,132,71,flood
693,120,108,205,600,496,570,742,255,flood
623,661,94,138,366,150,514,496,340,flood
777,99,282,240,547,317,434,477,347,flood
396,310,167,467,370,166,270,535,355,flood
595,535,27,108,7,12,455,433,532,flood
96,65,96,238,343,325,75,101,57,flood
44,288,126,468,260,398,171,78,166,flood
139,293,99,148,367,381,190,32,2,flood
76,298,160,252,374,345,179,135,226,flood
115,356,296,316,314,276,200,118,87,flood
51,71,81,231,330,287,114,83,87,flood
96,92,60,226,337,370,103,104,109,flood
43,89,116,202,409,262,117,98,50,flood
78,117,113,320,336,226,151,82,43,flood
40,141,145,302,306,235,114,76,38,flood
441,151,152,571,785,636,596,523,269,flood
688,535,381,215,344,290,609,437,393,flood
665,546,225,254,91,101,446,431,364,flood
561,124,272,194,350,147,334,418,360,flood
505,533,465,78,28,289,230,635,313,flood
210,324,95,495,154,298,202,377,383,flood
507,320,226,516,323,132,395,482,316,flood
373,286,300,342,199,58,244,426,233,flood
241,240,71,162,218,188,196,410,188,flood
393,416,380,384,132,23,354,361,283,flood
38,244,72,40,248,91,91,266,9,gas
53,216,80,20,234,99,121,281,7,gas
123,180,28,0,227,34,61,318,10,gas
84,338,85,72,318,156,169,362,26,gas
173,339,26,279,344,90,308,182,193,gas
172,175,201,182,205,225,166,189,94,gas
132,108,161,187,203,167,95,144,90,gas
209,158,107,190,214,213,112,46,140,gas
61,111,107,205,228,207,118,123,80,gas
152,101,100,185,220,184,67,50,141,gas
252,181,7,263,212,185,10,307,102,gas
232,107,210,296,222,286,183,124,65,gas
234,191,218,196,204,202,43,139,150,gas
183,162,111,178,234,157,77,141,23,gas
103,237,169,155,161,157,21,228,93,gas
112,195,222,106,196,152,214,231,192,gas
106,169,166,130,186,141,207,175,126,gas
122,187,182,111,172,121,154,177,142,gas
180,134,232,198,169,113,214,177,150,gas
100,166,135,133,132,118,132,137,131,gas
18,324,10,73,220,102,0,189,5,gas
247,178,14,194,262,227,146,227,164,gas
190,149,162,18,469,22,5,187,218,gas
97,238,153,205,126,183,67,211,186,gas
295,99,266,273,184,291,6,232,234,gas
215,379,196,204,270,405,7,378,277,gas
218,283,212,140,479,143,319,426,153,gas
251,205,147,112,369,293,173,384,292,gas
299,351,244,161,503,190,109,441,414,gas
313,255,211,249,290,308,203,273,292,gas
299,303,184,104,426,200,87,333,208,gas
218,356,156,168,436,315,172,240,202,gas
420,154,172,241,266,265,181,225,203,gas
159,240,168,244,299,244,298,133,112,gas
319,263,131,310,370,312,225,275,228,gas
131,200,171,181,212,151,155,128,204,gas
222,190,172,208,222,208,208,168,145,gas
221,163,163,207,205,170,186,178,116,gas
157,139,137,187,217,199,119,146,136,gas
179,153,178,200,220,192,185,141,168,gas
146,172,49,152,147,171,131,133,125,gas
240,243,51,243,338,216,178,120,174,gas
227,169,209,308,259,191,156,188,185,gas
233,233,186,199,226,173,175,109,145,gas
210,206,175,192,262,199,136,86,191,gas
129,136,122,42,228,127,0,260,144,gas
120,190,116,72,203,108,0,266,149,gas
212,216,152,100,181,125,153,210,144,gas
149,252,268,164,161,154,189,277,190,gas
57,232,105,44,214,127,57,223,132,gas
137,180,152,190,191,160,153,127,101,gas
172,155,182,196,198,191,112,132,89,gas
311,313,250,239,214,228,272,126,228,gas
192,141,125,173,165,184,106,130,152,gas
219,180,149,189,149,177,116,55,145,gas
223,211,199,155,278,300,318,216,351,gas
204,312,208,136,160,349,203,341,189,gas
266,287,197,116,385,208,68,292,205,gas
181,264,224,158,202,400,15,401,215,gas
159,227,222,248,205,204,186,165,206,gas
246,283,191,37,338,206,0,232,200,gas
158,245,180,154,315,212,157,192,189,gas
76,348,109,84,307,135,174,258,42,gas
139,318,88,201,249,193,165,132,184,gas
326,328,61,149,477,232,147,280,226,gas
223,211,275,236,213,217,296,212,179,gas
281,199,267,202,191,255,217,106,225,gas
106,126,168,160,178,185,111,127,106,gas
120,94,118,105,148,143,61,71,89,gas
170,130,129,213,172,188,128,116,105,gas
192,163,113,279,283,318,202,134,8,gas
121,63,234,318,280,274,113,85,117,gas
126,119,123,276,305,262,113,45,92,gas
0,0,0,272,187,268,0,0,0,gas
211,176,218,330,297,270,112,72,108,gas
90,129,146,88,173,144,3,201,195,gas
190,130,59,86,230,129,0,265,135,gas
138,258,38,119,293,99,114,279,161,gas
83,264,10,146,248,160,18,305,173,gas
198,216,23,110,215,142,42,333,147,gas
227,246,170,3,314,200,0,200,315,gas
138,185,150,182,228,311,51,180,211,gas
186,249,144,114,398,152,47,222,220,gas
200,159,176,199,273,187,154,261,166,gas
141,267,108,125,411,135,236,321,67,gas
108,216,178,169,165,176,148,139,88,gas
145,137,160,166,181,173,189,202,116,gas
205,192,124,200,197,180,202,133,135,gas
162,111,186,163,144,191,117,20,119,gas
177,232,234,214,212,213,258,102,198,gas
76,208,110,145,160,120,101,225,120,gas
140,205,160,152,140,217,138,208,210,gas
147,280,115,114,221,186,96,225,192,gas
149,270,0,105,291,30,89,141,180,gas
98,212,171,128,243,114,250,193,128,gas
148,232,87,121,259,182,13,284,171,gas
205,268,59,114,213,325,0,352,160,gas
182,260,182,175,432,103,19,422,213,gas
122,363,52,139,253,311,33,355,217,gas
191,248,245,48,302,417,109,234,254,gas
227,254,265,262,271,269,251,196,304,gas
189,185,179,196,216,212,237,73,187,gas
146,138,164,194,193,182,106,14,75,gas
154,164,161,178,178,185,83,112,139,gas
191,151,166,216,198,203,115,109,148,gas
188,255,185,128,189,204,176,181,240,gas
147,155,161,177,188,191,121,96,82,gas
240,322,233,132,315,206,152,176,192,gas
83,114,59,150,132,116,47,33,82,gas
84,16,69,180,216,145,48,22,42,gas
186,232,96,36,160,302,0,301,178,gas
218,255,187,143,217,282,16,196,189,gas
125,278,70,108,279,106,98,231,63,gas
179,362,90,79,299,213,13,280,154,gas
202,425,103,108,364,253,111,295,128,gas
4,11,8,310,349,338,10,6,9,gas
75,76,118,447,166,316,76,326,11,gas
331,280,257,352,338,349,163,153,213,gas
204,260,189,359,345,204,13,108,133,gas
62,19,15,442,402,343,47,57,37,gas
224,220,163,113,311,160,116,289,199,gas
217,364,97,105,254,339,3,360,194,gas
164,269,92,82,315,216,79,230,163,gas
211,404,119,167,400,285,77,293,192,gas
128,366,23,85,323,229,76,300,24,gas
135,76,35,220,301,260,70,19,0,injury
50,17,30,254,259,252,90,16,22,injury
32,9,32,239,219,238,52,0,0,injury
145,8,19,279,284,267,41,10,34,injury
14,21,20,271,215,222,45,34,20,injury
0,0,0,249,247,246,0,0,0,injury
0,0,73,169,226,311,69,48,4,injury
116,95,5,264,201,243,26,13,15,injury
0,0,5,209,193,192,7,0,5,injury
0,0,33,225,221,247,6,0,32,injury
24,13,102,428,340,245,36,68,30,injury
31,12,48,313,382,188,16,0,58,injury
0,11,37,328,282,264,36,38,62,injury
86,76,34,292,281,251,102,25,60,injury
22,150,34,177,260,315,91,37,52,injury
48,29,21,487,404,418,18,50,23,injury
14,22,9,290,357,384,45,8,5,injury
151,88,14,435,350,368,24,64,77,injury
0,0,0,390,319,437,0,0,0,injury
14,4,7,488,368,427,14,19,6,injury
0,22,18,202,216,289,117,18,26,injury
140,15,70,244,245,175,9,49,37,injury
34,7,18,319,212,217,58,53,9,injury
105,0,23,234,211,245,7,55,12,injury
7,0,25,250,204,205,91,64,24,injury
78,102,82,412,446,353,171,78,118,injury
200,29,51,487,450,421,223,29,33,injury
68,12,82,523,409,427,251,60,131,injury
142,40,38,479,336,327,49,39,47,injury
0,6,33,280,272,259,89,20,0,injury
0,0,36,197,225,241,68,23,12,injury
39,75,31,229,241,180,63,31,0,injury
49,12,19,253,265,212,99,24,8,injury
121,134,32,234,316,240,101,43,28,injury
103,0,22,288,220,194,10,24,11,injury
0,0,0,223,257,299,0,0,0,injury
91,0,29,283,232,224,79,12,11,injury
0,0,0,336,248,217,0,0,0,injury
82,59,20,301,212,258,11,16,11,injury
0,6,11,244,213,268,9,40,1,injury
0,0,11,441,276,259,37,12,78,injury
0,0,52,311,291,295,113,49,41,injury
0,0,73,327,296,255,131,68,87,injury
126,14,43,319,287,273,89,26,55,injury
106,27,65,429,409,258,24,60,153,injury
27,40,61,231,232,196,0,55,44,injury
174,35,52,323,273,286,86,27,32,injury
70,11,43,326,262,245,88,40,2,injury
7,23,23,363,283,266,36,3,11,injury
76,0,44,337,247,259,47,14,21,injury
0,0,0,114,187,129,0,0,0,injury
0,0,0,186,116,174,0,0,0,injury
0,0,0,187,164,215,0,0,0,injury
0,0,4,184,144,165,8,0,0,injury
0,0,0,166,163,196,0,0,0,injury
0,0,0,334,218,245,21,0,0,injury
17,55,6,297,331,329,27,3,4,injury
5,32,4,267,147,234,6,0,0,injury
0,0,12,237,252,281,45,5,3,injury
0,0,0,235,213,206,0,0,0,injury
33,9,48,271,276,273,0,63,42,injury
3,4,19,240,282,235,50,5,5,injury
11,13,6,289,193,189,3,0,0,injury
11,17,15,195,269,244,0,4,16,injury
28,0,7,194,145,256,39,23,21,injury
385,37,65,435,475,443,233,61,75,injury
74,217,29,441,360,393,47,5,6,injury
0,0,0,384,256,360,34,3,3,injury
0,0,0,207,345,305,0,0,0,injury
4,30,6,204,345,349,20,8,13,injury
0,0,0,247,210,269,0,0,0,injury
0,0,0,264,262,269,0,0,0,injury
18,13,17,372,352,233,16,0,0,injury
0,0,0,250,270,228,0,0,0,injury
29,41,0,163,214,185,45,7,16,injury
32,3,7,195,288,256,54,3,0,injury
26,6,15,182,330,282,32,4,12,injury
18,47,12,203,257,216,0,19,13,injury
9,6,3,196,281,238,13,3,3,injury
25,3,45,225,250,259,41,12,31,injury
13,26,2,283,247,278,0,45,33,injury
55,5,11,320,323,269,0,18,43,injury
41,0,0,463,278,219,6,23,35,injury
57,11,67,343,293,195,0,41,0,injury
63,35,40,380,329,302,3,30,0,injury
97,2,77,490,315,329,182,60,85,injury
49,46,9,400,345,270,56,7,73,injury
94,69,6,457,300,204,45,63,82,injury
49,24,12,421,371,382,124,50,6,injury
18,2,21,322,261,322,70,8,12,injury
0,0,0,318,283,318,0,0,0,injury
0,0,0,277,239,264,0,0,0,injury
53,14,3,584,401,355,9,57,10,injury
19,5,5,473,316,292,3,55,73,injury
32,11,9,332,285,312,36,24,16,injury
12,17,9,319,371,283,0,0,21,injury
0,0,0,211,218,281,0,0,0,injury
0,0,0,230,348,261,0,0,0,injury
8,8,67,193,312,307,178,14,10,injury
30,6,34,322,453,495,98,4,18,injury
0,15,12,479,379,337,80,7,0,injury
160,25,187,325,401,394,115,5,13,injury
98,150,151,377,325,407,8,80,105,injury
54,74,58,480,449,406,64,45,0,injury
5,104,19,367,343,335,71,15,4,injury
54,24,65,346,286,291,83,31,8,injury
58,45,71,338,385,417,114,112,24,injury
8,7,58,391,275,283,6,29,0,injury
13,19,18,326,339,258,0,13,29,injury
49,27,30,288,286,260,26,17,93,injury
80,17,57,424,318,298,209,30,20,injury
20,32,58,367,302,256,92,67,4,injury
74,64,24,335,264,240,39,14,20,injury
14,19,28,290,256,242,57,10,0,injury
58,30,41,334,269,293,150,24,27,injury
78,12,69,407,320,294,0,24,28,injury
270,87,70,362,454,346,376,119,79,injury
77,6,54,380,375,326,117,4,279,injury
