%1. Title : 
%
%2. Sources : 
%
%
%
@RELATION Imagette

@ATTRIBUTE  Black_Pixel_1 NUMERIC
@ATTRIBUTE  Black_Pixel_2 NUMERIC
@ATTRIBUTE  Black_Pixel_3 NUMERIC
@ATTRIBUTE  Black_Pixel_4 NUMERIC
@ATTRIBUTE Class  {accident, bomb, car, casualty, electricity, fire-brigade, fire, flood, gas, injury, paramedics, person police, road-block}

@DATA
157,332,295,195,injury
217,231,224,127,injury
277,250,235,48,injury
214,209,295,176,injury
340,259,285,252,injury
258,299,284,64,injury
288,246,115,132,injury
207,193,266,137,injury
273,221,243,81,injury
207,258,241,114,injury
211,234,208,114,injury
338,236,326,138,injury
157,160,504,349,injury
258,201,470,331,injury
245,180,380,325,injury
523,326,379,258,injury
316,235,148,135,injury
329,308,230,171,injury
363,266,231,137,injury
281,358,207,170,injury
259,309,256,208,injury
148,173,100,18,injury
114,193,142,44,injury
116,139,184,137,injury
101,100,205,131,injury
95,94,202,149,injury
291,233,226,88,injury
275,300,248,180,injury
164,263,198,53,injury
142,287,279,93,injury
178,199,200,83,injury
419,278,114,188,injury
236,200,221,142,injury
229,160,230,96,injury
215,225,208,127,injury
149,179,196,150,injury
461,456,433,282,injury
480,439,323,138,injury
360,271,182,210,injury
242,263,220,155,injury
44,282,391,223,injury
179,255,188,92,injury
235,183,242,170,injury
400,338,263,37,injury
163,307,186,105,injury
217,144,189,122,injury
218,305,175,113,injury
246,257,262,130,injury
211,250,167,87,injury
213,230,217,79,injury
287,245,145,158,injury
361,234,128,173,injury
397,290,115,225,injury
335,64,435,277,injury
472,262,193,82,injury
388,335,288,134,injury
552,381,330,78,injury
344,137,370,306,injury
369,83,491,359,injury
367,346,465,296,injury
190,120,272,388,injury
260,258,247,168,injury
255,224,185,140,injury
581,357,309,185,injury
445,246,270,160,injury
366,318,196,144,injury
370,300,207,163,injury
145,267,203,101,injury
165,318,200,178,injury
183,240,387,320,injury
320,603,294,252,injury
454,360,317,100,injury
139,431,444,296,injury
250,189,372,551,injury
460,484,360,337,injury
368,283,254,170,injury
314,327,353,149,injury
345,324,440,285,injury
337,333,296,85,injury
299,336,142,211,injury
242,376,187,163,injury
415,364,185,266,injury
374,254,308,214,injury
225,222,303,172,injury
268,204,322,139,injury
428,245,143,243,injury
400,287,265,271,injury
586,318,380,513,injury
377,358,306,250,injury
353,177,165,277,injury
736,567,1024,984,paramedics
363,438,936,926,paramedics
545,495,833,885,paramedics
526,337,882,489,paramedics
362,334,792,516,paramedics
405,373,452,513,paramedics
458,521,461,647,paramedics
344,431,449,602,paramedics
494,416,544,737,paramedics
365,643,476,469,paramedics
711,478,285,440,paramedics
477,365,531,532,paramedics
444,411,386,415,paramedics
413,356,505,404,paramedics
572,606,529,401,paramedics
458,384,650,566,paramedics
490,492,677,609,paramedics
516,491,736,615,paramedics
692,450,965,574,paramedics
549,435,748,493,paramedics
727,607,609,445,paramedics
857,497,642,504,paramedics
570,496,773,484,paramedics
789,809,547,426,paramedics
316,608,602,603,paramedics
566,492,664,522,paramedics
502,453,734,470,paramedics
424,414,671,498,paramedics
716,502,758,456,paramedics
570,407,740,607,paramedics
367,253,493,346,paramedics
496,267,680,406,paramedics
388,302,660,367,paramedics
361,240,589,385,paramedics
652,695,853,561,paramedics
629,1188,703,908,paramedics
1098,1116,1214,950,paramedics
1110,689,967,607,paramedics
630,549,1104,465,paramedics
870,762,1410,902,paramedics
452,405,300,234,paramedics
467,320,292,37,paramedics
521,336,383,294,paramedics
275,254,342,358,paramedics
427,448,251,274,paramedics
404,294,242,102,paramedics
309,299,302,268,paramedics
370,283,349,272,paramedics
452,262,292,204,paramedics
379,275,364,307,paramedics
1475,863,262,858,paramedics
1014,634,693,709,paramedics
1632,942,964,946,paramedics
1304,1015,974,733,paramedics
1060,734,1084,1031,paramedics
343,344,360,410,paramedics
419,357,496,357,paramedics
353,283,657,520,paramedics
388,305,550,348,paramedics
615,398,599,448,paramedics
696,481,640,536,paramedics
460,471,920,490,paramedics
530,428,563,372,paramedics
607,585,624,358,paramedics
608,656,805,432,paramedics
789,792,494,880,paramedics
682,464,535,540,paramedics
625,675,563,637,paramedics
625,506,608,396,paramedics
343,513,422,747,paramedics
307,256,445,223,paramedics
425,330,599,533,paramedics
480,282,597,292,paramedics
558,426,578,323,paramedics
462,472,745,431,paramedics
449,383,577,326,paramedics
397,445,550,461,paramedics
463,350,575,441,paramedics
521,392,702,476,paramedics
452,637,665,493,paramedics
424,310,429,301,paramedics
326,250,560,323,paramedics
606,622,572,339,paramedics
477,378,752,584,paramedics
1054,728,919,421,paramedics
383,394,274,306,paramedics
158,225,292,298,paramedics
285,254,288,198,paramedics
201,180,377,328,paramedics
269,297,471,236,paramedics
488,461,660,563,paramedics
471,341,493,370,paramedics
572,345,572,390,paramedics
363,577,450,570,paramedics
244,237,379,519,paramedics
153,307,556,555,paramedics
368,266,314,577,paramedics
722,460,431,469,paramedics
603,420,464,421,paramedics
589,526,598,501,paramedics
379,316,436,468,paramedics
560,319,453,431,paramedics
545,501,278,491,paramedics
466,398,589,355,paramedics
518,419,396,467,paramedics
434,431,503,440,paramedics
352,280,535,296,paramedics
434,366,444,435,paramedics
371,709,483,496,paramedics
94,386,335,541,paramedics
288,260,358,242,paramedics
450,326,568,382,paramedics
418,284,609,445,paramedics
438,384,694,443,paramedics
319,413,554,535,paramedics
607,491,425,431,paramedics
602,471,469,365,paramedics
321,398,866,396,paramedics
344,466,546,440,paramedics
454,417,529,720,paramedics
329,298,406,263,paramedics
414,280,438,274,paramedics
291,311,536,401,paramedics
312,240,378,238,paramedics
302,243,327,326,paramedics
227,156,284,106,person
270,142,289,221,person
279,75,307,204,person
347,201,292,163,person
374,285,301,112,person
319,226,241,90,person
310,200,208,177,person
347,24,204,197,person
326,94,324,135,person
410,136,245,183,person
193,284,164,157,person
298,209,223,137,person
367,135,232,143,person
372,232,281,139,person
303,129,375,250,person
271,176,284,28,person
176,184,135,226,person
155,234,203,288,person
212,182,308,133,person
310,122,295,126,person
364,165,482,190,person
288,275,396,257,person
427,156,403,248,person
341,260,421,174,person
157,527,446,197,person
472,269,501,313,person
489,381,199,508,person
630,395,411,361,person
591,428,486,324,person
792,344,550,319,person
381,210,299,145,person
396,218,228,124,person
448,235,315,199,person
255,384,149,324,person
199,315,238,352,person
300,187,253,182,person
433,64,830,622,person
562,313,350,279,person
433,209,188,349,person
353,276,171,284,person
537,378,366,211,person
634,313,479,170,person
536,292,436,72,person
504,314,507,183,person
453,259,373,162,person
314,160,294,111,person
329,199,287,39,person
381,221,336,169,person
359,345,499,152,person
308,336,435,197,person
273,178,122,142,person
309,158,154,141,person
294,79,135,109,person
255,96,141,119,person
271,97,134,129,person
393,246,208,175,person
446,221,267,259,person
411,255,288,230,person
334,49,222,143,person
331,139,238,213,person
377,241,222,383,person
508,98,242,258,person
454,106,275,237,person
530,85,299,278,person
355,294,230,201,person
472,291,371,107,person
637,345,652,393,person
492,428,549,152,person
657,326,562,275,person
435,584,544,251,person
475,228,524,159,person
450,176,296,289,person
600,320,283,456,person
411,229,287,215,person
329,311,199,285,person
216,362,214,262,person
214,291,273,87,person
333,265,344,76,person
193,258,380,31,person
525,283,579,255,person
345,255,291,231,person
294,313,175,285,person
277,218,200,285,person
204,224,217,315,person
154,185,173,219,person
46,221,121,276,person
88,253,99,205,person
143,133,104,175,person
330,127,272,172,person
183,240,148,231,person
317,202,262,202,person
301,217,324,164,person
330,220,351,109,person
211,335,252,168,person
237,348,265,211,person
310,220,386,288,person
133,540,318,379,person
371,274,211,303,person
287,246,133,307,person
262,369,188,277,person
273,262,307,99,person
209,177,278,142,person
222,299,371,243,person
272,276,428,89,person
165,447,372,137,person
457,122,528,231,person
564,268,462,308,person
425,223,468,182,person
429,156,455,226,person
352,191,372,207,person
429,209,477,145,person
268,337,404,77,person
112,467,464,199,person
201,475,514,82,person
252,640,452,67,person
1035,398,644,352,person
506,484,558,205,person
392,275,542,222,person
565,246,773,421,person
437,582,454,579,person
389,278,419,300,police
336,267,414,278,police
419,196,436,278,police
334,277,465,301,police
409,195,413,275,police
528,379,333,328,police
535,442,366,307,police
540,541,454,394,police
547,465,413,323,police
456,499,465,349,police
443,449,545,385,police
577,659,631,420,police
534,500,592,351,police
611,392,389,349,police
436,349,372,266,police
347,248,302,256,police
209,187,332,186,police
340,252,554,312,police
316,316,570,329,police
268,323,662,345,police
462,272,447,273,police
253,345,390,270,police
246,260,585,382,police
446,449,453,237,police
375,441,631,366,police
478,403,361,306,police
560,539,532,391,police
522,462,413,349,police
605,531,551,369,police
669,610,405,321,police
349,463,507,388,police
434,424,470,332,police
663,551,498,376,police
558,479,545,345,police
530,547,537,319,police
386,475,466,401,police
674,794,777,476,police
700,798,876,505,police
917,1084,883,454,police
834,973,1045,559,police
445,434,452,310,police
651,629,664,321,police
605,730,540,423,police
682,687,629,442,police
614,680,568,305,police
687,476,595,410,police
858,501,574,344,police
567,489,480,317,police
632,498,577,299,police
728,505,463,332,police
257,384,308,140,police
334,329,300,208,police
350,310,356,196,police
674,590,546,370,police
591,416,528,348,police
631,416,641,347,police
357,297,510,265,police
481,422,604,319,police
259,287,221,240,police
327,210,302,217,police
418,319,488,220,police
352,266,340,231,police
375,227,437,234,police
527,410,487,382,police
505,599,512,372,police
508,437,379,326,police
503,539,717,311,police
519,359,629,494,police
604,419,431,256,police
593,419,396,328,police
498,294,301,281,police
587,274,443,213,police
534,316,423,230,police
399,427,357,320,police
517,347,419,190,police
419,262,337,141,police
441,471,394,371,police
463,335,377,235,police
317,331,311,192,police
335,312,260,132,police
296,326,344,235,police
642,485,557,399,police
636,627,486,252,police
582,444,575,317,police
482,420,675,334,police
480,551,578,454,police
1142,851,918,592,police
1016,531,944,500,police
792,352,561,484,police
694,745,423,567,police
661,672,530,578,police
422,282,457,307,police
402,309,465,252,police
396,328,549,272,police
361,446,577,287,police
550,448,672,311,police
464,501,719,430,police
489,407,548,440,police
582,551,664,412,police
734,372,609,320,police
493,549,472,301,police
488,462,643,445,police
551,402,724,461,police
474,268,582,440,police
480,329,634,409,police
444,302,475,282,police
451,501,669,376,police
555,661,834,562,police
575,596,856,402,police
642,654,742,449,police
487,500,656,586,police
673,267,476,393,police
375,293,510,435,police
416,378,328,369,police
645,406,633,491,police
584,394,456,389,police
540,304,445,369,police
706,300,509,495,police
682,430,660,527,police
377,312,346,284,police
427,295,290,226,police
802,742,1168,788,police
989,554,719,439,police
639,527,511,506,police
511,679,760,492,police
751,512,229,545,police
360,391,318,371,road-block
338,402,505,402,road-block
381,393,380,360,road-block
265,363,441,381,road-block
456,502,688,583,road-block
154,195,154,176,road-block
370,239,391,362,road-block
310,339,254,314,road-block
297,176,247,228,road-block
260,347,315,271,road-block
490,254,473,408,road-block
442,416,610,655,road-block
785,850,809,874,road-block
601,673,633,643,road-block
537,508,837,556,road-block
205,222,239,303,road-block
233,260,182,354,road-block
329,288,325,285,road-block
278,301,338,358,road-block
276,343,300,276,road-block
901,889,854,585,road-block
881,831,638,1088,road-block
548,749,551,521,road-block
651,498,678,709,road-block
741,735,800,694,road-block
284,309,357,383,road-block
317,300,393,409,road-block
395,389,426,462,road-block
408,435,494,435,road-block
386,467,591,465,road-block
459,459,605,595,road-block
510,651,363,776,road-block
756,550,564,624,road-block
660,657,335,773,road-block
378,524,384,586,road-block
612,529,402,628,road-block
531,558,505,487,road-block
419,436,481,407,road-block
523,598,427,569,road-block
542,378,468,453,road-block
365,524,458,331,road-block
292,373,555,424,road-block
311,336,490,623,road-block
636,641,535,411,road-block
414,387,719,571,road-block
786,631,455,434,road-block
373,197,347,334,road-block
221,216,260,234,road-block
361,390,349,352,road-block
176,159,286,233,road-block
230,180,139,145,road-block
328,209,331,310,road-block
319,274,309,287,road-block
535,336,393,361,road-block
481,207,413,286,road-block
212,507,1565,1103,road-block
150,43,71,39,road-block
1239,681,839,869,road-block
845,739,1316,1019,road-block
742,692,996,792,road-block
604,666,748,654,road-block
407,383,654,702,road-block
484,312,1023,897,road-block
417,215,434,408,road-block
525,350,549,553,road-block
297,397,422,413,road-block
439,628,434,328,road-block
307,327,516,413,road-block
562,476,595,589,road-block
351,340,520,462,road-block
375,494,569,428,road-block
630,484,472,398,road-block
443,569,420,331,road-block
466,532,422,391,road-block
413,391,613,486,road-block
390,496,429,329,road-block
336,381,351,271,road-block
373,393,467,357,road-block
484,381,187,409,road-block
253,225,271,434,road-block
177,330,232,188,road-block
272,323,320,285,road-block
285,640,412,428,road-block
250,373,323,330,road-block
294,351,312,315,road-block
222,292,253,239,road-block
293,331,403,350,road-block
342,330,404,309,road-block
305,391,470,277,road-block
446,426,528,440,road-block
296,325,342,314,road-block
424,628,610,479,road-block
316,404,301,429,road-block
422,525,440,539,road-block
463,582,707,557,road-block
331,322,388,309,road-block
622,590,570,481,road-block
705,602,490,507,road-block
470,700,475,860,road-block
899,942,696,596,road-block
282,476,486,505,road-block
469,557,678,715,road-block
524,391,650,641,road-block
436,507,647,601,road-block
319,315,547,194,road-block
1356,1008,474,647,road-block
686,582,983,890,road-block
664,598,995,585,road-block
892,799,733,591,road-block
1122,819,699,829,road-block
446,487,469,325,road-block
604,535,322,601,road-block
663,635,530,451,road-block
455,519,318,376,road-block
522,493,825,742,road-block
280,362,406,350,road-block
325,346,357,372,road-block
562,538,420,442,road-block
185,243,245,270,road-block
456,382,317,341,road-block
113,167,6,162,road-block
165,265,17,192,road-block
128,143,188,217,road-block
192,258,232,174,road-block
145,161,156,108,road-block
136,45,160,159,road-block
149,242,74,168,road-block
143,234,103,150,road-block
190,279,16,67,road-block
200,174,230,191,road-block
