%1. Title : 
%
%2. Sources : 
%
%
%
@RELATION Imagette

@ATTRIBUTE  Black_Pixel_1 NUMERIC
@ATTRIBUTE  Harris_Corners_1 NUMERIC
@ATTRIBUTE  Length_Area_1 NUMERIC
@ATTRIBUTE  Mass_Center_X_1 NUMERIC
@ATTRIBUTE  Mass_Center_Y_1 NUMERIC
@ATTRIBUTE Class  {accident, bomb, car, casualty, electricity, fire-brigade, fire, flood, gas, injury, paramedics, person police, road-block}

@DATA
852,15977,639.203,50.027,83.9783,person
1195,83,333.522,50.3086,80.3962,person
1210,64,1060.16,65.0706,73.1548,person
1214,9,1095.7,49.6365,44.0186,person
1178,86,322.333,62.3478,48.1004,person
1310,15872,829.092,70.7815,60.6987,person
1475,16265,291.865,61.4136,46.3564,person
1593,16872,434.877,55.9873,46.4159,person
1350,16494,590.985,58.8626,53.2449,person
1477,15848,679.127,55.8396,64.0253,person
1225,51,346.333,52.7057,39.941,person
861,15862,331.321,48.9187,51.1541,person
827,16492,878.039,58.1252,58.3806,person
1105,16057,1268.76,59.6779,89.6987,person
1336,16785,346.492,57.3205,63.967,person
1252,134,854.139,59.451,51.0251,person
1251,16867,309.664,62.9361,51.8225,person
1976,168,558.617,56.5912,58.6269,person
1604,16601,465.404,57.2175,49.3074,person
1798,35,353.848,61.1877,48.8217,person
1752,16445,894.264,61.8166,35.7237,person
1043,16524,369.22,68.0513,63.149,person
874,75,590.274,58.3607,45.5716,person
975,9,634.759,65.8963,50.4202,person
846,16392,481.203,67.1136,61.778,person
1595,15394,450.676,52.112,67.2368,person
955,4,1134.31,60.4775,75.12,person
985,35,1227.36,62.2657,62.6854,person
963,43,1010.31,53.0966,56.3683,person
960,16021,587.671,63.2473,52.2762,person
1055,25,629.713,66.5879,48.0304,person
919,40,780.683,59.478,35.0827,person
801,50,680.742,65.0173,46.532,person
1138,89,664.784,65.1127,49.161,person
1062,15816,531.831,65.2654,56.7305,person
1131,157,607.169,72.982,50.1665,person
1377,15892,472.056,78.7161,65.5651,police
1295,16869,723.217,53.8501,62.691,police
1335,16026,420.049,56.0696,61.7223,police
1364,16672,319.161,70.0659,63.7598,police
1292,133,655.259,72.7806,74.3378,police
1129,21,428.978,43.9344,50.0573,police
895,18,484.534,65.6625,60.0764,police
1445,11,353.487,75.9653,59.4327,police
1518,13,563.446,73.6704,58.5714,police
1576,16600,478.475,60.2677,68.2591,police
1458,12,1242.49,55.0805,78.0197,police
1258,16222,578.357,62.9009,61.886,police
1463,54,531.546,54.989,63.9212,police
1571,6,560.09,78.038,50.6036,police
1799,12,1181.48,68.7346,37.9454,police
2128,16835,1043.18,59.2676,44.0285,police
2197,16805,548.818,53.4293,51.3791,police
1834,26,498.382,50.503,48.8375,police
1971,16637,803.987,70.4062,51.7345,police
2010,213,1081.28,61.4226,50.9536,police
2125,36,672.843,55.9133,35.1683,police
1836,16887,1055.05,53.7402,41.2182,police
2034,16510,1026.01,56.2906,49.472,police
1407,16813,663.176,67.6316,51.8242,police
1816,16172,1172.28,66.9592,51.1534,police
990,8,594.149,49.7328,60.9356,police
1055,16232,367.463,60.5452,73.822,police
1433,10,541.453,65.9811,55.4762,police
1180,40,603.276,69.7294,50.4323,police
1266,16373,1400.86,73.4078,57.3005,police
2049,58,786.784,54.0684,52.058,police
1983,16812,910.639,63.0039,34.7077,police
1902,16892,541.293,59.0991,48.6799,police
1870,59,409.848,54.7319,52.7768,police
2002,16822,579.487,67.4219,78.2195,police
1464,16826,947.703,41.8832,31.7238,police
1420,16853,408.517,53.0652,60.8396,police
1505,16710,331.948,63.4702,64.1841,police
1656,16539,695.813,69.7525,63.0328,police
1964,15865,1028.06,44.7384,39.4334,police
2073,16663,1138.51,73.4345,68.2697,police
1842,46,646.825,61.0461,57.6034,police
2199,16818,855.661,60.8789,35.7431,police
2022,16641,1387.69,50.9654,66.3854,police
1796,16786,801.963,52.2323,37.1186,police
1996,16800,786.95,73.1922,62.7096,police
2117,16823,720.448,57.9102,61.9482,police
1741,16484,1228.01,53.3041,50.6647,police
1843,16870,641.637,63.4765,54.4758,police
1489,108,442.233,46.1214,54.5446,police
1911,16870,1166.52,61.0934,47.8729,police
2566,16630,973.058,70.8568,52.3179,police
2375,16887,627.144,58.555,59.2212,police
2361,16497,641.779,74.2596,58.5265,police
2235,17,720.825,61.257,52.0051,police
1371,16516,745.21,75.1961,51.1143,road-block
1587,16326,526.6,47.0033,40.3088,road-block
1461,2,586.34,59.985,56.5935,road-block
1378,16635,575.855,53.3493,35.5939,road-block
2160,170,824.004,53.8514,56.8582,road-block
939,9,381.061,65.7324,40.3142,road-block
1015,15092,378.049,55.7396,52.255,road-block
1210,16719,590.156,56.209,40.4302,road-block
1266,16501,425.931,57.3906,39.4307,road-block
1165,16172,394.576,61.1255,55.4559,road-block
1606,16728,391.103,32.9413,47.3279,road-block
1564,6,651.98,52.8616,54.1523,road-block
1724,16892,342.375,45.1816,63.6515,road-block
2100,16800,676.039,47.2278,34.5802,road-block
2009,16800,537.914,49.0718,58.24,road-block
1504,16798,772.222,65.4176,53.7568,road-block
1813,15397,879.98,64.7294,45.9196,road-block
1514,3,719.779,75.3694,43.974,road-block
2151,15856,501.571,60.334,43.6258,road-block
1604,16697,740.607,50.844,56.9716,road-block
1792,2,749.779,61.0882,48.7474,road-block
1896,2,390.274,58.7821,46.861,road-block
1735,15888,1047.5,69.5681,37.4773,road-block
1715,16788,745.335,73.0062,41.7823,road-block
1854,104,946.472,65.452,36.0854,road-block
973,16715,614.884,49.8165,41.5939,road-block
1365,16658,605.269,51.4967,43.432,road-block
1334,16465,443.487,61.9318,41.3609,road-block
1429,16381,389.789,54.1407,42.4691,road-block
1788,16342,899.377,55.1548,39.8269,road-block
1241,4,481.588,29.4576,35.5849,road-block
2113,14,365.446,49.4593,39.3106,road-block
1429,16845,789.921,57.7739,52.4446,road-block
1874,16880,478.357,69.2483,51.6465,road-block
2180,16877,748.708,55.1052,42.7949,road-block
1311,16750,567.914,69.9807,44.1325,road-block
2162,16820,619.553,60.1533,43.1677,road-block
2249,16888,848.531,46.2194,52.9178,road-block
2408,16885,476.683,74.0688,62.9072,road-block
3115,15665,785.37,76.1071,52.3123,road-block
1619,5,645.595,75.3949,55.4453,road-block
2254,105,740.406,74.3514,44.8846,road-block
2115,4,745.938,71.3765,51.4941,road-block
2106,15,645.21,71.6133,48.9732,road-block
1269,16825,322.434,47.4587,51.3767,road-block
3456,16882,253.421,50.6554,52.9484,road-block
3050,16885,505.144,60.5947,73.0787,road-block
2662,16857,1267.61,42.452,32.203,road-block
2913,16867,1063.24,53.5794,44.3287,road-block
3306,16881,288.492,62.6468,62.2819,road-block
1673,16816,1029.44,61.8199,54.1945,road-block
1984,16877,354.475,43.8533,52.2871,road-block
2198,16856,728.122,66.2315,53.2336,road-block
1644,46,323.848,44.2643,51.1631,road-block
2556,16870,534.056,62.4165,41.5715,road-block
