%1. Title : 
%
%2. Sources : 
%
%
%
@RELATION Imagette

@ATTRIBUTE  Black_Pixel_1 NUMERIC
@ATTRIBUTE  Black_Pixel_2 NUMERIC
@ATTRIBUTE  Black_Pixel_3 NUMERIC
@ATTRIBUTE  Black_Pixel_4 NUMERIC
@ATTRIBUTE  Harris_Corners_1 NUMERIC
@ATTRIBUTE  Harris_Corners_2 NUMERIC
@ATTRIBUTE  Harris_Corners_3 NUMERIC
@ATTRIBUTE  Harris_Corners_4 NUMERIC
@ATTRIBUTE  Length_Area_1 NUMERIC
@ATTRIBUTE  Length_Area_2 NUMERIC
@ATTRIBUTE  Length_Area_3 NUMERIC
@ATTRIBUTE  Length_Area_4 NUMERIC
@ATTRIBUTE  Mass_Center_X_1 NUMERIC
@ATTRIBUTE  Mass_Center_X_2 NUMERIC
@ATTRIBUTE  Mass_Center_X_3 NUMERIC
@ATTRIBUTE  Mass_Center_X_4 NUMERIC
@ATTRIBUTE  Mass_Center_Y_1 NUMERIC
@ATTRIBUTE  Mass_Center_Y_2 NUMERIC
@ATTRIBUTE  Mass_Center_Y_3 NUMERIC
@ATTRIBUTE  Mass_Center_Y_4 NUMERIC
@ATTRIBUTE Class  {accident, bomb, car, casualty, electricity, fire-brigade, fire, flood, gas, injury, paramedics, person police, road-block}

@DATA
640,604,658,62,3996,4192,3914,52,217.48,291.63,310.659,64.0833,32.8729,17.3162,46.7336,3.55556,35.2722,28.8492,20.8665,32.9722,casualty
407,484,501,286,4176,4213,17,4059,121.296,103.255,291.789,98.9533,53.1237,21.1854,54.483,8.56175,41.4719,33.7959,23.1446,26.1174,casualty
352,503,435,460,4160,4188,4114,39,171.48,129.882,177.907,131.338,48.3452,16.5025,50.3441,13.3985,39.8146,49.112,24.5712,16.2562,casualty
587,562,501,254,3769,4209,130,4108,156.125,193.723,120.752,166.35,37.4862,26.0722,48.7303,5.91696,44.5948,30.493,22.3051,13.0863,casualty
321,458,778,293,4211,4171,4192,4118,104.569,137.924,147.924,71.7401,46.2489,26.854,47.9525,9.08477,21.2914,41.8485,21.9554,28.6394,casualty
209,206,263,220,3982,3964,3756,58,156.267,77.1543,283.144,184.149,33.5468,21.4806,45.9731,15.6125,45.9999,53.3587,24.9522,31.4309,casualty
236,260,226,149,4072,4167,3979,26,171.681,244.492,261.061,70.3259,32.0476,22.6461,54.7759,9.43817,29.0897,52.5813,29.4028,31.873,casualty
257,221,197,207,4049,4206,4044,31,189.238,194.309,101.196,155.581,35.6181,26.3687,52.8579,9.53964,26.9431,41.8226,29.6794,31.1241,casualty
226,256,227,216,4176,5,62,28,182.995,105.882,243.848,93.4386,43.6369,24.2255,47.0105,13.4814,25.1071,44.7944,39.9377,34.8965,casualty
196,240,228,211,4067,4167,4012,29,158.51,166.309,149.865,252.09,46.8352,18.9669,30.202,10.0049,26.7327,50.3279,21.9669,23.1879,casualty
202,287,365,380,4151,41,4177,20,114.953,42.5269,126.551,136.894,24.2339,32.7456,40.9768,14.0728,25.8899,57.8674,24.704,21.443,casualty
374,391,488,304,3908,4122,4004,4138,164.894,207.622,193.321,147.723,42.7404,17.775,36.5617,11.1347,27.8383,28.5782,19.3131,18.392,casualty
436,343,288,187,4192,11,3985,29,264.735,176.652,207.747,99.196,41.8423,23.2389,47.2096,8.116,25.898,42.4566,28.047,12.6817,casualty
364,342,382,255,4203,8,3989,4160,179.48,136.024,315.487,118.61,42.4437,15.7407,47.7914,16.5474,17.0288,32.2458,26.8055,25.7733,casualty
259,505,336,289,4171,3741,8,35,136.61,260.936,219.22,134.551,55.2618,28.6828,44.1448,11.7829,36.4447,34.5715,31.229,17.9036,casualty
622,412,643,432,4210,4196,4202,4079,154.652,135.296,196.149,185.279,40.7297,16.3765,45.0732,14.2345,25.0376,30.9564,18.5418,11.9096,casualty
525,478,836,816,4198,4179,4147,4208,121.598,101.497,101.296,111.296,48.9083,0,44.8709,14.8185,15.9139,0,29.4415,26.6698,casualty
405,544,540,343,4188,4110,4169,4197,120.326,176.995,148.551,72.669,53.3251,24.952,34.448,6.16632,39.9432,25.3187,22.2614,17.2858,casualty
662,278,374,691,4079,4211,12,4216,223.38,94.5685,150.995,104.953,34.2821,34.0156,55.5179,16.6138,28.4402,53.3219,19.7038,17.695,casualty
461,567,723,334,4172,4131,4073,4018,261.622,120.953,204.593,145.522,48.0887,26.3434,48.0736,7.26778,24.9523,40.9852,21.206,29.2938,casualty
280,256,279,180,8,4192,4079,4108,171.581,151.338,163.421,75.2965,51.7389,16.1373,47.9522,9.95603,24.5638,45.5842,30.0396,26.4047,casualty
256,458,367,126,4195,6,4197,4189,153.782,227.279,143.037,97.0538,56.0334,19.0588,46.4425,8.60703,35.9516,22.1473,30.9985,35.2248,casualty
264,314,307,259,3,8,4111,3922,144.267,138.468,263.688,94.6102,55.4277,24.1048,49.3362,12.299,29.4549,44.456,23.9994,30.201,casualty
304,364,316,264,4157,8,4118,3997,169.48,304.434,174.836,170.25,37.1332,15.0366,37.2423,11.1204,28.1923,20.5996,22.4299,22.0276,casualty
249,279,387,354,4098,5,16,4110,142.953,168.995,262.96,168.25,40.37,14.8662,50.286,15.7198,31.5867,28.5076,15.9619,20.8122,casualty
303,329,369,188,4055,27,4133,53,132.468,227.22,268.333,65.7401,44.5911,11.9252,51.0072,5.85152,44.1578,24.6422,21.794,19.6399,casualty
274,325,279,190,4176,4205,4165,4115,141.196,169.681,260.233,74.0833,50.314,16.4736,51.3139,7.23169,46.5292,26.6044,33.8486,30.9097,casualty
232,375,249,260,13,49,4140,51,111.983,383.044,184.978,162.936,50.835,16.8198,40.0705,14.6343,46.9324,32.2119,18.073,29.6578,casualty
352,339,306,254,4169,4,3981,4117,177.48,172.167,251.789,256.09,51.3364,11.0621,32.5137,14.1181,30.9352,20.9953,17.9469,31.4737,casualty
441,363,393,379,3997,4197,3796,3896,223.137,148.853,207.907,178.735,30.4097,15.0114,41.1693,19.2393,32.4239,25.5288,31.8049,31.3133,casualty
423,329,341,283,4117,4194,53,4210,158.267,186.451,268.174,139.037,29.4385,19.7084,34.7948,12.1128,31.9851,38.5451,14.9772,19.4542,casualty
401,528,494,504,4204,4133,4075,4025,362.759,202.208,205.563,187.806,45.2952,29.5486,35.2632,18.6777,32.9619,49.698,19.9045,22.8005,casualty
354,515,369,339,4200,4176,4061,3984,162.995,142.711,289.245,258.517,42.5824,29.1249,43.3018,14.8978,44.951,39.7262,35.2979,23.1191,casualty
291,414,341,218,4152,11,4151,4064,158.024,186.066,173.421,139.38,54.1936,17.3627,49.6155,10.4906,34.6667,25.8145,31.6086,27.8168,casualty
245,394,279,234,8,4110,4121,4076,291.262,176.51,250.576,78.2254,52.4642,15.1972,37.149,8.496,24.8218,32.2238,15.2739,23.1541,casualty
541,472,267,383,4153,4158,4087,4104,155.924,237.765,158.208,140.794,41.7858,32.672,47.9485,17.7918,29.2893,35.3939,31.1668,25.5869,casualty
526,487,292,327,4134,4181,3917,61,137.054,168.409,180.25,145.723,26.7035,19.712,51.3817,13.2086,28.6097,29.9673,30.0385,26.6392,casualty
392,434,358,277,4147,4166,3929,3922,185.48,221.137,284.718,158.309,36.1667,33.563,44.5991,16.4592,39.1024,37.2609,27.272,25.4877,casualty
431,335,490,335,4048,4141,3724,3948,190.208,184.451,217.948,312.86,20.8646,20.3657,34.8135,14.3808,35.6337,34.9097,18.8872,23.1667,casualty
328,462,311,241,4168,3722,26,4031,118.468,198.794,287.505,82.0833,48.1209,25.1025,33.5844,10.0324,40.8906,29.3011,15.2504,31.8411,casualty
372,374,386,473,3837,3954,3880,3886,165.095,179.48,127.924,143.38,43.341,25.8783,50.3348,17.3759,33.3659,28.0157,17.9304,22.036,casualty
241,286,231,199,13,3,4101,41,292.149,178.995,164.007,97.0538,43.0741,16.3795,52.6092,10.1441,25.9947,25.8626,21.6882,25.0329,casualty
447,286,227,290,23,4201,3960,57,210.167,173.48,70.3259,241.019,44.5573,14.5635,53.3736,13.3677,34.9461,32.8423,29,28.7666,casualty
348,299,281,263,7,3924,4006,12,208.208,350.375,96.0244,229.99,40.4996,21.5915,49.9284,14.9973,44.3398,40.0241,29.8822,29.7421,casualty
286,264,308,334,4122,5,4021,4026,309.078,142.853,250.617,167.421,40.914,20.6521,49.9583,13.5349,13.8752,39.1135,17.8482,21.6523,casualty
191,29,345,306,4208,4189,18,4086,142.468,0,209.037,217.723,51.0568,0,44.5722,11.908,20.0084,0,23.3014,28.2187,electricity
215,90,133,220,4165,4177,42,3932,157.296,59.2132,73.598,100.083,34.9797,12.037,36.2885,8.52869,18.1583,38.0741,33.0048,34.5129,electricity
248,84,226,326,4016,4154,4105,3899,138.083,54.3848,59.3137,185.279,48.2024,12.9206,41.702,8.23944,19.6905,61.5317,28.2298,18.782,electricity
163,128,176,183,4190,4042,34,3999,137.497,99.1543,153.882,182.794,55.65,13.7363,47.4117,7.02137,26.701,51.4482,41.0975,19.0285,electricity
288,170,311,219,4163,4008,4192,43,192.409,119.782,126.711,156.794,53.7198,14.2436,54.915,8.19004,27.3603,53.2361,51.0065,20.8486,electricity
122,114,209,276,4190,4089,4132,4062,81.2548,76.5685,89.7401,139.439,57.9643,10.1263,44.2912,11.1655,40.5298,14.3944,32.0192,39.1228,electricity
153,142,277,149,4099,4206,4133,4205,103.497,86.7107,305.865,54.7696,57.7647,12.1734,50.796,7.73763,37.7902,24.5673,35.9295,32.3977,electricity
158,71,157,111,4172,64,38,4136,121.296,43.9411,130.225,91.196,56.874,3.18802,33.8333,5.30208,35.7317,34.194,30.8296,32.2083,electricity
162,95,349,201,4120,43,3770,48,104.569,85.0538,103.74,168.836,56.6346,6.37681,51.6423,8.24596,33.5731,10.8072,43.9464,28.5258,electricity
184,148,232,235,4209,8,4107,3953,128.326,49.5563,112.527,82.9117,37.7378,11.0226,54.3934,7.38462,26.9221,32.7869,48.6835,33.4298,electricity
322,100,225,285,4187,4088,4121,4189,199.238,54.3848,161.983,177.664,48.774,16.6111,56.0034,9.63914,27.1006,57.5556,50.3651,24.5061,electricity
280,95,269,232,4078,4160,4169,4051,155.154,45.5563,139.74,87.1543,55.2778,8.97778,53.7241,5.89216,25.9556,53.5222,49.6644,26.5527,electricity
379,50,242,288,4182,4218,4207,4059,178.125,29.8995,97.1543,256.25,49.9611,2.22222,50.0228,5.70588,34.6892,50.7778,43.4714,19.277,electricity
143,248,289,291,4217,30,39,4214,91.0122,76.8701,238.451,103.196,58.1264,4.87982,57.1674,4.93287,38.6383,18.2506,43.983,26.4653,electricity
253,107,265,207,4081,3,4068,4151,133.983,34.6274,152.326,180.551,57.4843,3.8638,52.2323,6.79107,40.9014,25.3774,51.1054,23.9078,electricity
225,62,188,200,4171,4210,4169,4023,171.823,20.1421,186.167,77.4975,49.9036,5.01852,56.2452,11.6911,28.6593,22.4907,47.8928,32.6294,electricity
525,224,843,574,4217,4175,4216,4108,182.184,67.2132,146.569,147.38,28.4529,3.28704,47.4694,25.4193,36.1599,41.1296,44.0806,27.0582,electricity
263,7,990,643,4222,3,4220,4072,63.4558,0,328.735,185.179,11.4322,0,38.7721,28.4088,42.0311,0,37.4409,37.0266,electricity
1072,215,1005,674,4184,4174,4209,4168,228.652,68.669,379.848,101.439,25.8845,54.5,38.6752,19.9171,40.1373,52,48.0685,26.368,electricity
318,12,765,593,4207,2,4216,4016,111.456,0,129.154,265.019,22.8333,0,43.4804,13.8878,16.1667,0,36.2513,21.729,electricity
123,117,211,188,4179,4162,4106,23,101.296,79.3553,173.338,143.338,55.231,8.95219,51.6779,12.496,20.1982,29.264,48.2404,33.1605,electricity
202,80,160,242,4106,4219,4150,4096,164.61,0,92.9117,132.066,47.858,0,33.6593,10.7184,29.0612,0,38.866,34.2335,electricity
222,54,181,127,4179,3,4025,4088,181.38,26.1421,233.179,56.1421,48.0956,3.24444,33.7673,10.9156,26.9536,13.5944,36.1665,28.3403,electricity
74,145,190,137,4161,4180,4039,4044,71.8406,71.6985,87.2548,67.9828,59.1428,11.2609,54.0536,9.45753,31.2877,33.0708,44.7515,31.1406,electricity
79,112,179,263,14,9,29,60,58.9706,89.0538,178.208,98.0833,62.5,16.1557,25.4563,13.8824,50,13.5366,23.7262,35.3857,electricity
442,118,449,305,4215,31,3863,18,190.551,24.4853,204.108,171.421,49.141,1.36667,53.1613,8.11,27.8826,30.3333,42.5546,19.9833,electricity
405,93,310,268,4209,4182,4168,4199,150.125,30.7279,176.853,134.652,52.6085,8.45238,55.9125,7.81112,36.3883,60.5476,43.3407,29.5305,electricity
353,65,320,185,4207,4220,8,38,154.711,28.7279,122.853,130.066,35.2488,4.11111,55.2346,5.1484,18.5709,30.7222,42.1872,15.8379,electricity
270,112,315,146,12,4181,59,4081,131.397,48.6274,161.74,121.48,57.2563,3.13333,58.1151,7.55105,38.271,27.2667,45.7143,23.9159,electricity
299,72,616,340,4212,32,4191,10,259.581,40.1421,228.066,78.8112,22.6048,12.1667,50.1155,9.30891,8.89524,45.3333,30.4734,22.8126,electricity
322,41,387,282,13,12,4164,4186,169.581,22.1421,143.882,171.664,46.3543,2.5,49.9509,7.17368,29.7549,60,41.7345,26.3339,electricity
261,59,292,218,4019,4206,4209,4139,154.711,30.3848,122.083,143.865,51.5886,4.07576,54.4289,7.89596,22.6766,57.2538,41.1057,29.6895,electricity
398,39,432,289,4206,4201,4150,4122,191.64,17.8995,224.752,235.262,35.8899,2.73333,53.909,13.6883,25.221,57.2667,40.1306,29.6008,electricity
326,125,382,181,4176,4213,4023,4119,194.995,0,198.267,196.534,45.9983,0,52.123,16.2623,21.5013,0,42.7271,36.4153,electricity
222,13,294,125,4147,4,4089,4125,161.924,9.65685,145.296,177.279,55.7083,2,51.775,11.2976,22.9232,3.5,42.68,40.1345,electricity
163,53,187,253,4209,22,4108,19,126.853,32.2843,64.0416,151.279,50.7308,5.15556,49.9647,9.05544,31.541,6.37778,35.593,37.7819,electricity
143,49,100,252,4104,12,4191,4181,115.054,39.9411,60.0416,154.811,54.6944,5.89286,51.269,14.6548,29.7278,7.56548,33.3202,35.7738,electricity
200,17,185,203,4101,7,20,4141,142.953,8.82843,109.113,174.108,30.5253,4,41.5222,7.18798,20.2273,62.5,37.6222,23.5013,electricity
133,99,252,119,4203,4209,22,4141,119.497,78.8701,175.74,139.137,46.1785,7.18148,54.7478,6.12607,16.6579,38.8741,50.3005,25.7943,electricity
180,36,104,248,4153,30,4046,3920,135.681,24.7279,82.8701,150.811,50.9429,3.88333,39.8667,13.8641,28.4648,3.73333,7.53333,35.7395,electricity
230,99,338,216,4190,4212,4043,4039,142.368,47.2132,243.48,164.451,56.0752,6.20404,54.1906,6.13178,18.5697,36.3263,46.3177,16.7726,electricity
196,95,278,338,4149,4140,4155,53,118.225,68.0833,103.882,242.149,55.1943,3.50331,52.9305,8.99581,30.0794,5.16998,28.2707,20.2228,electricity
349,64,393,329,4205,4209,18,4094,151.823,23.2132,236.35,99.7817,50.7806,2.5,38.4133,8.73681,31.208,2.25,35.8115,25.7667,electricity
165,174,181,241,4178,4145,4189,4161,105.154,73.2132,80.2843,158.693,57.7686,12.6615,54.2457,9.53994,30.81,31.2818,50.1877,27.5066,electricity
195,125,244,217,4138,12,4201,14,100.083,59.4975,161.581,145.622,56.704,9.94817,43.8037,6.46193,40.2938,27.6433,35.1938,14.9889,electricity
181,106,198,216,4211,59,25,4168,140.51,64.0833,124.569,117.196,53.3078,7.71349,46.8458,10.9852,33.0036,15.8621,47.8578,35.8616,electricity
156,108,220,114,4159,22,8,45,122.468,47.3553,146.652,59.1127,57.4429,7.06944,49.8371,4.375,35.4829,34.4444,45.4868,29.3964,electricity
200,141,313,222,4198,4215,4122,3923,121.782,51.3553,144.167,186.635,56.1995,6.82738,52.2119,10.6645,32.0874,31.1131,43.4571,21.5568,electricity
142,139,220,261,16,4154,4113,38,99.1543,77.6396,97.2548,84.9117,58.8466,7.14497,54.1517,10.603,45.6722,8.09174,49.3864,29.7518,electricity
116,146,322,248,4093,4154,4184,29,82.8701,47.4558,224.066,108.51,61.8833,5.22265,52.3153,10.5848,47.3667,32.0252,41.638,21.7435,electricity
200,152,213,193,4184,4195,8,4024,133.196,50.5269,127.681,121.823,52.9419,10.5241,56.0111,9.38654,35.0949,33.6014,53.7796,30.2738,electricity
187,160,195,248,4214,79,4119,3886,115.154,64.0833,84.4264,137.48,57.2695,10.5397,55.7583,8.00595,40.4421,36.079,50.5653,32.4246,electricity
221,28,133,234,4184,14,4165,3969,145.983,2,82.7696,146.309,53.4977,0,56.15,7.78497,32.0565,0,53.1667,29.2221,electricity
268,126,252,234,4139,4205,3983,4086,256.995,108.368,174.51,171.037,57.9746,7.95986,51.583,3.71331,34.0614,57.1321,42.3837,13.1866,electricity
232,64,300,230,4167,24,4045,3868,144.711,32.9706,114.426,120.368,57.6574,4.44167,54.6362,8.70159,31.2407,58.5625,26.1564,21.6107,electricity
459,225,510,250,4033,4180,3980,4054,129.154,136.167,252.61,152.752,13.7891,15.6982,23.7462,23.4497,18.7783,28.8591,26.7789,10.7012,fire-brigade
563,270,622,247,4088,21,3773,4154,153.355,296.475,222.468,158.593,34.0429,17.042,28.9211,26.9262,14.7558,29.8787,22.5999,25.0955,fire-brigade
568,353,494,227,4155,21,3874,4015,181.397,194.995,229.154,266.032,27.4866,19.655,43.203,26.3673,15.7606,30.9698,44.5919,28.4119,fire-brigade
653,383,560,317,3586,17,4102,4118,211.296,181.865,232.953,221.321,25.4783,20.9337,25.5619,36.9187,20.2725,20.0263,36.9514,23.111,fire-brigade
666,337,438,388,4,4209,3913,3943,213.924,149.581,227.581,202.693,38.0612,13.1463,33.9825,34.9232,24.3819,27.7483,44.7231,17.1888,fire-brigade
555,541,467,304,17,3899,4202,4067,224.51,176.167,162.61,126.066,30.0338,25.8966,33.8623,23.1511,39.2951,29.5811,31.4404,18.8583,fire-brigade
731,592,562,337,3885,4165,4214,4062,161.681,323.889,244.794,122.995,37.2946,20.5707,32.2566,17.9775,39.1134,35.6369,21.1071,21.5141,fire-brigade
864,644,624,222,4206,4097,4077,4127,169.924,355.328,146.409,87.7817,30.3564,16.5225,42.3378,13.737,28.3297,29.7043,37.0222,13.5069,fire-brigade
828,555,816,472,4157,4187,4171,4206,150.468,169.38,212.51,150.894,39.706,18.6701,49.2232,26.0757,20.283,21.3501,26.0314,15.1424,fire-brigade
744,569,480,323,4211,27,4097,4067,145.64,157.924,250.978,96.8528,36.1571,21.8028,31.0857,23.599,22.3537,28.88,23.4175,11.4972,fire-brigade
499,355,544,234,4129,4152,44,4083,200.225,183.581,157.355,157.522,28.4903,20.2311,31.5733,20.3789,16.1153,23.09,21.3083,19.7772,fire-brigade
429,254,441,241,3815,4190,132,4040,257.137,180.894,193.841,154.593,11.8805,44.2992,29.7319,29.4829,25.3414,39.8992,42.6901,25.4921,fire-brigade
378,186,466,228,83,4200,3923,4083,142.142,86.8112,147.355,131.924,27.5857,5.97159,34.4755,13.3444,18.129,20.8371,20.7391,20.2428,fire-brigade
460,265,485,250,4159,4147,3818,4185,196.309,113.539,198.669,156.267,30.8808,11.5598,36.8663,26.1379,18.6323,29.5973,29.6565,36.6396,fire-brigade
387,231,502,299,4157,4200,3955,4143,149.598,108.024,200.811,165.439,35.4073,8.8963,45.2731,16.1707,26.9873,25.1478,49.6204,16.4565,fire-brigade
425,229,281,161,4063,4179,3688,3989,164.167,132.953,135.941,193.421,36.1876,33.4525,21.2247,13.8659,23.8077,45.3745,15.2062,25.8985,fire-brigade
600,299,612,408,43,3936,3837,4211,247.983,143.723,204.125,165.154,14.3009,16.994,25.388,28.7504,10.625,41.9205,26.1677,26.5948,fire-brigade
608,429,542,391,4142,4189,4194,4191,161.539,166.409,189.154,167.782,29.669,34.7689,27.1126,26.4604,25.0178,39.567,31.2912,28.5315,fire-brigade
555,510,835,422,4197,4170,3714,4146,205.463,186.409,229.439,194.953,14.8786,25.056,24.8704,48.6359,18.6228,28.0421,25.8897,34.5797,fire-brigade
678,442,675,239,4150,3658,4140,4182,189.581,175.622,142.225,146.652,39.0117,29.9664,21.787,28.6199,29.523,34.947,25.1543,23.0935,fire-brigade
424,229,221,239,4159,4005,3969,4186,219.238,148.267,153.799,194.551,12.8291,22.6121,14.0877,47.0425,17.8724,46.4415,30.0314,36.7327,fire-brigade
350,195,382,229,82,4181,3471,4107,196.142,105.439,135.598,96.8112,24.2909,13.0781,32.9387,46.192,12.6166,32.5838,30.888,28.6925,fire-brigade
426,223,231,254,4161,4219,3820,4037,115.071,170.267,106.627,168.409,23.9681,33.2828,13.8651,28.6674,23.7387,32.5732,19.7857,36.2471,fire-brigade
404,246,480,203,3948,29,3830,4127,171.456,230.108,202.125,142.066,29.0841,17.7558,40.5411,20.5983,20.7264,27.6104,41.6053,31.7734,fire-brigade
341,248,361,226,4090,4212,27,4165,231.296,161.095,155.456,153.581,37.6608,13.3348,43.1601,14.6086,20.3734,17.8521,37.8677,27.7959,fire-brigade
629,432,729,435,4206,4216,4087,4166,205.782,155.38,192.326,171.723,32.6056,21.5083,44.0296,22.8338,16.2532,32.9313,40.491,27.7252,fire-brigade
765,376,805,437,4016,4190,3926,4203,192.284,151.581,189.782,149.723,32.1968,15.9245,36.0039,14.5446,21.0137,39.4232,26.8182,18.7764,fire-brigade
821,369,790,559,4027,4186,4155,4047,155.841,105.539,208.024,173.338,30.4165,14.3004,42.3427,15.875,24.4606,45.8614,35.7354,26.0788,fire-brigade
726,468,604,259,48,4087,4070,4144,201.941,147.782,187.054,117.681,43.6657,11.5317,52.1944,13.9208,26.8851,35.6647,46.284,24.9333,fire-brigade
1063,544,790,299,3897,4221,4185,3912,217.113,306.576,218.894,124.551,27.4092,13.7114,37.8508,21.2427,21.1909,28.281,44.0212,18.9292,fire-brigade
780,501,552,322,4201,4063,4133,4166,226.912,192.652,128.184,156.108,25.8094,30.1182,27.9403,30.8877,22.6792,35.8463,38.4237,24.7314,fire-brigade
833,565,953,496,3887,4137,4182,4163,232.953,181.782,230.125,166.066,19.2029,14.4122,30.9277,17.6329,11.6854,17.1183,26.5896,18.7539,fire-brigade
627,692,591,492,3829,4167,134,3755,217.497,198.409,167.154,158.794,34.2832,29.9395,46.8781,12.8041,15.3512,38.4583,22.4388,23.3595,fire-brigade
618,304,612,372,5,4056,3726,4043,245.497,122.309,181.983,131.841,39.4865,14.7231,41.415,18.5814,27.5555,33.9604,33.4651,19.0523,fire-brigade
837,450,782,496,4082,4167,4095,4111,187.113,148.752,246.51,173.037,21.7093,25.1193,29.4789,23.8144,23.8578,46.864,31.3026,28.5196,fire-brigade
831,312,759,295,4190,23,4145,4216,233.439,157.966,229.782,161.924,22.9464,16.5765,33.211,34.8434,17.2921,29.5238,38.2118,24.0163,fire-brigade
1128,566,1186,436,4124,3954,4182,67,238.468,188.953,228.811,177.439,25.0463,23.4063,18.4365,47.8602,32.1052,16.7048,27.2913,30.5859,fire-brigade
1257,776,846,284,3631,4185,4201,16,228.125,218.108,267.397,91.4386,29.9721,17.9359,27.6558,16.4143,25.4181,27.1838,33.8183,18.3968,fire-brigade
711,603,868,329,3830,4168,4103,4218,168.569,187.48,235.439,140.309,24.2599,16.6569,25.0227,19.7162,16.8115,13.5677,22.4172,15.0713,fire-brigade
1181,517,718,395,11,4197,27,4145,304.024,190.995,172.225,147.723,15.8117,20.9011,38.3051,15.9076,25.1695,24.4626,26.9942,12.4096,fire-brigade
539,381,363,236,4049,4178,4179,4206,378.368,184.953,215.012,183.581,34,17.5015,5.9709,37.5289,26.3759,18.9875,19.9101,36.3548,fire-brigade
682,334,448,284,3499,4210,4190,4213,140.125,147.581,234.184,177.238,17.4538,18.3513,3.60317,41.6391,14.5749,23.2164,16.7778,31.9417,fire-brigade
564,240,620,317,4118,4183,13,4214,237.439,157.095,228.326,178.61,32.4369,39.2152,17.76,27.8044,30.8425,46.4522,30.1056,17.8638,fire-brigade
903,397,641,257,4144,4159,4203,4185,227.296,174.267,242.61,151.681,30.1452,13.9051,17.0932,29.8819,20.664,12.473,24.8486,22.078,fire-brigade
614,416,549,260,4159,4168,113,4220,176.468,206.551,221.64,153.782,32.3383,9.61773,23.0384,27.5685,24.6356,17.7659,27.3069,35.9175,fire-brigade
417,389,252,272,4129,51,4144,44,171.338,283.22,139.782,181.439,41.3148,24.5682,25.6295,20.4469,43.4562,32.8319,22.6248,22.2018,fire
410,372,228,238,12,4077,4168,4106,199.581,170.711,142.468,183.296,33.2196,13.0513,53.503,23.2361,21.6568,30.6396,50.1531,31.9352,fire
449,428,380,325,4171,4120,130,4146,313.279,206.167,268.635,141.983,30.9212,11.7567,45.4189,28.8439,36.8624,29.0173,18.137,23.4634,fire
295,319,252,254,3746,3790,4138,14,248.836,174.225,437.161,310.693,35.4508,9.16459,44.9438,21.4411,35.8446,20.6631,31.9277,25.6789,fire
314,351,220,265,28,4033,4170,10,175.924,533.144,235.823,210.953,35.0047,18.6399,31.56,38.0126,39.4848,20.712,24.2036,33.5222,fire
358,324,242,241,3873,52,4160,65,302.108,209.48,150.267,91.3137,32.1629,12.283,40.7654,12.375,42.3452,7.81947,27.8457,0.5,fire
353,289,399,238,14,9,4169,5,98.9706,200.853,345.747,139.255,46.4583,18.7545,33.9525,27.3791,41.1944,31.9331,16.4327,30.5291,fire
353,298,347,206,37,4161,4194,4165,158.426,152.409,218.61,130.627,21.2648,16.503,17.6989,6.5,11.6321,27.7699,17.9359,20.6667,fire
318,302,232,212,3799,32,14,21,131.698,85.2548,176.752,130.627,33.4565,14.5079,22.7366,13.5208,30.1528,12.986,22.6908,5.20139,fire
220,306,278,187,4179,4061,25,19,154.368,110.569,112.569,288.468,23.5435,6.39569,36.9393,26,21.6333,17.2766,35.4002,4.10145,fire
323,298,246,265,4054,4071,4187,14,202.267,152.853,143.64,135.698,39.2104,19.6778,19.4253,10.375,41.2634,29.7778,23.086,44.3333,fire
675,314,371,410,4028,4168,4205,4211,162.267,151.338,109.154,212.125,19.3185,15.8,25.9461,29.7281,12.5459,29.7,27.3824,40.5,fire
229,377,258,236,4157,3896,4222,4214,118.811,139.74,104.024,203.497,29.29,13.006,36.4407,24.6651,17.7011,22.3006,9.1537,59.43,fire
547,556,524,404,3758,4209,4066,7,165.439,264.693,243.255,150.184,43.6984,24.6715,38.0476,24.4432,41.7587,19.0349,25.7698,43.4508,fire
348,291,190,236,17,65,55,4144,225.966,268.066,124.953,160.77,41.0563,14.0759,41.7153,8.88148,33.9422,33.7724,9.56944,59.5,fire
252,302,287,280,4179,84,4201,4136,97.3137,161.983,171.037,133.698,25.3833,13.4591,23.8333,24.2222,20.2449,28.1097,18.7666,41.7222,fire
392,344,207,258,4076,3826,4204,5,519.73,250.652,161.64,128.142,30.5028,18.9464,25.3407,17.875,46.7564,14.8476,29.3995,30.125,fire
415,307,248,314,3901,4071,4203,9,197.196,203.782,152.87,220.368,38.7698,3.74305,32.8333,37.8194,47.5748,9.85985,40.6667,58.9,fire
273,230,260,212,3992,21,50,3951,178.912,182.853,169.238,128.971,47.25,20.391,39.0984,0,13.9167,39.3094,23.9015,0,fire
466,504,298,338,4062,18,20,4197,324.007,385.262,130.61,144.042,43.3734,9.10482,25.3211,28.1111,45.6968,10.9101,18.2896,37.1556,fire
296,251,300,227,26,4198,4121,4090,261.723,138.083,151.64,139.113,27.5856,34.6106,26.8681,26.0722,26.4308,27.3512,52.1798,10.8556,fire
343,344,341,238,23,8,23,25,338.794,281.137,143.539,291.966,25.0357,17.1895,37.979,36.0933,31.1365,21.2079,29.6757,14.8253,fire
325,415,289,275,35,4053,4115,33,272.066,144.225,145.095,315.48,48.7715,17.4585,42.8399,13.9236,28.9972,25.1229,45.0794,18.2361,fire
