%1. Title : 
%
%2. Sources : 
%
%
%
@RELATION Imagette

@ATTRIBUTE  Black_Pixel_1 NUMERIC
@ATTRIBUTE  Black_Pixel_2 NUMERIC
@ATTRIBUTE  Black_Pixel_3 NUMERIC
@ATTRIBUTE  Black_Pixel_4 NUMERIC
@ATTRIBUTE  Black_Pixel_5 NUMERIC
@ATTRIBUTE  Black_Pixel_6 NUMERIC
@ATTRIBUTE  Black_Pixel_7 NUMERIC
@ATTRIBUTE  Black_Pixel_8 NUMERIC
@ATTRIBUTE  Black_Pixel_9 NUMERIC
@ATTRIBUTE  Black_Pixel_10 NUMERIC
@ATTRIBUTE  Black_Pixel_11 NUMERIC
@ATTRIBUTE  Black_Pixel_12 NUMERIC
@ATTRIBUTE  Black_Pixel_13 NUMERIC
@ATTRIBUTE  Black_Pixel_14 NUMERIC
@ATTRIBUTE  Black_Pixel_15 NUMERIC
@ATTRIBUTE  Black_Pixel_16 NUMERIC
@ATTRIBUTE  Harris_Corners_1 NUMERIC
@ATTRIBUTE  Harris_Corners_2 NUMERIC
@ATTRIBUTE  Harris_Corners_3 NUMERIC
@ATTRIBUTE  Harris_Corners_4 NUMERIC
@ATTRIBUTE  Harris_Corners_5 NUMERIC
@ATTRIBUTE  Harris_Corners_6 NUMERIC
@ATTRIBUTE  Harris_Corners_7 NUMERIC
@ATTRIBUTE  Harris_Corners_8 NUMERIC
@ATTRIBUTE  Harris_Corners_9 NUMERIC
@ATTRIBUTE  Harris_Corners_10 NUMERIC
@ATTRIBUTE  Harris_Corners_11 NUMERIC
@ATTRIBUTE  Harris_Corners_12 NUMERIC
@ATTRIBUTE  Harris_Corners_13 NUMERIC
@ATTRIBUTE  Harris_Corners_14 NUMERIC
@ATTRIBUTE  Harris_Corners_15 NUMERIC
@ATTRIBUTE  Harris_Corners_16 NUMERIC
@ATTRIBUTE  Length_Area_1 NUMERIC
@ATTRIBUTE  Length_Area_2 NUMERIC
@ATTRIBUTE  Length_Area_3 NUMERIC
@ATTRIBUTE  Length_Area_4 NUMERIC
@ATTRIBUTE  Length_Area_5 NUMERIC
@ATTRIBUTE  Length_Area_6 NUMERIC
@ATTRIBUTE  Length_Area_7 NUMERIC
@ATTRIBUTE  Length_Area_8 NUMERIC
@ATTRIBUTE  Length_Area_9 NUMERIC
@ATTRIBUTE  Length_Area_10 NUMERIC
@ATTRIBUTE  Length_Area_11 NUMERIC
@ATTRIBUTE  Length_Area_12 NUMERIC
@ATTRIBUTE  Length_Area_13 NUMERIC
@ATTRIBUTE  Length_Area_14 NUMERIC
@ATTRIBUTE  Length_Area_15 NUMERIC
@ATTRIBUTE  Length_Area_16 NUMERIC
@ATTRIBUTE  Mass_Center_X_1 NUMERIC
@ATTRIBUTE  Mass_Center_X_2 NUMERIC
@ATTRIBUTE  Mass_Center_X_3 NUMERIC
@ATTRIBUTE  Mass_Center_X_4 NUMERIC
@ATTRIBUTE  Mass_Center_X_5 NUMERIC
@ATTRIBUTE  Mass_Center_X_6 NUMERIC
@ATTRIBUTE  Mass_Center_X_7 NUMERIC
@ATTRIBUTE  Mass_Center_X_8 NUMERIC
@ATTRIBUTE  Mass_Center_X_9 NUMERIC
@ATTRIBUTE  Mass_Center_X_10 NUMERIC
@ATTRIBUTE  Mass_Center_X_11 NUMERIC
@ATTRIBUTE  Mass_Center_X_12 NUMERIC
@ATTRIBUTE  Mass_Center_X_13 NUMERIC
@ATTRIBUTE  Mass_Center_X_14 NUMERIC
@ATTRIBUTE  Mass_Center_X_15 NUMERIC
@ATTRIBUTE  Mass_Center_X_16 NUMERIC
@ATTRIBUTE  Mass_Center_Y_1 NUMERIC
@ATTRIBUTE  Mass_Center_Y_2 NUMERIC
@ATTRIBUTE  Mass_Center_Y_3 NUMERIC
@ATTRIBUTE  Mass_Center_Y_4 NUMERIC
@ATTRIBUTE  Mass_Center_Y_5 NUMERIC
@ATTRIBUTE  Mass_Center_Y_6 NUMERIC
@ATTRIBUTE  Mass_Center_Y_7 NUMERIC
@ATTRIBUTE  Mass_Center_Y_8 NUMERIC
@ATTRIBUTE  Mass_Center_Y_9 NUMERIC
@ATTRIBUTE  Mass_Center_Y_10 NUMERIC
@ATTRIBUTE  Mass_Center_Y_11 NUMERIC
@ATTRIBUTE  Mass_Center_Y_12 NUMERIC
@ATTRIBUTE  Mass_Center_Y_13 NUMERIC
@ATTRIBUTE  Mass_Center_Y_14 NUMERIC
@ATTRIBUTE  Mass_Center_Y_15 NUMERIC
@ATTRIBUTE  Mass_Center_Y_16 NUMERIC
@ATTRIBUTE Class  {accident, bomb, car, casualty, electricity, fire-brigade, fire, flood, gas, injury, paramedics, person police, road-block}

@DATA
86,180,217,37,11,160,98,39,132,104,85,266,124,125,0,88,15,949,931,18,2,922,967,8,1015,1002,1004,960,930,970,0,11,0,81.6396,86.9533,20.9706,6.24264,147.723,33.6985,24.9706,67.9411,0,100.711,91.0122,66.2843,54.7696,0,44.1838,0,22.24,14.4908,3,29.3333,16.6171,14.7364,3,23.6786,0,22.8704,4.61111,24.2333,7.48665,0,23.5929,0,13.9626,22.3187,3.66667,28.3333,17.9279,4.14996,13.25,6.75,0,9.65926,16.7192,23.8333,12.715,0,6.55412,casualty
11,224,213,87,3,168,114,4,213,18,86,203,157,99,2,116,4,1007,849,40,2,53,34,8,952,1021,14,803,1010,962,6,922,0,95.8406,78.2254,0,0,81.8822,60.3259,0,79.2548,0,45.4558,68.5269,74.669,65.9411,0,58.3259,0,6.6246,10.7779,0,0,17.1065,15.4303,0,12.7566,0,26.7286,9.60519,22.572,3.75,0,21.5379,0,8.25079,21.0897,0,0,17.5823,7.21464,0,11.3129,0,11.3714,17.9271,14.8697,19.9583,0,9.74441,casualty
78,142,156,6,48,143,117,2,148,66,88,156,111,118,11,149,22,947,849,10,993,941,956,6,894,1016,972,939,990,983,1013,898,0,83.6396,78.7107,2,42.0416,72.9117,74.3259,0,65.4558,38.8701,64.0416,85.0122,66.2843,82.0833,6.82843,88.1249,0,15.3993,16.08,0,27,13.9695,14.684,0,11.5,4.33333,26,12.9418,23.8571,6.20417,29.5,13.0231,0,15.0119,15.5,0,23.5714,11.6237,14.0908,0,0.75,17.5,16,22.2035,23.25,17.9009,2,18.8521,casualty
73,132,152,61,42,147,124,58,157,18,189,35,150,8,27,260,1003,941,931,1017,1007,974,926,960,913,1018,14,1007,945,6,1008,816,41.4558,67.7401,81.2965,0,24.3848,79.0538,71.7401,76.7696,89.1543,16.8284,64.2843,18.7279,80.8112,6,14.4853,78.2254,26.875,4.79291,11.0194,0,26.4167,14.7966,17.2238,5.75,20.638,1.5,22.8898,4.14815,19.7603,0,27,9.95455,21.1875,5.20741,11.1583,0,27.6282,12.3337,9.37644,22.5,12.0015,25,23.3088,27.7407,19.6105,0,2.5,8.24811,casualty
3,87,115,0,42,98,123,0,135,88,5,227,168,77,0,154,1,1002,917,0,7,953,955,0,1016,24,3,940,922,976,0,10,0,54.669,62.8112,0,48.2843,53.598,78.0833,0,72.669,44.9706,0,86.5685,73.8406,82.9117,0,76.669,0,21.0356,11.0002,0,24.4762,10.7305,9.03986,0,11.0795,1.5,0,11.5015,24.963,3.45299,0,24.8248,0,20.9919,11.0002,0,17.5,7.25,20.6836,0,7.01515,10.5833,0,14.122,19.3301,10.9829,0,19.3456,casualty
0,167,228,61,0,119,181,11,168,60,35,155,28,117,11,240,0,945,879,949,0,17,81,9,925,1009,11,28,8,9,6,32,0,87.1543,59.4558,38.2843,0,64.669,80.2254,0,70.1838,29.2132,36.8701,66.2843,14.7279,63.1127,6.24264,79.8823,0,18.538,18.0637,5.10043,0,19.3267,9.27898,0,18.1667,4.32051,24.4902,10.25,27.7407,3.5,29.2222,18.4853,0,14.8793,16.172,7.03419,0,22.5178,6.37179,0,11.0833,26.0449,27.549,24.375,27.7407,21.6429,1.77778,9.25,casualty
0,137,149,0,0,122,42,0,152,0,0,97,128,0,0,98,0,1004,39,0,0,922,25,0,2,0,0,7,964,0,0,984,0,132.811,68.669,0,0,151.522,22.1421,0,83.9828,0,0,48.5269,81.3553,0,0,55.0122,0,14.6845,9.28968,0,0,17.6744,14.7556,0,12.2543,0,0,17.0975,22.8286,0,0,21.2843,0,10.9167,22.7508,0,0,17.8256,3.28889,0,12.3498,0,0,17.3152,14.45,0,0,7.50055,casualty
0,199,158,0,0,127,128,0,141,0,0,225,146,0,0,85,0,6,28,0,0,877,34,0,966,0,0,772,1000,0,0,909,0,105.154,99.196,0,0,67.4975,84.2254,0,79.1543,0,0,96.1838,88.3259,0,0,48.669,0,14.7716,13.5367,0,0,18.4619,11.8528,0,13.3666,0,0,9.25244,16.5217,0,0,23.101,0,15.0035,20.2803,0,0,17.8738,6.96667,0,15.1549,0,0,23.9098,18.6568,0,0,8.12626,casualty
29,157,143,9,6,136,119,0,134,0,9,168,154,8,4,126,1011,5,956,14,2,879,7,0,799,0,4,947,988,8,4,941,0,115.882,79.2965,0,4,79.2965,142.208,0,150.208,0,6,91.4975,95.0122,0,0,71.6396,0,13.5443,16.0526,0,0,16.0798,15.0252,0,16.2749,0,0,10.7981,22.3855,0,0,19.909,0,8.88725,15.2356,0,0,15.273,12.7109,0,14.5801,0,0,22.491,22.5472,0,0,11.4116,casualty
0,157,214,21,0,137,115,4,115,8,0,128,136,17,0,148,0,976,905,11,0,925,931,8,933,4,0,950,986,12,0,869,0,158.995,79.2965,0,0,128.309,78.468,0,66.9117,0,0,63.799,69.1127,0,0,103.095,0,16.0175,15.1242,0,0,18.8553,10.6833,0,14.3532,0,0,9.38889,26.9321,0,0,17.0103,0,10.7728,10.3846,0,0,14.3684,16.9575,0,22,0,0,27.7778,17.1481,0,0,13.3494,casualty
0,102,180,0,0,203,123,0,29,0,0,94,165,0,0,114,0,1009,943,0,0,11,937,0,988,0,0,1013,11,0,0,946,0,69.8406,190.51,0,0,155.924,61.8406,0,0,0,0,63.799,0,0,0,54.3848,0,20.9812,11.0479,0,0,9.81382,9.61435,0,0,0,0,10.5,0,0,0,11.8298,0,16.242,13.5566,0,0,13.9336,12.4417,0,0,0,0,5.5,0,0,0,13.9534,electricity
0,80,97,0,0,109,125,0,10,0,0,117,76,0,0,14,0,1007,1016,0,0,858,39,0,10,0,0,951,982,0,0,5,0,64.4264,67.9411,0,0,63.9411,72.9117,0,6.82843,0,0,91.6985,57.2132,0,0,0,0,21.8,12.1667,0,0,16.8815,5.64655,0,2,0,0,13.2778,17.0556,0,0,0,0,19.6364,11.2333,0,0,14.2148,9.95575,0,2,0,0,27.8889,24.1111,0,0,0,electricity
0,128,155,1,25,105,157,5,18,0,0,115,70,0,11,79,0,1010,1011,4,986,980,939,4,16,0,0,985,970,0,1015,961,0,66.2843,70.1838,0,0,46.6274,75.1543,0,0,0,0,62.9706,45.5563,0,0,45.5563,0,17.75,11.0032,0,0,18.8667,10.3744,0,0,0,0,5.75,7.56667,0,0,14.5741,0,8.5,13.496,0,0,22.7889,9.97748,0,0,0,0,14.5,13.9333,0,0,2.62037,electricity
0,70,87,0,0,116,85,0,91,0,0,88,123,0,0,39,0,963,17,0,0,25,906,0,4,0,0,1004,844,0,0,1006,0,66.2843,46.6274,0,0,100.426,66.0833,0,0,0,0,62.3848,96.3259,0,0,23.3137,0,18.0833,9.94444,0,0,17.3476,8.28125,0,0,0,0,20.3741,13.9893,0,0,14,0,10.875,13.5185,0,0,14.5476,14.887,0,0,0,0,17.1259,18.6241,0,0,12.5,electricity
0,105,119,0,0,231,100,0,3,0,0,175,165,0,0,69,0,24,27,0,0,988,898,0,4,0,0,1008,811,0,0,961,0,75.7401,59.9411,0,0,93.7401,62.3259,0,0,0,0,113.841,116.953,0,0,23.0711,0,22.0107,11.1312,0,0,21.9661,9.37304,0,0,0,0,16.9651,14.7322,0,0,14.4444,0,12.924,16.1373,0,0,21.5468,11.9036,0,0,0,0,20.9009,18.8333,0,0,15.7778,electricity
0,5,154,0,0,144,122,0,112,0,0,108,1,0,0,60,0,2,1003,0,0,992,13,0,902,0,0,991,4,0,0,972,0,0,102.569,0,0,85.598,48.4264,0,74.5685,0,0,69.3553,0,0,0,33.5563,0,0,15.3056,0,0,14.3571,7.07372,0,10.1263,0,0,25.0439,0,0,0,19.631,0,0,18.1042,0,0,13.5195,13.8077,0,14.3944,0,0,10.0921,0,0,0,2.61905,electricity
0,30,79,0,0,171,69,0,88,0,0,114,56,0,0,104,0,1006,983,0,0,945,1004,0,906,0,0,972,1014,0,0,973,0,17.3137,54.7696,0,0,84.5269,49.3553,0,86.7107,0,0,71.6985,35.8995,0,0,107.497,0,14,5.9697,0,0,13.7301,9.50556,0,12.2879,0,0,23.3852,11.9444,0,0,12.2,0,13.25,12.5455,0,0,14.0697,20.25,0,7.32317,0,0,13.8148,27.0556,0,0,11.2,electricity
0,59,55,0,0,84,57,0,48,0,0,90,18,0,0,53,0,982,966,0,0,929,981,0,994,0,0,1006,19,0,0,1006,0,42.2843,42.9706,0,0,72.2843,91.196,0,43.9411,0,0,66.5269,11.8995,0,0,24.1421,0,25.75,2.75,0,0,12.5583,7.85417,0,4.00699,0,0,23.2265,2.28571,0,0,27.75,0,22.5429,12.875,0,0,9.21667,19.5417,0,7.50699,0,0,20.3504,28.7143,0,0,27.5,electricity
0,40,102,0,0,198,96,0,92,0,0,117,46,0,0,128,0,1000,36,0,0,822,919,0,43,0,0,939,13,0,0,987,0,22.1421,52.7696,0,0,95.4975,55.4975,0,85.0538,0,0,67.9411,0,0,0,80.0416,0,28.3611,12.9905,0,0,20.3477,9.38906,0,6.37681,0,0,20.7,0,0,0,14.6852,0,26.7778,22.6143,0,0,21.3606,9.55991,0,10.8072,0,0,8.9,0,0,0,17.6481,electricity
0,36,125,0,0,193,108,0,72,0,0,136,80,0,0,35,0,1001,1020,0,0,925,17,0,46,0,0,991,4,0,0,1019,0,25.3137,69.598,0,0,88.0416,69.2548,0,48.2843,0,0,77.6985,47.5563,0,0,15.6569,0,28.8333,8.40909,0,0,17.8099,4.66667,0,5.84524,0,0,22.1667,16.2,0,0,6.75,0,27.3333,15,0,0,14.7825,12.3889,0,7.27381,0,0,14.6061,26.3,0,0,14,electricity
0,117,154,0,0,200,134,0,9,0,0,195,89,0,0,20,0,989,985,0,0,936,1002,0,1018,0,0,991,902,0,0,7,0,74.9117,69.598,0,0,83.4558,71.397,0,0,0,0,116.669,51.5563,0,0,0,0,22.1944,13.4473,0,0,22.8677,10.6842,0,0,0,0,7.83333,16.6111,0,0,0,0,15.6369,18.8393,0,0,18.657,13.815,0,0,0,0,14.4298,25.5556,0,0,0,electricity
0,125,114,0,0,201,116,0,2,0,0,150,88,0,0,64,0,963,1014,0,0,966,928,0,6,0,0,919,963,0,0,997,0,68.5269,52.6274,0,0,91.9411,62.4264,0,0,0,0,78.3848,42.7279,0,0,25.3137,0,24.875,2.27778,0,0,20.9342,7.28571,0,0,0,0,17.119,8.97778,0,0,27.8333,0,17.625,6.88889,0,0,21.1026,12.5455,0,0,0,0,18.2381,21.5222,0,0,26.6667,electricity
0,152,149,0,0,133,138,0,0,0,0,226,47,0,0,61,0,1020,933,0,0,1007,919,0,0,0,0,983,1017,0,0,1001,0,64.6274,124.225,0,0,94.3259,67.2548,0,0,0,0,118.669,27.8995,0,0,59.3137,0,19,11,0,0,12.6702,7.76667,0,0,0,0,17.6891,2.22222,0,0,0,0,11,6.92708,0,0,16.2462,14.2833,0,0,0,0,20.7983,18.7778,0,0,0,electricity
0,30,222,0,0,198,67,0,110,0,0,105,142,0,0,65,0,997,16,0,0,33,1009,0,2,0,0,1018,15,0,0,7,0,0,75.6396,0,0,113.296,29.3137,0,55.2132,0,0,58.0416,74.8701,0,0,87.9411,0,0,6.12737,0,0,15.0124,2.94841,0,3.44444,0,0,24.8312,6.79365,0,0,9.30952,0,0,13.7859,0,0,5.87312,20.4048,0,7.31944,0,0,10.5325,11.4921,0,0,8.09524,electricity
0,79,100,0,0,193,106,0,54,0,0,163,52,0,0,57,0,984,975,0,0,895,994,0,20,0,0,932,2,0,0,1008,0,48.2843,51.799,0,0,93.6985,62.669,0,34.6274,0,0,87.6985,25.8995,0,0,36.1421,0,25.85,6.125,0,0,20.901,8.84195,0,2.89892,0,0,10.9778,5.31111,0,0,0,0,21.35,9.18333,0,0,23.0835,12.088,0,3.05864,0,0,15.3556,26.8556,0,0,0,electricity
0,82,100,0,0,152,100,0,39,0,0,132,23,0,0,21,0,990,861,0,0,967,946,0,1009,0,0,974,1008,0,0,8,0,61.4975,66.2843,0,0,75.8406,69.2548,0,20.1421,0,0,97.0122,13.6569,0,0,28.1421,0,21.6262,6.01389,0,0,14.6459,17.3684,0,4.27778,0,0,10.5699,5,0,0,14.6667,0,18.9729,13.2143,0,0,14.3801,20.0446,0,2.73611,0,0,17.383,29.5,0,0,27.4167,electricity
143,629,170,182,234,401,232,157,314,24,132,236,215,9,13,203,1016,925,978,939,1015,1015,953,921,5,10,1006,1013,976,3,8,991,62.9706,0,38.5269,62.4264,67.6985,66.2843,68.5685,0,0,0,42.7279,62.9706,65.2132,0,0,19.6569,9.75,0,27.123,7,23,19.9167,12.6878,0,0,0,20.7833,9.5,3.28704,0,0,29.0667,14.5,0,26.1349,12.2265,22,19.5,7.90686,0,0,0,4.86667,4.75,9.12963,0,0,25.6667,electricity
134,209,455,265,120,365,308,66,0,0,27,69,90,8,214,278,1003,1005,18,992,16,837,992,1006,0,0,1020,1010,1022,3,1019,1010,51.4558,0,0,78.8112,55.3553,85.9411,77.0538,26.0416,0,0,17.0711,34.1421,0,0,68.0416,84.669,6.20833,0,0,15.1336,26.6518,8.64821,19.8221,5.2549,0,0,3.88889,15,0,0,13.8667,12.9035,12.8333,0,0,19.2985,11.8204,13.8786,14.0039,5.2549,0,0,29.2222,27.5,0,0,5.33333,17.7134,electricity
189,230,286,195,214,432,191,436,86,179,414,433,12,188,746,354,977,1004,981,997,977,1006,1007,9,5,7,1009,1003,1009,978,23,1016,66.2843,0,70.8112,51.8406,55.1127,78.4264,54.1838,0,0,0,78.669,65.2132,0,104.468,0,63.799,6.46667,0,21.8869,8.75269,24.5,19.453,5.90123,0,0,0,7.77778,13.4074,0,22.5,0,22.625,9.86667,0,22.4915,10.2366,25.5,18.5385,5.9429,0,0,0,12.0556,11.7037,0,20,0,21,electricity
221,0,193,38,69,332,240,118,0,0,94,164,5,57,152,234,1020,0,868,1018,17,939,963,23,0,0,1003,1010,4,7,1015,1004,42.9706,0,63.8406,0,0,73.8406,71.8406,42.7696,0,0,59.6569,0,0,0,56.5269,62.9706,22.8333,0,5.08693,0,0,20.1425,22.5774,6.00154,0,0,0,0,0,0,20.7692,9.75,16.1667,0,10.7184,0,0,16.6349,19.4965,6.56154,0,0,0,0,0,0,10.1282,11.5,electricity
0,84,89,0,0,191,99,0,16,0,0,32,98,0,0,6,0,10,14,0,0,921,989,0,26,0,0,12,969,0,0,3,0,64.0833,67.598,0,0,148.51,143.338,0,12.4853,0,0,23.3137,77.3553,0,0,2,0,22.9672,6.74306,0,0,19.0972,18.2489,0,3,0,0,24.8333,11.9283,0,0,0,0,17.0506,14.5417,0,0,17.9228,19.7794,0,3.33333,0,0,2,10.2293,0,0,0,electricity
0,91,86,0,0,91,150,0,42,0,0,100,29,0,0,39,0,980,992,0,0,977,843,0,23,0,0,950,1018,0,0,1011,0,70.1838,67.6985,0,0,75.2548,129.238,0,0,0,0,76.5269,0,0,0,34.4853,0,20.6155,5.16987,0,0,13.9107,9.34715,0,0,0,0,7.62169,0,0,0,0,0,11.7222,7.14263,0,0,24.998,17.2631,0,0,0,0,27.9894,0,0,0,0,electricity
0,81,68,0,0,151,53,0,40,0,0,135,13,0,0,11,0,997,1004,0,0,856,16,0,3,0,0,954,14,0,0,1017,0,67.397,56.1421,0,0,199.865,43.3553,0,26.1421,0,0,100.669,7.65685,0,0,10.8284,0,19.412,0,0,0,12.0407,22.476,0,4.40741,0,0,8.25336,2.5,0,0,0,0,18.3903,0,0,0,14.4414,24.1259,0,2.24074,0,0,16.3694,29,0,0,0,electricity
0,31,60,0,0,146,76,0,64,0,0,38,74,0,0,23,0,988,24,0,0,848,12,0,929,0,0,1002,999,0,0,8,0,26.3848,53.9411,0,0,74.7696,63.1543,0,56.9117,0,0,32.3848,68.8701,0,0,16.4853,0,27.1282,6,0,0,13.5636,13.1905,0,6.84804,0,0,26.2593,16.0714,0,0,14.25,0,25.7436,10.3125,0,0,15.6714,19.7048,0,11.6275,0,0,8.62963,20.8377,0,0,13.5,electricity
0,5,143,0,0,151,110,0,93,0,0,67,17,0,0,5,0,6,37,0,0,845,839,0,9,0,0,971,1014,0,0,4,0,0,96.0833,0,0,55.799,78.468,0,74.8112,0,0,52.1421,13.6569,0,0,2,0,0,9.63194,0,0,11.608,13.2991,0,16.7694,0,0,0,0,0,0,0,0,0,17.9615,0,0,13.8831,13.7437,0,12.8435,0,0,0,0,0,0,0,electricity
0,174,224,0,0,329,80,0,105,0,0,247,17,0,0,88,0,943,12,0,0,751,1001,0,7,0,0,1014,1013,0,0,998,0,76.2254,116.752,0,0,144.51,32.2843,0,24.4853,0,0,103.255,9.65685,0,0,49.1127,0,19.4,10.0684,0,0,19.4914,4,0,0,0,0,11.6889,2.5,0,0,27.3278,0,16.2037,17.4652,0,0,14.0281,4.55,0,0,0,0,19.8465,28.25,0,0,24.7444,electricity
0,181,134,0,0,247,131,0,19,0,0,215,71,0,0,37,0,962,1001,0,0,980,1002,0,13,0,0,984,1000,0,0,1010,0,47.4558,57.9411,0,0,168.953,61.1543,0,0,0,0,92.9117,27.8995,0,0,22.4853,0,23.5714,4.27778,0,0,16.068,7.92877,0,0,0,0,17.0833,5.11905,0,0,29.5,0,19.5417,13.1389,0,0,13.6856,11.6168,0,0,0,0,24.0119,13.381,0,0,23,electricity
0,126,111,0,0,182,75,0,43,0,0,222,19,0,0,108,0,1007,28,0,0,9,981,0,1001,0,0,1002,1020,0,0,1000,0,67.0122,63.2548,0,0,114.853,35.6985,0,28.7279,0,0,83.2132,9.07107,0,0,56.9706,0,22.4097,7.70556,0,0,22.004,4.75661,0,6,0,0,14.7741,2.22222,0,0,0,0,18.0783,12.5,0,0,12.504,5.75661,0,1.66667,0,0,26.737,27.7778,0,0,0,electricity
0,61,50,0,0,175,96,0,84,0,0,198,25,0,0,112,0,11,1007,0,0,43,942,0,1015,0,0,948,6,0,0,949,0,28.9706,30.0416,0,0,65.6985,45.598,0,48.6274,0,0,82.8701,13.6569,0,0,61.3137,0,26.7,8.5,0,0,24.0833,8.23214,0,3.7,0,0,21.2593,2,0,0,0,0,24.6,14.25,0,0,16.0855,6.5,0,11.9,0,0,15.963,26,0,0,0,electricity
0,160,187,0,0,317,146,0,16,0,0,133,61,0,0,267,0,966,10,0,0,1008,1014,0,6,0,0,1016,10,0,0,997,0,118.468,66.9117,0,0,95.4975,75.9828,0,0,0,0,62.9706,24.7279,0,0,92.0833,0,14.1398,6.3718,0,0,16.8546,15.1832,0,0,0,0,6,14.2778,0,0,20.381,0,15.3763,9.55064,0,0,13.7212,17.3364,0,0,0,0,4.5,27.1389,0,0,19.8419,electricity
0,157,123,0,0,280,154,0,0,0,0,167,37,0,0,90,0,4,958,0,0,968,1008,0,0,0,0,929,12,0,0,963,0,87.4975,60.9706,0,0,96.669,82.7107,0,0,0,0,86.9117,20.1421,0,0,0,0,12.9058,1.11111,0,0,17.3358,15.465,0,0,0,0,14.599,1.75,0,0,0,0,10.6739,14.2222,0,0,13.994,13.3025,0,0,0,0,13.9529,13,0,0,0,electricity
0,124,87,0,0,209,133,0,79,0,0,134,55,0,0,65,0,905,1006,0,0,1011,943,0,77,0,0,958,1008,0,0,1000,0,71.0122,48.6274,0,0,91.3553,73.0538,0,0,0,0,75.6985,28.3848,0,0,24.1421,0,21.1053,3,0,0,7.59085,12.5425,0,0,0,0,15.266,4.07576,0,0,27.5,0,9.12586,14.7333,0,0,11.1788,12.89,0,0,0,0,16.4007,25.2538,0,0,25.4,electricity
30,123,90,22,42,266,177,26,0,0,93,161,35,0,61,142,1014,993,989,16,20,950,984,11,0,0,1005,12,1003,0,14,19,19.6569,67.1127,30.4853,31.2132,0,86.1838,81.6396,0,0,0,46.4853,65.5563,15.8995,0,0,52.3848,29.5,5.21429,19.8889,2.25,0,14.534,14.5481,0,0,0,29,3.5,2.73333,0,0,9.83333,23,10.0833,21.2222,20.25,0,13.1306,14.7896,0,0,0,21,23.869,25.2667,0,0,4,electricity
62,139,57,3,42,231,127,0,37,0,36,146,80,0,31,130,1013,1000,959,6,1018,917,942,0,1019,0,1006,975,47,0,1021,1011,0,73.7401,33.6985,0,0,98.1838,65.9828,0,0,0,43.3137,61.799,0,0,0,66.0416,0,15.561,25.9942,0,0,18.4418,10.0024,0,0,0,0,3.55,0,0,0,26.1136,0,12.8715,25.254,0,0,19.1343,11.4768,0,0,0,0,15.35,0,0,0,21.0909,electricity
0,87,33,0,0,181,95,0,13,0,0,131,40,0,0,101,0,972,1008,0,0,35,942,0,4,0,0,948,11,0,0,974,0,63.2548,47.6985,0,0,80.669,64.0833,0,9.65685,0,0,88.1838,0,0,0,65.4558,0,22.8333,20.3704,0,0,16.2457,8.62654,0,2,0,0,14.9103,0,0,0,24.5,0,17.0899,26.2315,0,0,16.8781,12.1957,0,3.5,0,0,22.9359,0,0,0,23,electricity
0,57,85,0,0,93,160,0,53,0,0,101,0,0,0,78,0,967,995,0,0,867,11,0,22,0,0,1007,0,0,0,1007,0,43.9411,60.0416,0,0,56.3848,145.622,0,32.2843,0,0,71.0122,0,0,0,62.0416,0,25,8.87662,0,0,22.4417,7.94648,0,5.15556,0,0,11.8294,0,0,0,8.87179,0,22.375,14.5779,0,0,19.1,13.8404,0,6.37778,0,0,9.6075,0,0,0,4.91392,electricity
0,48,101,0,0,20,143,0,49,0,0,91,4,0,0,77,0,961,979,0,0,1015,1000,0,12,0,0,979,5,0,0,1010,0,36.8701,79.6985,0,0,15.3137,65.4558,0,39.9411,0,0,67.1127,0,0,0,57.2132,0,26.1228,12.7857,0,0,26,10,0,5.89286,0,0,17.05,0,0,0,12.1571,0,24.2675,8.51429,0,0,28.3333,16,0,7.56548,0,0,6.78333,0,0,0,5.84286,electricity
0,73,99,0,0,135,103,0,6,0,0,104,8,0,0,39,0,996,905,0,0,12,954,0,6,0,0,937,4,0,0,983,0,61.0122,63.799,0,0,104.284,74.5685,0,0,0,0,66.0416,6,0,0,39.6569,0,16.9352,0,0,0,19.375,13.75,0,0,0,0,6.44444,0,0,0,0,0,22.9392,0,0,0,12.1667,15.9263,0,0,0,0,4.31746,0,0,0,0,electricity
0,75,37,0,0,155,82,0,5,0,0,55,95,0,0,74,0,969,1009,0,0,24,952,0,2,0,0,938,1010,0,0,993,0,70.1838,27.3137,0,0,92.6274,139.137,0,0,0,0,40.4853,76.0416,0,0,38.1421,0,14.6875,1.5,0,0,22.0254,10.7521,0,0,0,0,0,7.18148,0,0,13.25,0,13.1389,6,0,0,26.2967,13.5887,0,0,0,0,0,6.87407,0,0,12.5,electricity
0,71,98,0,0,6,147,0,36,0,0,101,7,0,0,101,0,982,991,0,0,2,829,0,30,0,0,956,7,0,0,851,0,53.598,75.6985,0,0,0,111.681,0,24.7279,0,0,68.7696,0,0,0,71.2132,0,23.9,12.7275,0,0,0,14.5575,0,3.88333,0,0,10.6875,0,0,0,7.86667,0,20.2,13.7963,0,0,0,14.5489,0,3.73333,0,0,10.1875,0,0,0,7.53333,electricity
