%1. Title : 
%
%2. Sources : 
%
%
%
@RELATION Imagette

@ATTRIBUTE  Black_Pixel_1 NUMERIC
@ATTRIBUTE  Black_Pixel_2 NUMERIC
@ATTRIBUTE  Black_Pixel_3 NUMERIC
@ATTRIBUTE  Black_Pixel_4 NUMERIC
@ATTRIBUTE  Black_Pixel_5 NUMERIC
@ATTRIBUTE  Black_Pixel_6 NUMERIC
@ATTRIBUTE  Black_Pixel_7 NUMERIC
@ATTRIBUTE  Black_Pixel_8 NUMERIC
@ATTRIBUTE  Black_Pixel_9 NUMERIC
@ATTRIBUTE  Airs_1 NUMERIC
@ATTRIBUTE  Airs_2 NUMERIC
@ATTRIBUTE  Airs_3 NUMERIC
@ATTRIBUTE  Airs_4 NUMERIC
@ATTRIBUTE  Airs_5 NUMERIC
@ATTRIBUTE  Airs_6 NUMERIC
@ATTRIBUTE  Airs_7 NUMERIC
@ATTRIBUTE  Airs_8 NUMERIC
@ATTRIBUTE  Airs_9 NUMERIC
@ATTRIBUTE  Harris_Corners_1 NUMERIC
@ATTRIBUTE  Harris_Corners_2 NUMERIC
@ATTRIBUTE  Harris_Corners_3 NUMERIC
@ATTRIBUTE  Harris_Corners_4 NUMERIC
@ATTRIBUTE  Harris_Corners_5 NUMERIC
@ATTRIBUTE  Harris_Corners_6 NUMERIC
@ATTRIBUTE  Harris_Corners_7 NUMERIC
@ATTRIBUTE  Harris_Corners_8 NUMERIC
@ATTRIBUTE  Harris_Corners_9 NUMERIC
@ATTRIBUTE Class  {accident, bomb, car, casualty, electricity, fire-brigade, fire, flood, gas, injury, paramedics, person police, road-block}

@DATA
165,228,202,415,270,404,230,659,72,1,5,0,14.5,18.5,8,19,27.5,7,1777,1839,1836,1636,1766,39,1844,1819,1783,casualty
297,378,270,481,613,156,208,308,41,0,13,10.5,0,16.5,18.5,20,25.5,0,15,1794,1833,17,60,1799,1842,1773,1833,casualty
98,216,83,243,520,351,454,393,171,2,4.5,10,16.5,18.5,21.5,0,39,14,6,1819,32,1845,1685,23,4,1714,1750,casualty
96,364,207,292,386,105,157,444,31,2,14,15,25,17,12.5,25.5,29.5,4,1839,13,18,1805,1654,1838,1802,1719,16,casualty
60,247,20,60,302,55,46,230,108,1,14.5,0,6,21,7.5,8,31.5,0,1825,8,1843,7,1724,38,10,1615,5,casualty
171,297,163,62,219,88,105,254,246,0,22.5,13,9.5,14,12.5,16,52.5,0,1766,8,6,3,1731,1838,12,1495,4,casualty
103,226,115,45,314,82,72,269,38,0,24,6,0,17.5,10.5,12.5,36,7,12,4,1837,3,1558,1820,9,67,22,casualty
67,219,130,90,321,128,84,250,46,5.5,21,13.5,3.5,18.5,11.5,13,35,10,1835,8,1833,10,1609,1819,1781,47,1796,casualty
87,160,86,158,289,135,59,272,53,5,31,0,10,16,6.5,16,31.5,11,1817,3,1799,18,95,13,24,29,22,casualty
313,361,159,328,481,151,257,130,240,23,62.5,20,23,32,0,51,11,15,1789,1839,1798,1762,1770,6,1799,1785,1799,casualty
359,438,207,61,609,277,157,62,63,20.5,0,16.5,5.5,29.5,14,21,8.5,1,4,12,26,1828,1590,26,1795,31,1824,casualty
84,76,251,424,731,350,9,474,329,6.5,0,5.5,23.5,15,20,0,41.5,2.5,19,1846,11,10,1741,1588,2,1718,1835,casualty
54,70,297,231,547,462,152,284,35,0,2.5,10,13.5,10.5,20,9.5,25,0,1837,1839,36,1807,1823,1742,1826,1769,14,casualty
24,75,280,295,507,69,256,337,0,2,7,20,30.5,11.5,6.5,20,14,0,1847,26,1831,1797,1829,35,35,1599,0,casualty
238,31,224,208,516,419,83,185,99,6.5,0,10.5,11,14,34.5,15,21,0,1779,13,1779,1822,1817,1807,20,1829,38,casualty
429,32,94,5,415,607,79,271,111,21.5,4.5,12.5,0,18.5,20.5,9,28,0,5,1843,11,4,1785,14,1839,1678,11,casualty
271,21,214,192,511,307,155,231,150,10.5,0,12.5,16,19.5,13.5,30,21.5,27,1709,1839,1823,49,1746,1827,1730,1756,15,casualty
252,80,310,479,563,152,304,224,268,9.5,4,17,0,40.5,0,30,0,10.5,1829,10,30,1823,1824,104,58,1787,5,casualty
123,10,168,262,498,143,157,153,218,8,0,14.5,57,35,11,36,11.5,10.5,34,2,5,1763,3,1840,12,1783,1809,casualty
179,261,107,69,401,34,49,261,6,0,16,6.5,9,19,5,5,37.5,0,12,1688,1837,1777,136,14,24,1786,2,casualty
97,175,159,14,356,35,59,261,26,0,19.5,7.5,0,16,5,8,32.5,0,4,1836,1816,5,1796,16,1804,1739,19,casualty
33,222,97,7,342,114,51,241,44,0,38.5,7.5,0,16.5,12,13,34,9,11,36,1824,4,1781,32,1773,57,8,casualty
46,335,66,85,282,68,37,299,48,1,29,0,21,14.5,2.5,5.5,48,15,1821,4,1802,20,1758,19,13,64,28,casualty
184,124,123,177,364,128,118,301,125,16.5,5,0,18,16.5,7,14,29.5,20,1827,1840,1837,1816,87,6,1776,16,1774,casualty
188,31,249,315,603,382,169,210,134,8,0,5.5,13,10.5,8.5,19,22.5,0,100,8,1794,3,1838,69,1785,35,9,casualty
119,19,162,313,639,188,228,44,139,4,0,5,12.5,14,2,49.5,4,10,9,5,1822,1778,1832,1793,1805,1841,1775,casualty
90,22,51,278,494,98,127,11,153,3,0,0,21,14.5,2,24.5,0,0,6,11,1825,1675,1784,1820,23,14,1802,casualty
86,54,150,299,464,230,138,107,189,12,0,17.5,17.5,9.5,16,17.5,15.5,12.5,12,8,30,1795,1743,1803,1839,35,1745,casualty
132,136,11,285,362,52,153,122,182,7.5,16.5,0,25,24.5,0,11,4,16,1769,1730,1833,1751,1569,1826,1799,1818,1846,casualty
46,169,56,118,384,150,145,324,97,0,8.5,6,19.5,15,14,14,16,0,5,6,20,1803,1497,22,8,1721,17,casualty
135,35,289,264,575,109,4,331,382,2,0,15.5,25,15,9.5,0,18,11.5,4,1841,1846,9,1747,1831,3,1827,3,casualty
218,4,230,585,578,198,292,291,261,7,0,20.5,24,10.5,4.5,36.5,8.5,12,1827,2,1743,1821,1840,1833,1729,1762,1757,casualty
128,155,169,291,458,100,154,193,211,5.5,12.5,0,28.5,23,0,26.5,10,3.5,1829,10,8,1801,1830,12,1775,1804,24,casualty
57,6,387,426,524,210,370,344,285,6,0,9.5,22.5,26.5,18,31.5,15,16,17,4,1837,1832,1803,20,4,1800,1799,casualty
136,163,120,119,408,93,85,235,42,4.5,12.5,0,10.5,39,10.5,12,35.5,8,1779,1781,1844,1811,1632,1833,1775,1581,1814,casualty
125,286,172,165,367,234,118,394,114,9,33.5,0,10,12.5,18,11.5,28.5,13,1843,1745,1844,1799,1681,1724,1826,36,1808,casualty
26,277,166,90,404,167,100,281,79,0,21.5,41.5,23.5,15.5,28.5,25,33.5,21,1840,1836,1844,12,1786,1804,1780,1714,15,casualty
246,344,90,83,324,98,31,292,5,0,22,8.5,8,14.5,8.5,4,36.5,0,17,15,1774,8,1625,1838,6,50,7,casualty
41,230,99,51,280,116,60,286,162,1,16.5,3,1,13,9,14,26.5,0,1836,6,1831,1828,1692,1668,1796,108,9,casualty
117,261,18,176,261,66,86,445,73,0,15.5,0,14,16.5,5,8.5,30.5,4.5,1830,1806,1843,1620,1732,19,1816,1741,1807,casualty
158,443,197,246,381,252,135,229,158,8.5,0,19.5,22.5,6.5,16,26,14.5,0,1777,162,28,1734,1790,1824,1831,1782,23,casualty
189,145,183,414,431,431,108,260,195,8,0,1,29,18.5,24,13,21.5,0,1809,22,1819,1795,1841,1823,1784,1691,1838,casualty
122,224,276,264,378,47,205,241,185,3,9.5,0,13,32,0,20.5,23,13.5,12,1778,1810,1822,23,11,1659,1817,1803,casualty
133,304,156,366,399,44,198,126,181,0,0,7,21.5,25,6,28.5,10,2,7,31,1842,1825,1763,1833,1665,1787,1693,casualty
128,78,72,93,288,108,67,68,163,13.5,8,0,17,21,0,13,11,29,25,18,5,1797,111,1805,3,1812,8,casualty
132,31,153,165,110,125,52,333,44,14,2,16.5,34.5,2,1,8,51,0,1842,16,1761,8,1773,1790,2,1397,1824,casualty
86,195,215,132,127,114,77,254,155,11,18.5,16.5,23.5,19,0,3.5,28,3.5,1837,1804,1828,1754,1817,46,1800,1788,16,casualty
114,40,143,169,204,218,66,270,89,1,0,14.5,49,2,21.5,18,67,0,1844,1845,1827,3,1830,1669,10,1725,14,casualty
96,48,62,89,160,63,16,179,88,0,0,4.5,24.5,9.5,12.5,0,13,0,1789,7,1800,7,1684,1779,8,68,1817,casualty
313,44,256,108,668,481,96,227,162,9.5,0,17,6,23.5,12,13,18,13,1793,6,1708,55,127,1845,3,14,1794,casualty
30,191,133,240,249,82,90,322,218,2.5,16.5,10.5,28.5,11,2,7.5,13,6,3,1745,1826,1769,1802,1837,1825,1809,1799,casualty
233,10,221,301,476,308,207,338,176,29.5,0,8,23.5,14,17,29.5,18.5,0,3,1846,7,1689,1795,1786,1804,1593,1840,casualty
256,3,288,310,359,336,96,547,398,0,0,6.5,14,10.5,12.5,11,15,12.5,60,3,1782,1813,1808,1836,1827,1756,1825,casualty
158,173,144,176,466,278,166,359,163,4.5,0,5,15,15,13,15,24.5,15,1839,1814,1833,1838,1806,25,1795,1806,1687,casualty
64,33,71,164,330,50,113,48,136,0,0,5.5,12.5,31,0.5,39,1,19,1842,1833,1807,1721,1473,15,9,1806,1682,casualty
181,95,135,143,282,1,18,6,150,34.5,13.5,0,23.5,33,0,0,0,31.5,12,17,1777,1757,1653,2,7,5,10,casualty
166,109,51,178,312,12,88,38,153,20,15.5,0,16.5,41,0,30.5,0,22,1812,1760,1843,1665,46,4,7,18,13,casualty
115,53,82,149,378,2,105,40,152,20.5,3,1.5,15,21.5,0,16,4,8.5,1789,1834,31,31,1727,4,1802,17,1760,casualty
211,66,82,101,292,148,116,164,161,20,4.5,9.5,16.5,25.5,25.5,5,15,25.5,27,1812,1785,1769,1791,1818,6,1761,1766,casualty
123,225,202,171,341,220,57,270,90,6,15.5,21,16.5,20,19,9.5,27.5,15,1830,1827,1800,1769,1653,1714,1822,1685,31,casualty
156,327,179,108,340,140,51,285,57,3.5,14,13,16,21.5,17,6,33,19,1810,1604,1735,1769,1598,1722,1827,88,26,casualty
103,200,153,187,219,196,93,302,37,4,13.5,12.5,12.5,8,26.5,21.5,26,10.5,1809,1779,1838,1583,1667,67,1810,1560,1826,casualty
170,182,132,276,304,72,96,294,101,17,7.5,10.5,39,12.5,7,15,29,27,1822,1769,1826,1720,1657,39,1836,1675,1772,casualty
49,190,212,22,404,112,90,272,4,4,24.5,18.5,0,18.5,17,19,27,0,1842,1772,10,1839,1478,1742,1753,42,4,casualty
88,254,142,184,265,225,14,367,82,5,14.5,13.5,32,14.5,16.5,2.5,33,8.5,1787,41,1839,1658,1665,1809,10,1547,1816,casualty
165,273,98,33,272,22,31,206,16,0,64.5,8,22,18,4.5,7,35.5,2,21,12,1716,6,1732,1838,14,1547,12,casualty
92,246,83,87,299,74,37,274,37,5,21.5,5,13.5,21,9,3,30,4,1780,9,1798,1797,1608,21,1823,1696,19,casualty
117,171,88,76,290,101,47,285,27,6,63.5,8,15,17,10.5,9,34.5,8,1776,3,1776,11,1701,18,1826,28,14,casualty
50,246,66,88,228,159,23,333,8,2,50.5,7,2,14,7,2.5,36.5,1,1819,1792,1787,1802,1624,1783,1840,1331,6,casualty
17,147,0,79,171,42,77,298,21,2,15,0,3,4,5,7,50.5,4,1841,1797,0,1760,5,15,23,17,6,electricity
0,127,0,0,240,21,0,285,5,0,17,0,0,8,0,0,36.5,0,0,1708,0,0,1735,14,0,1669,5,electricity
37,124,0,76,256,11,65,227,68,0,3,0,0,15.5,0,1.5,14,18,1838,1820,0,22,1804,4,1829,1684,25,electricity
10,121,1,6,239,5,25,238,12,0,5,0,0,25.5,0,0,23.5,0,4,1818,2,4,1773,6,1843,20,1841,electricity
33,117,14,80,285,36,44,412,13,2,19.5,2,2.5,19,4,0,27,0,1827,1788,12,1836,1775,1838,1836,1801,14,electricity
89,370,108,8,316,190,186,331,8,4.5,22.5,11.5,0,20,0,12.5,38.5,0,13,1801,1833,3,1831,10,15,1824,10,electricity
28,102,0,30,288,22,16,443,10,0,13.5,0,0,31.5,0,0,33,0,11,1821,0,3,1613,15,1831,1823,16,electricity
15,181,3,6,253,36,47,445,3,0,13,0,0,19.5,0,0,23,0,4,1759,4,3,1803,10,17,1827,8,electricity
76,182,33,134,304,214,14,451,35,5.5,14,0,0,15.5,0,0,40.5,5.5,1845,1774,22,2,1765,38,4,1810,10,electricity
113,451,126,19,377,489,63,572,128,2.5,4,8.5,0,9,0,0,26,12.5,1817,1785,1818,8,1845,3,2,1720,1805,electricity
41,163,0,131,183,52,0,319,27,0,26.5,0,7.5,2,5,0,28.5,0,2,1800,0,1836,1826,1838,0,27,4,electricity
0,150,12,71,286,45,87,300,30,0,23,1.5,0,18,4,6.5,53.5,0,0,1815,3,6,1793,1838,1814,31,2,electricity
16,160,14,9,351,36,91,236,0,0,20,1.5,0,25.5,1,3,22,0,13,14,11,2,1679,1839,1842,36,0,electricity
0,150,58,0,280,69,63,236,0,0,27,9.5,0,15,10,3,26,0,0,1660,1804,0,1832,30,1804,21,0,electricity
102,200,12,101,314,95,81,339,30,0,28,0,9.5,14.5,2,8,23.5,0,10,1832,3,19,1641,1784,1820,1789,1841,electricity
0,158,2,14,235,13,36,265,7,0,26.5,0,0,13.5,0,0,48,0,0,14,4,10,1782,16,1843,24,4,electricity
0,157,9,9,239,0,35,285,5,0,44,0,0,14.5,0,0,18.5,0,0,1737,4,9,1825,0,1839,1635,7,electricity
0,135,0,0,136,0,0,192,0,0,21.5,0,0,17,0,0,36,0,0,1828,0,0,1841,0,0,35,0,electricity
0,157,21,16,225,4,39,318,28,0,44,0,0,6,0,2.5,28,4,0,1817,24,1828,56,4,1826,1817,10,electricity
0,149,0,0,262,0,0,374,0,0,16.5,0,0,14,0,0,36.5,0,0,1715,0,0,1538,0,0,1705,0,electricity
27,148,0,84,255,133,143,389,34,3,19.5,0,4.5,10,0,0,53.5,8.5,1840,15,0,1834,1654,1804,3,1692,10,electricity
0,174,0,0,292,0,0,394,0,0,4.5,0,0,9,0,0,29.5,0,0,1838,0,0,1721,0,0,1792,0,electricity
33,162,0,87,255,60,42,331,2,1,2.5,0,1.5,5.5,6,3,25,0,8,1844,0,1779,1654,15,1841,1838,6,electricity
0,194,0,0,354,0,0,432,0,0,9.5,0,0,7,0,0,17.5,0,0,2,0,0,1771,0,0,1782,0,electricity
3,176,31,58,268,4,45,323,8,0,18.5,0,0,11,0,0,27,0,1,1803,6,12,13,2,1821,1696,1841,electricity
0,151,0,0,310,0,0,221,0,0,6,0,0,19,0,0,30,0,0,1824,0,0,1434,0,0,18,0,electricity
25,158,15,4,317,17,44,334,14,0,16,0,0,15,0,0,45.5,0,7,1819,6,6,1805,14,1834,1623,9,electricity
0,174,11,0,194,36,58,294,0,0,18,0.5,0,12,0,0.5,36.5,0,0,1812,1847,0,11,1831,1813,1641,0,electricity
0,344,48,0,253,10,142,354,102,0,19.5,1.5,0,17,0,5,32.5,0,0,1712,1840,0,11,1844,1817,1832,48,electricity
0,233,20,0,221,48,33,437,40,0,11,2,0,12,0,3.5,28,0,0,1767,1840,0,1686,1834,5,1666,15,electricity
22,130,0,40,161,0,175,286,25,1,25.5,0,2,11,0,0,35.5,3.5,1836,36,0,12,1716,0,11,1644,1826,electricity
332,219,272,28,361,170,313,617,143,5.5,4.5,0,0,7,14.5,9.5,19,14.5,1841,1839,2,1842,1821,25,1845,1827,1792,electricity
134,198,71,399,131,158,238,541,297,6,0,0,17,4,21,34.5,16,26.5,1828,19,29,1843,1830,1833,1772,93,1804,electricity
254,24,401,468,596,488,304,750,66,11.5,0,0,3,3.5,39,9.5,22,7,1795,5,6,1813,1828,1786,1787,1798,1818,electricity
266,0,0,287,297,24,75,484,242,4.5,0,0,7.5,9,0,4.5,16,45,1838,0,0,1835,1788,3,7,1751,1758,electricity
0,121,0,0,367,0,0,512,0,0,9.5,0,0,11.5,0,0,23.5,0,0,1808,0,0,1839,0,0,1836,0,electricity
99,418,147,96,371,23,22,687,45,1.5,8.5,7.5,0,22.5,0,0,22.5,0,1811,1810,1795,1839,1830,17,1842,1823,1821,electricity
0,219,0,0,389,0,0,496,0,0,24.5,0,0,12,0,0,24.5,0,0,88,0,0,1807,0,0,1792,0,electricity
101,160,12,67,523,30,122,461,43,0,6,1,1,19.5,1.5,2,26.5,8.5,1837,1838,1843,1845,1824,1838,1827,1799,1817,electricity
182,546,161,94,508,662,27,757,151,7.5,12.5,11.5,0,0,0,0,20.5,1,1837,1796,1837,1838,24,5,1832,1790,1819,electricity
47,175,9,0,130,37,53,252,29,0,29.5,0,0,9,0,7,23,10,4,1790,9,0,1743,12,1820,1696,1813,electricity
24,100,0,60,118,8,45,203,27,0,10,0,4.5,6.5,0,9.5,11.5,8,1827,1759,0,1781,1800,8,7,1540,16,electricity
39,115,0,43,137,0,14,198,33,4,46,0,4.5,5.5,0,0,14.5,7,6,3,0,1799,1804,0,2,1559,18,electricity
0,123,3,0,140,53,34,217,9,0,26.5,0,0,17.5,0,1,17.5,0.5,0,6,6,0,1591,12,1830,1628,17,electricity
0,108,11,0,179,14,43,231,37,0,20.5,1,0,11,0,17.5,12.5,9,0,1829,9,0,1617,16,7,1528,8,electricity
88,238,0,75,280,50,81,484,2,4,20.5,0,6.5,9,8,6,32.5,0,1839,40,0,3,1658,5,15,1832,4,electricity
135,265,0,66,362,0,74,352,16,0,9,0,0,14,0,4.5,24,1.5,24,1828,0,1840,1801,0,2,1805,13,electricity
3,221,12,16,291,2,6,378,1,0,16.5,0,0,5,0,0,34.5,0,3,1832,12,1822,1738,4,5,1782,4,electricity
0,218,0,0,289,9,14,327,7,0,17,0,0,6,0,0,24.5,0,0,1827,0,0,8,15,4,1818,12,electricity
103,122,34,148,356,33,56,466,43,3,12.5,0,3.5,41,2,1,29.5,7.5,1825,1812,32,1840,1769,14,1809,1803,14,electricity
234,301,225,156,161,105,43,524,193,9.5,1.5,5,0,0,0,0,11.5,27,1793,1819,1816,8,1766,1822,1832,1827,1800,electricity
58,43,45,8,365,11,21,427,208,3,0,0,0,15,1,0,27.5,0,1846,1845,1839,1846,1827,7,1844,1822,29,electricity
122,276,41,27,261,11,98,432,100,1,1,3,0,12,1.5,6,26.5,0,1845,1825,1844,7,1829,1843,28,1759,9,electricity
81,460,114,48,333,33,13,535,93,1.5,13,11.5,0,7.5,0,0,30.5,1,1843,1833,1839,1838,1834,8,1835,1516,1783,electricity
67,158,11,42,454,50,282,442,78,0,0,0,0,5.5,4.5,0,23,2,1845,1838,6,1843,1816,16,6,1838,1786,electricity
37,578,14,76,368,9,68,663,52,0,4.5,0,0,0,0,2,25.5,0,1844,1825,1840,1841,1807,2,1845,1839,1809,electricity
98,384,60,10,336,148,61,620,25,1.5,4.5,3,0,14,0,0,34,0,1835,1808,1825,3,1817,6,1844,1814,3,electricity
5,386,284,79,377,110,152,729,53,0,6.5,12.5,0,0,0,10,24,3,3,1835,1837,2,1797,17,1843,1805,1827,electricity
156,480,291,110,381,21,261,520,6,3.5,9,14,0,0,0,10,28.5,0,1832,1803,1842,1846,7,2,1817,1748,4,electricity
18,404,134,90,318,13,180,439,117,0,8,10.5,0,0,0,9,17,9,1834,1839,86,1839,1683,4,1843,1799,31,electricity
18,175,15,46,389,18,47,369,5,0,32.5,0,5,16,2.5,0,35.5,0,4,11,4,1845,1747,11,15,1698,4,electricity
43,173,27,39,405,9,66,409,0,0,18,0,2,14,0,0,48.5,0,1848,1836,8,1842,1792,10,6,1840,0,electricity
209,436,144,114,312,33,170,525,389,9.5,13.5,13,0,13,0,6.5,34,0,1838,1828,1800,1809,1812,3,1834,1798,6,electricity
0,150,0,0,288,0,0,387,0,0,1,0,0,12,0,0,16.5,0,0,1793,0,0,1762,0,0,1812,0,electricity
57,495,92,45,292,240,171,493,63,0,6.5,11.5,0,12.5,0,8,11,0,1842,1832,1810,1844,1753,5,1843,1834,19,electricity
125,83,0,17,233,22,130,381,48,5,10.5,0,2,13.5,0,8.5,31,14.5,1799,4,0,1842,1750,7,20,1712,30,electricity
20,145,0,3,236,0,71,331,18,0,10.5,0,0,13,0,1.5,28,5,1843,1748,0,4,1789,0,1835,1763,18,electricity
185,7,0,112,246,9,49,454,96,9,0,0,8.5,3.5,2.5,0,23,12,1837,12,0,1836,1731,3,1838,1440,1761,electricity
93,86,0,91,152,9,87,327,50,9,12.5,0,4.5,3.5,1.5,3,30,9,1826,1746,0,1835,1819,6,22,1687,1818,electricity
5,132,0,25,143,9,23,312,15,0,20,0,0,6,0,0,34,1,1845,1774,0,1823,1668,4,1842,1682,13,electricity
0,21,0,0,180,0,0,351,0,0,0,0,0,3,0,0,4,0,0,1844,0,0,1825,0,0,1838,0,electricity
0,481,0,0,124,0,0,193,0,0,17,0,0,0,0,0,19.5,0,0,1844,0,0,1839,0,0,1820,0,electricity
0,103,0,0,55,0,0,147,0,0,3,0,0,49.5,0,0,6,0,0,1835,0,0,1837,0,0,1836,0,electricity
144,718,139,157,450,99,256,651,37,0,14,7,0,0,0,0,19.5,0,1834,1696,1825,1833,1822,20,1840,1846,1833,electricity
226,692,581,158,324,168,207,603,88,0,14,0,0,0,4,7.5,29.5,2,1826,1763,18,1840,19,1810,1784,1789,6,electricity
18,177,7,61,341,25,3,341,0,2,20.5,0,1.5,13,2,0,18.5,0,1841,1807,4,1835,1730,1835,3,1805,0,electricity
0,228,0,0,442,0,0,435,0,0,20.5,0,0,21.5,0,0,13.5,0,0,1840,0,0,1740,0,0,1826,0,electricity
137,357,118,118,337,4,190,571,300,3.5,21,2.5,0.5,10,0,4,17,0,1845,1831,1835,8,1783,10,1844,1830,14,electricity
17,280,8,19,456,7,99,479,6,0,7,0,0,8.5,0,2,41,0,1839,1835,12,1844,1826,3,1828,1807,6,electricity
8,447,14,21,294,25,31,448,3,0,19,0,0,4,0,0,30.5,0,1840,1802,16,6,1827,28,1833,1811,6,electricity
1,146,29,87,114,3,96,270,23,0,29.5,0,9,4.5,0,0,16,7.5,1,1747,1824,1789,1775,4,11,1419,6,electricity
10,128,11,31,175,28,0,173,23,0,27,0,0,6,0,0,5,1,9,1797,14,1835,1751,14,0,1757,26,electricity
22,94,0,70,141,0,81,255,22,1,14.5,0,3.5,3.5,0,0,17,7.5,1835,1800,0,1837,1835,0,2,77,16,electricity
22,151,0,0,125,0,50,285,6,0,9.5,0,0,3,0,0,22.5,0,4,1815,0,0,1818,0,19,1600,5,electricity
3,142,0,109,135,58,0,149,26,0,24.5,0,4.5,5.5,0,0,8,11.5,2,53,0,1757,1813,1846,0,9,1805,electricity
41,177,0,13,234,12,92,357,2,0,13.5,0,0,16,1.5,4.5,32.5,0,20,1809,0,3,1809,4,1823,1609,4,electricity
85,193,11,113,259,32,61,345,107,0,26.5,0,0,7.5,1.5,4.5,43.5,0,41,1823,4,1845,1691,1827,1820,1632,1832,electricity
40,207,87,38,265,5,88,458,38,2,27.5,0,2,15,0,8,37,6,1832,1821,14,1840,1816,3,1792,20,1836,electricity
20,168,2,15,241,10,35,277,23,0,22.5,0,0,20,0,2,23.5,0,4,1807,6,4,1725,10,19,1830,9,electricity
4,174,9,62,241,71,48,272,26,0,27,0,0,15,0,8.5,24.5,8.5,2,10,4,1841,7,9,12,1753,12,electricity
16,172,64,53,185,76,37,284,11,0,55,0,0,18,0,2,55.5,2,8,1803,17,10,1837,61,1824,64,9,electricity
20,152,9,30,160,0,42,224,0,0,24.5,0,0,14,0,2,45,0,11,1834,5,9,1798,0,6,1652,0,electricity
0,195,18,0,215,8,92,302,42,0,23.5,0,0,21.5,1.5,8,27.5,9,0,1839,1844,0,1827,6,1827,1744,6,electricity
0,146,21,19,196,106,72,283,23,0,25.5,0,0,13,0,5.5,35.5,6,0,1806,6,8,1830,24,7,1785,11,electricity
0,148,0,0,216,26,109,301,46,0,8.5,0,0,25.5,2.5,16.5,27.5,7,0,1829,0,0,1821,1830,1766,1788,27,electricity
6,104,0,71,193,60,63,172,18,0,6,0,4.5,13,9.5,0,30.5,0,3,12,0,1827,1747,1834,25,1847,17,electricity
137,176,117,23,176,107,141,237,12,11.5,0,12,1.5,21,0,5,13.5,0,18,1822,2,1837,1753,6,1698,1794,12,electricity
95,186,72,42,127,29,9,384,7,8,5.5,1.5,0,9,1,0,20,0,5,1726,11,2,1812,1833,1842,1668,8,electricity
74,188,32,67,122,41,80,230,16,9.5,16.5,1.5,0,14,5,6,20,0,1807,1808,4,17,1829,1832,32,1616,3,electricity
47,87,10,25,235,25,81,172,37,1,9,0,1.5,12,2,1.5,21,0,1822,37,3,1844,18,1841,1828,21,10,electricity
0,31,0,0,39,0,0,132,0,0,0.5,0,0,1.5,0,0,38,0,0,1834,0,0,1825,0,0,23,0,electricity
84,184,15,23,544,3,132,423,71,0,10,1,0.5,13.5,0,0,16,0,1843,1830,1841,1846,1782,4,19,1814,15,electricity
93,230,26,125,562,7,70,640,33,0,4.5,1.5,0,12,0,0,32,0,1845,1834,1847,1840,106,8,10,1828,1837,electricity
18,258,42,9,461,48,0,405,9,0,15.5,0,0,6.5,0,0,9.5,0,1831,1724,35,1833,1824,48,0,1824,1830,electricity
0,15,0,0,200,0,0,80,0,0,0,0,0,2.5,0,0,55,0,0,3,0,0,1829,0,0,1774,0,electricity
11,192,11,39,230,0,11,312,8,0,46.5,0,0,17,0,0,39,0,5,1809,6,3,1807,0,3,1834,12,electricity
0,178,5,6,252,47,10,335,3,0,25.5,0,0,11,0,0,28.5,0,0,1684,6,2,1718,1829,1841,1811,4,electricity
0,138,0,0,197,16,0,263,4,0,13,0,0,8,0,0,22.5,0,0,1788,0,0,1817,8,0,1713,8,electricity
20,159,0,35,314,48,6,354,10,0,9,0,0,48,0,0,29,0.5,6,16,0,1836,1803,2,5,1498,12,electricity
1,159,0,115,219,32,4,289,8,0,11,0,2.5,27.5,4,0,36,1,1,1822,0,1768,50,10,3,1712,4,electricity
0,175,0,0,245,0,0,256,0,0,12,0,0,13,0,0,22,0,0,1820,0,0,1662,0,0,1817,0,electricity
7,164,164,75,274,6,80,423,72,0,14.5,8.5,0,28,0,4,21.5,14,4,1820,1824,1841,1769,8,9,1832,1816,electricity
38,207,6,8,236,54,9,278,7,0,17.5,0,0,7,0,0,21.5,0,7,1786,2,7,1827,6,1837,1808,8,electricity
101,275,0,9,210,15,18,470,25,0,8,0,0,2,0,0,33.5,0,1845,1789,0,6,1834,1846,7,1789,8,electricity
142,339,6,14,243,45,133,368,147,11,2.5,0,0,1.5,0,11,28,5,1802,1791,1842,2,1840,1826,40,1807,1793,electricity
130,137,96,0,114,50,77,167,2,8.5,0,6.5,0,14,8,2,15,0,3,1838,1811,0,1805,1806,4,1748,6,electricity
0,108,0,0,245,0,0,191,0,0,23,0,0,28.5,0,0,1.5,0,0,1829,0,0,1699,0,0,1655,0,electricity
173,208,187,126,142,42,150,246,30,14.5,27,6.5,0,10,1,7,26,0,1839,1823,1836,15,1811,1815,107,1821,8,electricity
0,226,152,77,165,8,181,235,60,0,12.5,8.5,0,19,0,11.5,20,0,0,1821,14,8,1788,6,9,1688,22,electricity
0,193,16,0,207,48,32,156,0,0,10.5,1,0,20,0,2,8.5,0,0,1781,11,0,20,4,4,1791,0,electricity
157,234,42,353,84,195,191,151,24,12.5,6.5,8.5,62.5,1,28.5,12.5,11,2,1839,1763,1841,41,1805,1625,1770,1806,1836,fire-brigade
255,258,66,358,97,165,279,170,41,5.5,21.5,11,7.5,0.5,39,9.5,23.5,8,1828,1739,1798,1683,1815,1767,1611,1766,1803,fire-brigade
